link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,1,86,59,79,15,54,11,34
0,31,64,93,90,30,59,79,40
1,0,22,36,39,66,51,28,46
1,2,99,51,51,53,27,50,21
1,32,91,45,35,55,91,64,98
2,1,83,20,80,26,84,42,86
2,3,62,19,12,47,60,98,62
2,33,81,61,40,85,88,83,87
3,2,97,82,71,45,88,86,25
3,4,73,22,99,98,63,51,30
3,34,77,29,53,13,81,76,85
4,3,31,77,53,69,44,36,82
4,5,86,92,87,95,92,27,12
4,35,57,75,78,94,45,41,72
5,4,25,96,32,32,11,39,99
5,6,54,35,49,73,42,18,47
5,36,70,65,85,44,60,46,72
6,5,98,30,56,53,21,90,42
6,7,55,12,35,41,41,89,80
6,37,27,46,47,82,84,46,26
7,6,55,32,57,67,19,93,19
7,8,98,88,33,74,71,37,16
7,38,67,84,37,65,91,27,30
8,7,32,75,53,37,47,17,95
8,9,20,19,61,33,92,24,65
8,39,37,64,78,17,63,28,14
9,8,84,47,72,29,73,39,29
9,10,27,73,26,37,81,82,59
9,40,35,87,41,81,37,52,93
10,9,73,65,23,85,37,40,91
10,11,13,41,21,22,82,62,16
10,41,22,99,72,86,81,53,27
11,10,90,20,13,15,86,20,83
11,12,77,67,12,40,33,81,52
11,42,21,50,75,91,60,55,90
12,11,43,55,91,22,39,74,44
12,13,23,78,83,19,69,75,38
12,43,35,21,77,38,21,15,15
13,12,77,69,31,59,79,57,83
13,14,20,22,16,16,57,61,53
13,44,60,34,76,88,36,57,35
14,13,16,88,36,24,23,86,30
14,15,93,90,59,76,53,50,87
14,45,47,78,25,84,28,74,90
15,14,63,64,66,18,58,79,92
15,16,70,48,43,98,16,41,48
15,46,53,65,65,57,60,82,89
16,15,86,81,52,14,18,25,26
16,17,69,69,90,13,28,31,42
16,47,98,67,90,50,54,34,70
17,16,65,28,51,86,54,24,94
17,18,76,91,47,33,89,77,13
17,48,59,17,75,25,77,61,38
18,17,32,64,79,13,45,93,25
18,19,60,66,52,60,36,46,99
18,49,69,26,36,10,69,37,56
19,18,60,81,57,21,60,21,29
19,20,44,65,24,79,99,75,28
19,50,49,52,52,89,12,20,15
20,19,47,68,50,92,50,63,74
20,21,69,30,37,26,89,16,72
20,51,14,83,25,11,46,72,21
21,20,59,67,22,78,31,68,53
21,22,21,93,41,83,37,26,55
21,52,43,12,28,94,31,15,25
22,21,33,70,87,69,82,76,43
22,23,17,48,32,95,67,52,89
22,53,56,80,11,65,91,42,53
23,22,58,43,27,60,55,81,48
23,24,84,17,15,16,98,99,34
23,54,29,55,17,71,10,56,58
24,23,19,29,55,48,81,38,36
24,25,90,58,93,30,21,47,54
24,55,22,97,28,47,16,96,97
25,24,18,97,71,84,62,65,78
25,26,16,22,60,38,69,26,98
25,56,83,45,62,98,22,37,45
26,25,61,62,36,94,74,99,29
26,27,92,55,64,42,77,94,25
26,57,14,14,14,63,40,20,77
27,26,21,81,78,44,28,33,89
27,28,57,73,15,29,83,18,19
27,58,80,95,13,86,81,87,80
28,27,70,89,53,21,95,46,80
28,29,42,90,84,84,29,63,86
28,59,40,23,55,46,18,34,41
29,28,92,67,42,21,26,74,88
29,30,54,71,94,95,41,74,67
29,60,36,41,69,78,69,61,60
30,29,41,19,84,11,80,46,93
30,61,91,39,96,87,81,89,41
31,0,95,23,97,94,58,29,84
31,32,97,54,62,64,26,70,66
31,62,13,59,71,65,65,57,84
32,31,69,16,90,78,86,45,39
32,1,40,57,80,20,10,76,43
32,33,36,81,58,87,99,33,80
32,63,76,17,22,35,15,49,81
33,32,87,89,81,75,91,70,86
33,2,84,76,37,99,54,67,28
33,34,60,76,79,42,13,49,15
33,64,16,44,50,47,53,26,96
34,33,55,96,45,47,87,57,16
34,3,12,34,72,24,25,48,22
34,35,80,93,30,46,21,74,93
34,65,25,93,16,84,49,22,84
35,34,18,98,84,53,46,65,20
35,4,63,39,44,44,34,63,38
35,36,38,18,94,78,24,74,14
35,66,62,54,48,47,76,21,87
36,35,67,43,48,98,26,74,67
36,5,50,51,34,22,94,97,55
36,37,20,79,16,28,59,29,59
36,67,47,91,13,46,98,23,99
37,36,20,92,77,34,52,96,87
37,6,14,69,90,13,40,44,45
37,38,39,66,58,83,68,99,93
37,68,64,60,19,97,30,32,75
38,37,58,40,46,98,72,70,13
38,7,65,97,80,23,37,23,53
38,39,95,31,56,60,63,68,30
38,69,49,32,43,86,15,59,44
39,38,23,21,77,69,48,42,37
39,8,54,38,18,77,41,38,48
39,40,52,43,14,13,70,68,81
39,70,82,27,67,47,86,40,28
40,39,85,85,50,87,41,66,81
40,9,78,24,24,52,69,54,61
40,41,58,34,41,35,91,79,61
40,71,34,36,83,25,84,37,29
41,40,25,52,52,51,23,21,41
41,10,70,63,72,29,56,80,67
41,42,40,33,85,24,38,53,25
41,72,32,48,87,51,63,68,10
42,41,34,87,44,43,71,29,41
42,11,20,26,15,60,11,28,18
42,43,48,94,55,35,64,43,84
42,73,43,86,81,86,70,46,51
43,42,36,55,12,57,35,43,98
43,12,76,64,11,65,40,17,50
43,44,95,40,29,86,46,57,39
43,74,93,51,12,55,14,17,27
44,43,26,15,35,77,35,66,58
44,13,67,19,35,14,95,38,88
44,45,93,42,16,53,64,83,79
44,75,89,98,64,63,39,62,97
45,44,71,79,78,17,36,72,33
45,14,32,60,26,88,84,44,72
45,46,53,20,36,61,59,84,73
45,76,29,71,24,68,60,94,88
46,45,50,58,96,11,21,57,77
46,15,11,41,44,73,74,14,55
46,47,31,93,19,16,65,53,85
46,77,63,31,35,71,21,90,66
47,46,17,69,14,50,16,43,94
47,16,35,88,23,19,36,21,66
47,48,45,10,54,70,97,82,84
47,78,92,16,54,90,47,99,37
48,47,66,64,38,24,57,27,79
48,17,55,87,85,95,88,61,46
48,49,26,95,37,15,32,88,57
48,79,81,17,42,27,33,38,20
49,48,77,50,19,24,45,42,65
49,18,18,28,22,81,22,42,72
49,50,65,55,81,68,86,59,20
49,80,11,37,16,58,68,23,96
50,49,81,44,79,41,23,22,43
50,19,13,11,88,55,50,92,57
50,51,44,23,87,96,38,21,99
50,81,69,52,81,88,11,17,93
51,50,42,65,89,20,81,99,59
51,20,92,15,68,44,36,68,38
51,52,62,93,46,95,67,25,73
51,82,20,71,24,50,68,65,69
52,51,21,77,56,49,32,58,26
52,21,17,87,52,49,31,60,14
52,53,61,31,78,13,97,80,67
52,83,45,56,34,18,20,82,12
53,52,92,99,30,89,67,94,38
53,22,67,41,66,26,18,26,92
53,54,26,79,10,38,32,76,52
53,84,42,19,27,91,40,52,15
54,53,30,72,10,90,83,31,47
54,23,47,35,20,44,49,81,37
54,55,95,40,14,62,52,94,71
54,85,37,94,14,92,51,64,93
55,54,35,23,85,16,75,92,55
55,24,92,41,59,84,49,76,17
55,56,30,62,58,82,88,25,31
55,86,91,78,75,30,85,72,34
56,55,99,80,44,80,90,89,15
56,25,98,57,47,49,72,14,40
56,57,34,47,17,47,18,10,97
56,87,76,30,16,56,87,83,32
57,56,69,37,21,30,84,98,64
57,26,89,54,50,68,94,59,17
57,58,77,19,22,66,55,96,80
57,88,12,72,91,62,98,72,59
58,57,55,56,38,23,96,51,26
58,27,74,85,99,25,46,17,80
58,59,71,76,34,12,61,79,53
58,89,49,21,27,86,39,12,38
59,58,28,90,67,59,72,37,18
59,28,33,31,70,60,28,56,78
59,60,59,44,93,88,59,68,59
59,90,39,67,75,60,56,47,87
60,59,93,70,74,61,11,16,44
60,29,21,65,34,53,56,10,26
60,61,74,75,99,31,28,29,51
60,91,85,69,95,50,68,63,72
61,60,78,96,90,32,27,26,70
61,30,53,17,62,59,50,57,93
61,92,79,79,74,93,98,67,77
62,31,98,31,91,22,62,47,70
62,63,52,42,34,56,90,38,31
62,93,36,71,78,17,50,23,10
63,62,35,25,57,66,13,63,63
63,32,77,17,19,62,27,83,76
63,64,28,64,37,92,52,89,69
63,94,17,39,68,49,91,79,46
64,63,68,47,47,82,12,55,11
64,33,79,44,34,34,42,40,75
64,65,68,87,15,88,64,83,76
64,95,92,84,54,81,72,55,98
65,64,55,26,40,42,29,24,59
65,34,37,24,27,71,10,43,41
65,66,44,39,57,49,28,67,67
65,96,32,36,52,99,36,20,40
66,65,39,48,70,85,60,15,90
66,35,51,85,85,25,25,70,46
66,67,96,21,13,76,72,80,20
66,97,10,76,94,87,21,84,95
67,66,90,58,65,63,16,73,74
67,36,76,63,32,87,97,17,28
67,68,85,59,27,99,39,93,35
67,98,49,93,58,51,66,93,85
68,67,16,31,98,48,53,55,67
68,37,40,29,91,22,92,99,69
68,69,60,58,82,56,74,93,64
68,99,42,58,59,31,34,36,18
69,68,77,51,48,63,60,24,41
69,38,90,55,73,78,91,71,34
69,70,47,65,21,42,36,84,12
69,100,56,82,74,56,21,81,70
70,69,50,38,26,52,15,19,56
70,39,90,59,97,88,26,74,33
70,71,82,53,53,64,23,94,32
70,101,76,15,73,19,18,34,20
71,70,67,67,69,12,96,57,61
71,40,62,70,42,18,65,45,92
71,72,45,44,41,20,62,13,18
71,102,36,14,16,46,60,12,24
72,71,41,66,66,42,97,76,29
72,41,13,83,99,60,78,48,47
72,73,80,51,60,28,33,20,22
72,103,48,83,58,74,78,52,78
73,72,40,60,78,31,78,81,40
73,42,24,80,69,29,13,77,42
73,74,71,71,62,35,15,62,18
73,104,31,60,48,16,39,48,30
74,73,27,27,55,44,28,47,78
74,43,29,44,65,11,39,94,80
74,75,83,37,94,56,12,85,78
74,105,17,75,20,59,87,20,14
75,74,96,97,50,51,36,12,61
75,44,31,86,73,17,94,78,65
75,76,57,30,68,62,53,65,89
75,106,64,80,48,51,42,19,28
76,75,61,68,65,30,86,77,35
76,45,69,79,13,19,79,58,53
76,77,58,91,97,72,28,97,37
76,107,39,19,65,45,99,54,28
77,76,22,86,76,49,33,30,40
77,46,96,56,71,66,54,43,39
77,78,85,53,40,91,20,87,51
77,108,62,24,54,92,38,91,86
78,77,86,16,68,17,71,18,24
78,47,30,96,45,17,33,82,73
78,79,38,29,27,63,99,77,58
78,109,53,35,37,19,29,65,37
79,78,44,28,77,77,51,79,27
79,48,74,25,21,73,61,81,29
79,80,41,39,95,18,79,68,52
79,110,38,85,96,19,10,17,46
80,79,39,99,20,85,91,81,66
80,49,22,42,18,88,64,40,64
80,81,76,30,54,46,79,59,77
80,111,70,59,50,17,69,25,96
81,80,88,74,77,17,68,17,58
81,50,99,91,69,33,46,74,47
81,82,53,71,50,23,60,63,78
81,112,16,53,32,14,48,16,88
82,81,29,87,34,87,75,68,28
82,51,37,98,44,31,63,48,18
82,83,75,29,94,63,35,79,54
82,113,77,84,74,38,64,32,79
83,82,58,47,18,39,57,26,74
83,52,32,11,25,26,40,44,96
83,84,41,27,74,79,58,41,59
83,114,71,15,35,59,95,56,61
84,83,54,80,28,87,20,55,11
84,53,51,18,72,51,76,91,86
84,85,10,76,90,94,94,62,41
84,115,66,66,56,36,43,37,41
85,84,47,26,95,69,30,34,77
85,54,48,29,82,47,66,49,82
85,86,28,42,10,80,71,80,80
85,116,85,32,25,76,53,42,53
86,85,30,77,27,17,52,83,18
86,55,19,23,79,43,70,57,38
86,87,91,57,15,86,72,98,81
86,117,64,96,57,84,93,63,35
87,86,45,39,90,68,83,90,57
