link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,1,71,24,62,33,72,42,55
0,31,33,71,22,74,39,44,47
1,0,74,74,31,34,88,58,23
1,2,36,59,96,96,25,80,49
1,32,53,71,40,69,45,37,54
2,1,77,13,38,23,60,55,52
2,3,25,60,63,46,90,35,61
2,33,23,97,13,16,38,76,92
3,2,78,56,58,33,49,20,26
3,4,75,85,22,59,81,99,91
3,34,54,31,36,60,56,71,17
4,3,94,31,10,42,32,14,90
4,5,14,90,86,51,52,68,51
4,35,54,55,47,25,39,58,64
5,4,23,32,95,78,22,25,10
5,6,34,54,44,53,85,70,14
5,36,92,63,35,69,46,32,53
6,5,71,67,23,17,87,49,94
6,7,61,64,84,93,85,88,96
6,37,39,55,44,64,27,32,10
7,6,87,94,42,83,16,57,35
7,8,84,28,83,10,58,60,41
7,38,88,14,70,58,68,32,64
8,7,19,81,83,99,13,90,73
8,9,73,97,96,85,56,75,82
8,39,98,29,34,62,68,50,58
9,8,82,18,66,10,81,88,77
9,10,92,48,63,60,86,62,37
9,40,40,45,30,99,59,87,20
10,9,20,90,65,61,89,81,23
10,11,10,82,22,89,28,11,34
10,41,63,21,45,32,83,29,65
11,10,44,61,40,88,28,78,60
11,12,36,18,95,23,16,22,99
11,42,89,32,93,81,99,61,66
12,11,49,84,70,57,25,15,14
12,13,14,73,85,36,66,29,51
12,43,14,83,56,27,51,86,27
13,12,63,81,73,63,53,81,58
13,14,82,82,43,60,68,91,30
13,44,41,68,69,38,33,85,71
14,13,69,64,62,23,62,14,66
14,15,76,13,96,54,90,96,72
14,45,45,21,17,41,75,53,22
15,14,24,19,61,38,91,24,82
15,16,51,35,53,84,12,73,73
15,46,32,65,13,85,22,24,78
16,15,68,72,48,59,89,47,87
16,17,22,92,66,91,89,74,29
16,47,83,29,88,40,97,64,74
17,16,97,79,82,24,69,69,50
17,18,99,86,61,36,58,32,54
17,48,67,47,33,40,18,24,67
18,17,47,84,14,72,37,53,14
18,19,71,30,96,35,61,22,79
18,49,92,96,29,77,26,89,12
19,18,46,13,39,87,96,55,24
19,20,15,90,24,36,42,62,57
19,50,84,45,44,38,12,14,39
20,19,76,10,59,86,17,42,34
20,21,26,80,80,87,31,96,70
20,51,47,79,19,27,30,67,25
21,20,91,73,56,70,91,24,90
21,22,22,93,20,75,11,74,30
21,52,73,49,14,93,36,79,24
22,21,81,96,49,51,52,75,18
22,23,61,39,80,84,27,79,86
22,53,39,22,90,29,55,60,28
23,22,47,41,96,30,93,62,36
23,24,76,72,16,47,70,23,45
23,54,21,94,85,41,23,52,10
24,23,79,61,27,20,26,99,97
24,25,46,37,30,60,32,27,63
24,55,50,59,43,85,65,10,72
25,24,76,72,86,52,53,15,19
25,26,22,46,43,51,76,94,45
25,56,53,84,87,31,68,35,97
26,25,98,37,90,89,66,81,49
26,27,80,71,81,62,65,41,33
26,57,66,38,15,22,19,99,78
27,26,43,18,40,29,63,45,75
27,28,39,50,26,38,86,62,73
27,58,27,25,28,48,67,31,33
28,27,62,18,63,21,33,21,42
28,29,77,34,30,63,24,67,77
28,59,50,97,25,36,28,96,12
29,28,55,14,44,89,49,63,96
29,30,75,90,21,50,20,22,54
29,60,56,87,91,62,22,20,21
30,29,91,11,78,79,52,67,35
30,61,13,52,71,88,79,16,78
31,0,34,29,71,11,43,16,81
31,32,90,42,87,58,34,86,12
31,62,94,26,27,20,70,82,30
32,31,98,74,81,39,97,80,63
32,1,26,43,54,51,23,66,79
32,33,37,74,29,62,74,58,39
32,63,59,13,24,23,24,22,50
33,32,55,18,44,33,68,78,59
33,2,75,15,77,44,68,72,65
33,34,36,75,82,23,46,87,85
33,64,29,12,81,64,43,30,59
34,33,16,66,94,55,46,33,24
34,3,34,64,12,73,69,66,10
34,35,31,62,25,12,98,82,83
34,65,82,91,42,59,90,38,85
35,34,46,63,45,76,97,60,45
35,4,74,98,64,33,28,17,43
35,36,43,80,84,48,56,19,34
35,66,78,34,78,91,24,91,30
36,35,92,37,31,98,38,17,21
36,5,76,89,24,29,71,16,99
36,37,17,36,94,29,11,15,93
36,67,72,14,50,98,57,90,96
37,36,91,97,39,40,57,80,41
37,6,46,23,77,82,25,72,33
37,38,74,63,27,34,76,86,99
37,68,46,63,73,81,96,43,38
38,37,21,13,88,84,87,46,77
38,7,30,50,18,86,50,97,72
38,39,89,27,14,60,10,62,25
38,69,24,17,21,72,66,53,17
39,38,16,31,42,88,46,65,54
39,8,80,21,53,71,35,48,80
39,40,71,85,91,45,89,87,38
39,70,14,57,75,79,43,98,17
40,39,96,55,97,74,10,66,21
40,9,98,59,20,59,63,45,29
40,41,64,60,89,92,57,72,19
40,71,13,63,93,97,30,45,70
41,40,35,26,87,93,83,69,84
41,10,52,87,33,15,93,59,94
41,42,32,27,75,24,63,27,29
41,72,93,45,43,10,82,55,60
42,41,76,52,87,41,24,25,56
42,11,15,41,52,78,23,10,64
42,43,38,36,75,59,72,83,45
42,73,74,15,32,69,21,38,92
43,42,80,92,68,63,94,17,97
43,12,71,16,22,59,80,55,69
43,44,52,91,63,60,36,81,22
43,74,34,29,89,61,32,76,71
44,43,99,57,36,78,13,23,68
44,13,59,79,19,42,37,87,68
44,45,96,85,91,60,41,67,67
44,75,90,54,66,19,60,93,61
45,44,96,92,86,24,14,21,53
45,14,71,48,70,84,17,53,28
45,46,36,70,91,90,19,88,51
45,76,69,57,37,99,91,58,82
46,45,53,50,41,33,20,12,91
46,15,78,49,95,13,19,12,29
46,47,46,65,48,33,19,63,89
46,77,60,33,73,21,56,68,45
47,46,58,60,49,74,96,13,61
47,16,17,12,39,30,98,50,27
47,48,64,80,48,52,89,28,14
47,78,16,67,98,48,58,69,72
48,47,67,24,11,79,24,48,46
48,17,80,92,90,44,98,90,24
48,49,19,82,54,98,78,66,42
48,79,55,40,88,35,59,69,82
49,48,84,79,75,12,91,49,70
49,18,94,10,81,22,93,46,23
49,50,48,75,31,35,41,24,42
49,80,22,83,63,95,68,26,27
50,49,99,93,33,90,69,98,77
50,19,76,63,59,47,13,60,77
50,51,86,50,85,64,79,54,71
50,81,41,85,91,53,63,67,37
51,50,99,32,71,58,45,15,98
51,20,38,93,10,77,67,36,83
51,52,66,66,42,67,47,44,98
51,82,99,79,59,37,49,80,28
52,51,88,73,20,19,56,75,13
52,21,62,51,34,27,78,11,65
52,53,89,86,77,98,61,74,80
52,83,46,65,96,85,60,86,56
53,52,85,51,94,63,48,16,46
53,22,78,56,69,50,70,24,83
53,54,15,75,33,46,13,44,38
53,84,39,53,87,86,58,71,37
54,53,56,95,26,53,42,27,12
54,23,13,92,34,32,23,59,28
54,55,51,76,60,59,14,91,34
54,85,66,17,27,79,90,30,25
55,54,72,94,25,52,21,10,97
55,24,15,56,61,11,93,19,90
55,56,72,37,26,80,11,51,87
55,86,40,18,27,32,87,48,96
56,55,48,10,51,98,91,99,14
56,25,43,19,70,40,79,70,29
56,57,47,11,15,57,47,69,40
56,87,84,80,26,10,44,48,37
57,56,89,19,51,52,35,16,42
57,26,85,38,89,44,78,84,73
