link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,2,83,24,97,94,81,87,99
0,4,26,97,21,71,20,12,99
0,5,37,66,31,18,25,68,43
0,7,35,45,75,35,71,92,36
1,8,33,26,19,99,41,49,70
1,6,35,49,77,47,70,49,65
1,4,56,23,67,85,98,96,20
1,5,22,57,26,53,15,90,32
1,22,79,64,87,78,40,22,99
2,10,11,55,13,48,36,87,44
2,3,42,82,16,13,44,76,23
3,10,77,55,15,61,76,61,95
5,12,60,84,86,88,52,83,51
5,8,89,97,93,19,45,22,77
6,7,33,84,69,66,78,41,84
8,9,86,24,84,74,56,35,83
9,12,70,43,38,53,52,99,41
10,20,46,60,31,53,48,59,84
10,13,62,17,12,63,24,91,16
10,14,56,88,99,48,97,84,79
11,13,81,16,13,96,52,29,14
11,22,18,18,39,80,24,71,62
11,21,97,78,10,44,10,30,62
13,14,79,94,28,68,76,27,66
15,16,72,43,98,58,72,75,84
15,22,90,21,75,28,69,88,71
16,18,72,54,50,79,79,57,22
17,18,23,29,49,37,20,90,58
18,19,47,52,16,57,48,94,88
18,21,65,70,93,46,81,68,89
19,20,69,36,78,84,43,10,32
2,0,82,28,65,13,81,44,88
4,0,82,29,66,70,91,32,88
5,0,58,92,61,93,20,69,28
7,0,69,26,41,90,53,36,76
8,1,67,46,75,69,84,71,58
6,1,83,94,39,92,80,70,83
4,1,26,39,98,75,13,84,48
5,1,41,55,54,74,89,62,43
22,1,62,20,78,70,21,82,83
10,2,79,84,11,75,39,72,83
3,2,73,38,60,39,86,90,18
10,3,91,27,83,84,49,95,40
12,5,39,31,50,26,43,55,34
8,5,24,87,54,49,83,12,47
7,6,77,12,14,12,28,89,76
9,8,78,97,34,52,90,80,18
12,9,84,82,44,54,35,12,79
20,10,75,62,87,17,66,48,60
13,10,40,66,36,67,66,33,76
14,10,93,71,43,55,84,48,58
13,11,56,30,91,14,70,30,27
22,11,11,36,27,48,80,94,39
21,11,90,11,95,51,84,30,20
14,13,36,25,19,72,46,99,83
16,15,73,69,26,58,52,31,23
22,15,42,74,32,69,16,19,43
18,16,60,69,21,13,77,56,57
18,17,86,50,27,86,25,22,33
19,18,41,79,38,78,16,65,32
21,18,25,91,15,50,59,24,46
20,19,55,77,57,32,58,74,55
source,destination
15,12
lower_bound,upperbound
190.4,285.6
249.6,374.4
267.2,400.8
0,319.2
0,376.8
0,386.4
included_node(s)
1
