link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,3,95,67,64,46,92,39,51
0,7,54,87,84,30,48,81,28
1,3,35,23,61,62,65,39,70
1,6,77,49,89,44,37,39,98
1,13,30,80,15,95,67,82,44
1,18,93,76,25,48,73,19,59
1,19,60,85,90,65,34,23,58
1,22,98,27,89,15,16,21,25
1,31,12,88,73,91,53,57,97
2,3,42,20,63,71,70,94,78
2,22,26,37,93,28,51,87,97
3,7,53,68,45,65,28,55,86
3,22,98,92,47,32,51,34,50
3,23,59,43,77,20,44,67,97
4,5,47,31,69,10,97,54,54
4,7,75,91,61,73,12,80,22
5,8,99,92,71,95,71,38,46
5,17,10,79,40,58,85,27,68
5,11,56,66,84,78,47,58,44
6,7,59,96,63,10,11,44,31
7,15,85,64,73,83,13,10,70
8,9,30,86,67,92,61,61,65
9,17,41,59,74,18,97,12,57
10,31,85,89,56,32,47,29,99
11,15,49,72,82,56,50,47,15
12,31,54,71,34,11,23,82,94
14,16,64,24,84,99,70,50,44
15,17,93,62,82,82,75,64,63
15,20,59,94,14,20,16,59,17
15,21,89,20,71,49,59,70,83
16,17,20,67,65,82,86,88,27
22,27,54,61,30,56,60,88,58
22,26,43,59,17,31,97,52,63
23,26,97,81,26,96,13,27,49
24,26,83,62,19,91,49,80,19
25,26,26,39,75,79,64,86,98
27,28,90,57,42,96,39,88,99
27,29,95,47,61,18,73,93,67
29,30,76,19,26,84,32,59,75
29,31,54,98,67,50,82,45,58
30,31,37,19,76,79,95,88,45
3,0,93,46,19,65,35,99,72
7,0,59,66,12,67,62,52,44
3,1,35,12,24,63,47,74,47
6,1,14,41,87,37,69,28,31
13,1,59,88,33,67,60,96,51
18,1,10,93,75,36,11,55,59
19,1,13,34,20,84,92,19,68
22,1,59,67,64,25,97,76,19
31,1,19,59,22,66,48,13,94
3,2,25,30,36,85,55,53,89
22,2,44,84,89,61,62,38,42
7,3,91,97,41,59,61,27,21
22,3,56,41,10,55,15,17,98
23,3,29,35,46,83,10,57,93
5,4,92,69,23,67,11,64,26
7,4,11,12,86,18,80,89,93
8,5,46,11,30,44,32,97,37
17,5,85,32,58,49,38,80,42
11,5,22,58,91,28,86,48,62
7,6,35,21,54,46,81,30,73
15,7,57,51,23,83,24,30,21
9,8,28,19,21,74,98,36,73
17,9,30,32,61,29,78,72,36
31,10,16,84,91,41,80,99,60
15,11,11,72,83,27,47,68,82
31,12,98,24,88,98,94,20,34
16,14,97,42,85,37,19,87,21
17,15,96,71,96,87,73,62,11
20,15,75,33,15,45,78,70,61
21,15,51,92,53,77,53,84,70
17,16,85,81,35,28,30,12,98
27,22,30,31,24,62,13,31,34
26,22,63,58,17,96,16,36,14
26,23,72,83,49,82,29,76,45
26,24,34,24,63,89,34,49,55
26,25,22,98,41,63,28,85,17
28,27,35,76,76,70,30,83,56
29,27,38,48,74,73,26,58,75
30,29,71,28,57,41,77,23,27
31,29,96,87,88,37,30,49,12
31,30,15,30,10,20,72,63,64
source,destination
2,25
lower_bound,upperbound
155.2,232.8
120.8,181.2
97.6,146.4
0,211.2
0,268.8
0,212.4
included_node(s)
22
