link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,3,71,13,15,58,66,14,91
0,6,33,34,39,28,63,98,52
1,6,74,90,56,22,53,41,81
2,3,36,94,13,27,37,48,49
2,28,53,98,51,46,29,20,96
4,5,77,26,66,44,75,27,14
4,7,25,37,72,68,18,21,68
5,8,23,59,15,83,37,13,36
6,11,78,55,72,34,16,74,32
7,11,75,75,40,65,55,33,19
7,14,54,36,48,29,68,90,69
8,17,94,29,43,16,81,22,33
8,12,14,16,47,48,88,13,27
8,14,54,34,84,90,15,54,45
8,9,23,31,89,76,44,69,67
10,17,34,82,85,15,13,79,97
11,27,92,46,97,31,86,51,58
11,14,71,74,89,60,76,70,65
12,14,61,43,62,94,68,67,80
12,16,39,78,83,81,45,17,75
12,17,87,92,30,63,85,53,49
12,23,84,76,61,15,29,74,84
12,24,88,17,22,45,16,37,37
13,27,19,72,48,14,86,43,49
13,29,73,91,22,23,80,81,83
13,14,98,46,62,23,20,81,88
14,33,82,74,11,42,83,39,73
14,36,92,46,64,94,55,44,97
14,18,40,21,60,31,84,15,55
14,19,20,30,48,72,32,25,98
14,20,10,89,94,48,90,84,84
14,21,63,24,27,79,12,71,98
14,23,44,16,77,52,47,23,50
14,26,36,80,50,23,43,25,27
14,27,89,71,31,96,39,19,99
14,29,49,14,28,89,67,86,46
15,16,14,96,68,57,70,94,31
22,35,14,98,93,27,48,31,67
22,28,63,64,86,34,56,51,34
25,26,82,13,92,82,38,31,16
30,32,41,35,85,82,55,16,38
31,32,69,52,86,53,24,42,94
32,33,76,32,35,88,19,43,39
32,34,45,93,32,82,95,71,56
34,35,24,76,70,43,82,48,91
3,0,51,15,25,26,54,12,97
6,0,32,38,70,49,98,12,53
6,1,68,74,67,26,68,89,11
3,2,22,80,66,77,30,34,24
28,2,83,71,84,43,29,69,85
5,4,97,52,51,60,65,96,77
7,4,99,34,48,40,16,77,64
8,5,67,99,45,48,10,43,31
11,6,47,59,25,95,71,86,66
11,7,71,96,87,96,54,20,65
14,7,92,90,20,24,42,76,15
17,8,46,96,39,18,43,67,54
12,8,15,71,50,90,90,11,38
14,8,84,36,74,18,49,20,12
9,8,76,69,89,39,79,34,61
17,10,26,53,88,24,22,26,88
27,11,47,78,68,18,91,94,48
14,11,91,46,68,71,82,96,21
14,12,22,60,28,66,22,92,39
16,12,73,58,70,31,34,71,65
17,12,81,17,51,29,73,67,20
23,12,61,64,46,55,41,40,37
24,12,39,16,38,79,57,28,49
27,13,47,67,45,46,21,50,40
29,13,76,80,84,41,87,81,24
14,13,21,19,82,23,85,49,55
33,14,79,55,82,81,28,56,68
36,14,46,84,70,85,63,75,70
18,14,50,94,17,63,95,44,84
19,14,76,48,67,25,75,80,76
20,14,22,22,41,80,45,23,61
21,14,53,99,84,80,11,98,43
23,14,98,76,37,65,36,82,82
26,14,80,86,98,59,13,65,24
27,14,66,41,50,19,31,32,20
29,14,43,99,21,98,17,52,67
16,15,39,38,11,19,30,61,91
35,22,27,66,51,11,89,99,74
28,22,62,99,18,99,17,47,51
26,25,77,88,78,14,91,99,57
32,30,50,62,38,97,44,72,91
32,31,55,89,28,75,11,24,56
33,32,75,46,17,74,34,66,64
34,32,56,85,78,49,34,73,81
35,34,91,78,54,83,50,34,20
source,destination
18,5
lower_bound,upperbound
352.8,529.2
127.2,190.8
206.4,309.6
0,306
0,358.8
0,308.4
included_node(s)
17
