link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,1,37,63,72,15,46,87,17
0,2,79,61,76,53,95,89,46
0,3,69,86,33,69,28,73,61
0,12,41,86,97,18,32,14,73
1,3,75,90,33,15,68,20,20
1,6,43,31,31,76,60,99,38
1,7,96,98,11,72,40,58,88
2,12,47,13,42,88,82,81,69
2,23,70,34,97,43,48,69,90
3,23,53,36,53,42,76,82,66
4,5,15,96,82,57,92,32,49
4,8,11,59,87,23,94,75,47
4,9,41,92,90,26,50,74,40
4,13,76,56,69,28,71,16,44
4,19,65,47,94,53,67,45,11
4,23,70,54,26,74,55,10,31
5,9,38,91,42,43,38,34,83
8,9,66,85,55,29,96,32,44
9,12,90,27,23,83,75,98,48
9,13,46,62,70,36,50,32,13
9,18,54,26,60,94,82,85,45
9,21,63,47,53,76,27,62,27
10,11,28,40,85,57,27,31,31
10,12,84,24,60,53,45,43,10
11,12,89,43,62,76,31,43,57
11,22,14,33,11,55,44,25,44
12,19,11,27,22,79,11,69,77
12,21,82,50,74,93,29,79,68
12,23,47,86,54,88,81,92,86
13,16,60,40,32,14,28,65,35
13,17,73,57,99,63,34,74,37
14,20,74,12,26,55,79,80,93
14,23,40,53,98,57,75,16,33
15,23,42,43,84,32,52,99,89
19,20,16,88,75,64,12,46,28
20,21,15,44,31,24,43,26,43
20,23,37,26,16,99,64,60,79
1,0,64,48,77,36,94,95,17
2,0,53,99,26,13,78,97,64
3,0,98,50,65,94,65,30,70
12,0,17,75,82,30,70,39,35
3,1,20,58,98,60,70,81,13
6,1,99,61,53,17,59,57,17
7,1,10,29,73,98,72,13,65
12,2,48,14,29,78,41,88,99
23,2,27,60,99,22,78,92,71
23,3,70,35,51,34,27,65,86
5,4,77,95,61,73,69,74,45
8,4,45,46,55,42,74,25,67
9,4,22,52,64,17,92,63,87
13,4,23,19,31,62,71,96,10
19,4,51,24,67,88,18,62,13
23,4,76,90,69,84,71,78,66
9,5,41,49,17,19,88,28,31
9,8,35,90,27,93,16,95,65
12,9,65,85,32,22,92,21,23
13,9,97,35,70,27,84,95,65
18,9,36,17,40,73,17,64,94
21,9,10,35,58,15,73,91,44
11,10,45,73,25,67,66,87,13
12,10,48,99,24,77,87,81,29
12,11,73,45,57,68,98,27,71
22,11,19,75,93,22,45,29,58
19,12,78,14,75,86,62,49,52
21,12,68,40,41,52,12,27,22
23,12,77,25,69,76,99,66,77
16,13,46,48,58,11,96,65,48
17,13,95,19,99,51,29,39,92
20,14,93,64,98,65,93,23,84
23,14,51,10,74,14,74,24,12
23,15,55,21,65,98,84,59,24
20,19,63,91,80,47,25,52,71
21,20,23,20,34,26,96,96,68
23,20,17,73,70,15,95,17,83
source,destination
23,0
lower_bound,upperbound
216,324
157.6,236.4
145.6,218.4
0,322.8
0,306
0,373.2
included_node(s)
20
