link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,3,95,10,85,65,17,56,85
0,7,68,67,26,65,26,28,29
1,17,48,48,92,62,48,17,26
1,5,45,58,72,44,35,95,97
1,6,58,93,12,82,29,35,16
2,9,27,35,79,18,96,94,32
2,3,15,51,13,32,89,96,61
2,4,41,17,81,37,87,60,86
4,8,27,73,31,31,79,86,96
4,5,87,13,28,75,71,97,71
4,6,93,90,28,88,28,60,86
5,15,93,42,37,74,67,31,12
6,16,28,80,82,98,37,72,85
6,7,73,80,55,79,90,33,31
8,12,84,57,43,11,73,87,64
9,17,11,77,14,10,58,64,28
10,11,70,18,30,61,25,44,36
11,17,98,18,59,11,24,26,73
11,12,81,84,81,65,24,75,86
12,13,58,63,30,23,19,14,87
13,14,58,35,27,66,49,59,40
14,17,74,85,65,50,54,87,29
14,15,35,87,94,58,87,53,86
15,16,41,40,88,12,49,64,95
3,0,62,27,92,68,35,27,59
7,0,48,52,23,30,39,22,16
17,1,62,25,91,82,10,58,32
5,1,83,47,61,79,47,48,37
6,1,68,54,90,88,45,54,75
9,2,76,12,33,14,23,62,75
3,2,37,75,38,20,73,45,49
4,2,63,16,37,54,14,62,60
8,4,97,31,49,31,92,43,94
5,4,38,23,30,34,21,14,27
6,4,60,64,10,50,39,19,57
15,5,55,77,13,13,21,68,63
16,6,55,10,61,42,18,99,11
7,6,65,67,65,73,81,15,70
12,8,49,84,85,40,60,80,49
17,9,72,73,83,26,49,47,97
11,10,53,71,83,10,14,64,93
17,11,42,37,65,81,40,40,87
12,11,65,67,72,52,16,30,61
13,12,33,51,28,61,94,37,41
14,13,67,17,21,60,30,25,70
17,14,11,77,16,53,42,17,77
15,14,86,80,32,61,52,91,59
16,15,38,77,41,73,45,22,58
source,destination
16,10
lower_bound,upperbound
357.6,536.4
402.4,603.6
284,426
0,534
0,620.4
0,518.4
included_node(s)
2
