link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,1,71,47,38,22,22,23,30
0,19,33,76,74,62,27,81,29
1,18,74,21,80,11,46,85,65
2,19,36,79,71,64,44,63,16
2,12,53,46,52,60,68,25,10
3,15,77,50,34,48,83,80,71
3,22,25,76,99,94,34,80,54
3,23,23,22,59,27,65,65,42
4,18,78,53,96,77,29,59,43
4,7,75,98,90,50,16,19,90
4,23,54,80,96,31,48,98,49
5,8,94,66,71,28,90,19,79
5,9,14,43,36,68,76,11,22
5,18,54,39,69,93,15,99,91
6,16,23,27,53,86,31,14,82
6,17,34,62,78,92,60,97,22
7,18,92,77,46,85,94,75,34
8,17,71,50,60,86,81,74,73
8,9,61,55,58,35,63,49,41
10,21,39,75,17,32,15,83,57
11,12,87,56,64,70,45,66,21
11,20,84,91,16,25,14,63,87
13,20,88,13,67,70,23,53,85
14,20,19,34,80,67,23,37,28
14,22,73,90,19,66,42,29,63
15,19,98,94,55,84,94,75,95
16,19,82,98,84,51,31,18,75
17,18,92,26,94,48,72,37,45
17,19,40,37,48,45,48,16,11
19,21,20,59,22,25,79,55,36
19,23,10,55,99,87,52,68,13
20,22,63,75,76,20,23,81,31
20,21,44,36,86,39,96,88,17
22,23,36,29,41,50,89,15,30
1,0,89,16,99,74,57,44,89
19,0,49,34,38,89,27,13,17
18,1,14,31,66,88,34,86,91
19,2,14,82,99,68,82,76,44
12,2,63,46,88,68,82,68,11
15,3,82,74,62,28,53,45,34
22,3,41,43,89,70,88,85,34
23,3,69,78,46,51,82,29,50
18,4,76,92,85,46,43,16,14
7,4,45,76,78,38,26,86,98
23,4,24,17,15,45,49,80,41
8,5,51,72,39,84,26,20,48
9,5,32,91,56,82,77,83,20
18,5,68,46,13,82,43,55,27
16,6,22,74,51,70,60,84,21
17,6,83,46,66,17,40,32,13
18,7,97,21,72,67,48,90,74
17,8,99,30,15,41,95,12,33
9,8,67,89,72,84,96,47,90
21,10,47,24,40,37,24,43,22
12,11,71,16,48,98,18,39,13
20,11,92,80,43,50,90,67,54
20,13,46,71,47,21,18,70,69
20,14,15,14,84,11,39,48,79
22,14,84,96,89,51,24,56,51
19,15,76,98,85,18,18,38,70
19,16,26,64,97,78,71,55,67
18,17,47,13,89,38,66,24,17
19,17,91,35,62,28,31,19,53
21,19,22,52,83,17,29,95,74
23,19,73,32,30,78,55,82,37
22,20,81,93,61,54,79,54,43
21,20,61,76,22,58,46,98,81
23,22,39,15,48,28,41,68,81
source,destination
14,19
lower_bound,upperbound
236,354
276.8,415.2
255.2,382.8
0,340.8
0,361.2
0,156
included_node(s)
2
