link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,1,95,88,71,56,97,88,19
2,6,54,20,40,11,13,99,94
2,8,35,37,84,99,49,52,89
2,9,77,68,63,82,64,74,42
4,3,30,92,73,20,39,28,21
5,3,93,43,67,49,73,96,98
5,4,60,31,74,82,32,55,93
5,6,98,91,56,56,82,19,26
5,7,12,92,82,31,95,76,93
7,6,42,79,34,96,35,13,37
7,8,26,66,84,91,62,53,42
9,11,53,96,82,79,47,38,62
10,9,98,64,14,96,69,27,73
10,11,59,86,71,18,60,17,21
12,13,47,59,65,84,11,57,73
14,8,75,89,30,50,92,64,36
14,10,99,72,17,79,97,89,60
14,12,10,71,26,65,48,97,82
14,13,56,24,19,67,55,80,34
14,15,59,62,75,63,62,48,21
14,17,85,94,42,37,61,30,11
14,19,30,20,61,67,15,30,61
14,20,41,67,26,36,10,36,70
14,21,85,61,67,84,11,72,98
14,24,49,59,76,25,80,99,34
15,8,54,81,19,66,32,68,14
15,9,64,62,12,85,38,20,45
15,10,93,39,24,61,86,87,55
15,11,59,57,87,59,81,62,17
16,9,89,47,33,55,24,70,56
16,15,20,19,75,83,98,84,75
17,18,54,98,20,67,78,12,27
19,18,43,19,64,18,80,31,12
19,20,97,46,22,44,47,36,64
19,23,83,66,36,49,94,76,21
21,8,26,12,89,28,19,49,24
21,19,90,41,41,46,73,85,25
21,22,95,88,10,83,78,83,14
21,23,76,93,46,74,53,58,92
23,22,54,34,23,29,30,23,70
24,0,37,67,86,41,13,49,93
24,1,93,59,30,27,16,63,86
24,2,59,30,58,98,29,51,32
24,3,35,84,91,37,34,28,66
24,8,14,97,54,87,28,70,97
1,0,59,41,23,45,30,98,95
6,2,10,35,21,77,26,44,55
8,2,13,69,61,28,77,59,20
9,2,59,12,91,62,30,58,39
3,4,19,11,83,96,72,25,41
3,5,25,32,88,82,39,97,31
4,5,44,58,85,89,81,78,92
6,5,91,21,96,63,39,97,93
7,5,56,51,15,70,39,86,91
6,7,29,19,53,73,82,50,90
8,7,92,32,35,41,19,97,79
11,9,11,84,24,37,23,54,58
9,10,46,72,17,20,21,22,87
11,10,85,24,49,92,57,46,86
13,12,22,42,63,48,94,68,65
8,14,35,71,41,65,87,44,96
10,14,57,33,76,37,55,31,62
12,14,28,92,74,67,34,70,44
13,14,30,81,57,73,67,65,60
15,14,16,31,88,34,54,57,78
17,14,11,58,10,16,80,99,17
19,14,98,83,46,53,38,15,36
20,14,97,24,30,70,27,94,93
21,14,96,98,62,51,58,44,73
24,14,75,76,44,28,44,63,29
8,15,51,48,95,51,10,17,63
9,15,85,28,48,44,61,83,67
10,15,30,87,65,97,12,27,67
11,15,63,30,15,12,29,58,48
9,16,72,64,91,71,47,63,85
15,16,34,84,71,85,82,49,27
18,17,22,61,28,47,50,19,95
18,19,35,89,65,11,64,98,92
20,19,38,15,32,13,59,99,89
23,19,71,25,20,61,70,67,87
8,21,96,90,10,97,88,75,34
19,21,15,89,73,47,88,58,20
22,21,67,73,95,50,52,45,79
23,21,87,63,58,23,27,72,27
22,23,23,93,78,70,80,44,64
0,24,49,45,10,75,86,47,32
1,24,80,47,83,16,88,31,58
2,24,76,77,92,59,93,51,74
3,24,85,69,18,86,59,59,71
8,24,27,61,32,60,45,68,44
source,destination
15,2
lower_bound,upperbound
212.8,319.2
166.4,249.6
238.4,357.6
0,271.2
0,330
0,342
included_node(s)
14
