link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,2,95,27,65,35,85,85,10
0,4,68,52,65,39,29,44,79
0,9,48,25,62,10,26,95,29
0,15,45,47,44,47,97,55,57
0,19,58,54,82,45,16,22,19
1,6,27,12,18,23,32,17,71
1,13,15,75,32,73,61,66,26
1,14,41,16,37,14,86,24,41
2,6,27,31,31,92,96,67,79
2,12,87,23,75,21,71,63,83
3,4,93,64,88,39,86,57,74
3,16,93,77,74,21,12,46,46
3,20,28,10,98,18,85,47,32
4,6,73,67,79,81,31,47,11
4,7,84,84,11,60,64,36,47
4,10,11,73,10,49,28,88,62
4,12,70,71,61,14,36,59,56
4,14,98,37,11,40,73,92,15
4,18,81,67,65,16,86,67,31
5,6,58,51,23,94,87,47,64
5,12,58,17,66,30,40,58,96
5,17,74,77,50,42,29,96,26
6,13,35,80,58,52,86,81,31
6,21,41,77,12,45,95,42,28
7,12,62,85,68,56,59,44,42
8,9,48,26,30,28,16,40,74
8,19,62,92,82,17,32,28,36
9,20,83,72,79,95,37,15,59
10,21,68,12,88,35,75,38,65
11,12,76,79,14,94,75,63,12
11,14,37,13,20,96,49,32,77
14,21,63,81,54,60,60,75,28
15,21,97,31,31,86,94,59,82
16,18,38,28,34,97,27,79,59
17,21,60,28,50,60,57,82,37
18,21,55,37,13,31,63,33,53
2,0,55,82,42,72,11,86,30
4,0,65,55,73,33,70,48,53
9,0,49,43,40,87,49,10,85
15,0,72,14,26,64,97,15,61
19,0,53,30,10,44,93,12,37
6,1,42,59,81,26,87,57,21
13,1,65,81,52,75,61,51,97
14,1,33,30,61,14,41,11,21
6,2,67,27,60,59,70,57,22
12,2,11,65,53,87,77,40,44
4,3,86,94,61,53,59,89,73
16,3,38,88,73,64,58,16,68
20,3,10,92,17,27,50,32,50
6,4,67,23,26,22,98,18,94
7,4,48,91,48,58,97,15,32
10,4,58,61,35,48,43,42,98
12,4,93,90,29,54,27,14,21
14,4,35,33,96,62,83,48,15
18,4,51,38,89,45,38,75,78
6,5,17,37,87,62,38,11,15
12,5,73,49,79,43,51,78,80
17,5,13,30,71,14,22,93,66
13,6,90,10,28,19,65,68,26
21,6,42,13,67,68,26,68,97
12,7,80,61,37,99,87,18,31
9,8,80,65,90,15,14,90,94
19,8,57,85,73,80,39,43,25
20,9,77,83,58,47,82,67,65
21,10,18,83,25,64,32,70,15
12,11,18,65,24,40,48,26,53
14,11,84,72,24,30,97,91,18
21,14,63,28,19,37,85,18,87
21,15,35,21,49,25,71,64,58
18,16,85,16,54,17,98,91,93
21,17,87,32,87,91,83,76,48
21,18,40,41,49,22,64,28,85
source,destination
3,16
lower_bound,upperbound
117.6,176.4
165.6,248.4
57.6,86.4
0,324
0,258
0,237.6
included_node(s)
4
