link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
12,14,71,89,11,65,44,50,75
10,14,33,46,99,32,55,91,64
48,14,74,85,14,52,77,61,75
29,12,36,78,97,61,85,14,25
0,29,53,15,75,99,13,92,35
28,29,77,39,74,47,72,86,43
35,10,25,56,49,99,96,25,93
44,10,23,13,83,72,22,13,60
25,10,78,51,66,24,27,44,69
48,0,75,66,63,66,45,34,28
46,0,54,72,53,73,88,55,57
4,35,94,15,37,34,20,49,94
39,35,14,72,29,91,77,67,34
44,28,54,40,75,52,40,68,24
16,28,23,48,18,81,43,96,57
23,28,34,43,37,49,58,93,29
46,28,92,47,16,96,99,81,71
4,44,71,84,55,14,77,55,48
19,44,61,89,68,68,88,47,17
38,48,39,85,81,36,76,71,23
36,48,87,97,88,32,90,22,82
31,3,84,89,15,19,37,68,48
11,3,88,62,44,69,88,67,63
43,3,19,83,13,33,58,12,76
32,3,73,30,86,27,75,59,32
20,3,98,61,76,45,97,50,37
11,31,82,22,68,67,59,49,96
13,31,92,48,45,97,38,92,81
32,31,40,22,85,58,93,96,91
2,31,20,62,29,65,70,65,34
13,11,10,11,16,80,23,65,80
8,11,63,64,86,75,38,98,28
8,13,44,60,80,49,77,57,50
25,13,36,48,20,84,53,26,55
49,13,89,94,83,37,75,12,43
2,8,49,27,55,49,80,11,75
32,43,14,77,84,83,25,64,50
20,43,14,50,32,88,71,27,88
21,43,63,31,90,73,54,15,36
27,43,82,28,12,97,94,98,71
5,32,41,68,47,55,68,13,68
27,21,69,93,43,98,94,22,45
22,21,76,86,39,84,66,47,28
5,21,45,92,67,98,97,32,54
38,6,24,85,70,50,35,80,21
7,6,51,86,48,27,10,95,37
22,6,32,35,56,99,55,25,35
15,27,68,32,38,46,86,24,82
36,38,22,70,55,31,77,12,75
39,38,83,25,24,67,43,62,43
7,15,97,70,19,34,63,85,57
4,22,99,67,95,16,29,24,57
5,22,67,66,82,38,33,82,81
39,22,47,84,54,94,13,52,20
