link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,1,86,62,35,65,80,87,34
1,0,64,20,26,54,34,81,23
0,2,22,21,36,73,90,41,96
2,0,99,17,32,63,53,50,86
0,3,91,61,47,52,72,96,93
3,0,83,45,32,54,17,79,30
0,4,62,92,31,29,96,76,73
4,0,81,67,29,37,62,38,17
0,6,97,26,34,45,27,58,28
6,0,73,42,36,14,18,67,90
1,2,77,30,31,83,91,83,50
2,1,31,47,25,59,48,37,46
1,7,86,95,16,63,72,47,14
7,1,57,37,61,20,12,75,19
2,3,25,35,64,11,20,44,46
3,2,54,92,71,27,65,46,50
2,6,70,30,85,97,87,53,88
6,2,98,91,37,84,11,66,87
3,4,55,99,42,10,65,34,68
4,3,27,98,60,17,96,81,16
3,6,55,34,62,40,40,20,13
6,3,98,76,17,69,69,16,86
3,9,67,69,34,64,24,40,19
9,3,32,89,35,37,84,10,98
4,5,20,77,25,93,40,23,14
5,4,37,12,84,76,12,97,81
4,8,84,55,80,27,74,22,79
8,4,27,74,79,86,85,51,65
5,8,35,71,35,69,65,39,81
8,5,73,49,51,45,22,87,67
5,17,13,28,41,63,78,51,51
17,5,22,33,23,35,98,78,15
6,9,90,59,67,51,46,30,42
9,6,77,39,67,89,30,82,47
6,10,21,93,97,88,51,28,53
10,6,43,21,66,93,70,27,35
7,11,23,74,51,43,89,62,29
11,7,35,85,28,69,48,94,26
7,24,77,78,86,83,32,17,95
24,7,20,53,38,40,16,20,47
8,9,60,79,54,74,18,23,68
9,8,16,98,69,66,75,52,97
8,12,93,52,53,90,16,99,46
12,8,47,36,22,37,80,60,34
8,13,63,35,82,39,39,28,16
13,8,70,77,70,53,79,43,44
8,14,53,28,46,16,97,97,75
14,8,86,17,67,88,26,33,94
9,10,69,68,59,38,80,61,31
10,9,98,79,78,16,62,31,95
9,14,65,68,27,95,22,14,63
14,9,76,92,21,68,72,72,86
9,23,59,55,48,75,83,38,43
23,9,32,37,52,22,88,97,34
10,11,60,44,98,95,18,72,84
11,10,69,32,63,30,24,13,48
10,16,60,39,88,50,52,94,15
16,10,44,51,78,74,44,46,25
11,24,49,96,94,16,61,54,65
24,11,47,10,76,19,18,85,87
12,13,69,90,81,71,56,86,82
13,12,14,76,87,32,91,57,16
12,17,59,85,89,96,16,64,54
17,12,21,49,49,74,54,16,24
