link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,33,35,44,53,82,90,29,35
0,34,15,21,19,46,89,58,41
1,2,40,44,26,37,98,96,84
1,3,82,96,76,68,30,59,61
1,38,96,98,74,64,25,79,49
2,1,92,60,49,41,92,66,92
2,35,90,85,78,43,11,18,38
2,36,79,41,60,22,73,64,94
3,1,43,86,52,27,71,76,57
3,4,41,97,95,69,72,40,16
3,36,46,85,23,49,41,34,76
3,37,48,17,66,47,48,17,75
4,3,10,97,72,68,36,18,82
4,11,28,11,85,83,82,50,96
4,33,20,31,45,52,42,92,96
4,35,90,95,59,77,57,98,92
4,36,50,78,13,23,21,74,31
5,6,76,13,41,79,63,60,41
5,7,68,24,72,46,43,51,71
5,37,36,91,94,28,34,85,23
6,5,54,11,18,46,91,61,92
6,7,35,53,39,61,12,99,16
6,8,19,21,63,51,50,38,63
6,11,13,97,48,44,19,47,86
6,31,31,35,45,59,77,53,17
7,5,30,95,77,81,58,69,22
7,6,23,95,33,32,19,99,28
7,21,83,65,38,13,97,41,44
8,6,42,67,95,41,83,62,70
8,10,47,43,37,23,35,15,60
9,10,46,24,13,49,56,99,29
9,12,67,63,48,24,35,43,57
9,32,14,54,99,22,24,63,53
10,8,38,20,29,39,54,58,13
10,9,49,59,76,44,18,92,18
10,11,11,14,73,76,91,94,92
10,15,30,71,30,70,46,76,95
11,4,91,45,16,40,19,62,47
11,6,80,98,33,50,26,58,48
11,10,25,57,72,87,69,52,14
12,9,33,94,63,99,43,92,53
12,13,27,45,99,89,57,45,24
12,14,63,26,90,35,69,59,80
12,15,85,53,87,29,69,10,87
13,12,45,46,84,34,91,47,20
13,15,73,99,87,39,11,13,38
13,16,37,48,47,58,78,60,79
13,29,47,76,50,47,13,73,41
14,12,11,13,29,18,26,63,69
14,17,95,25,19,94,21,12,13
14,27,73,30,96,28,89,58,16
15,10,55,66,89,54,69,76,23
15,12,82,68,48,55,76,63,19
15,13,83,41,59,69,39,48,69
15,31,58,64,89,50,79,23,61
16,13,13,55,45,66,15,16,79
16,20,65,36,88,51,49,18,44
16,23,33,21,23,73,88,74,79
16,31,87,20,36,69,12,99,75
17,14,59,55,84,82,84,70,66
17,18,32,16,12,48,23,80,91
17,28,33,87,39,71,21,99,95
17,29,26,18,84,58,19,13,23
18,17,37,60,11,22,89,95,44
18,22,23,97,20,10,65,57,98
18,26,28,30,23,55,27,95,84
18,27,38,65,37,50,81,90,88
19,22,43,68,92,70,64,33,56
19,27,19,27,81,85,88,57,31
20,16,70,25,22,90,59,10,36
20,23,20,78,27,58,33,37,22
20,25,94,21,45,46,31,49,36
20,30,87,60,21,41,17,45,50
21,7,73,56,17,45,55,48,54
21,23,41,65,32,27,53,12,24
21,24,84,58,58,66,98,44,23
21,31,98,56,95,74,18,52,82
22,18,68,65,69,75,31,62,55
22,19,83,35,60,65,63,17,54
23,16,99,21,24,45,35,67,13
23,20,63,80,40,69,95,26,58
23,21,57,55,56,83,52,65,23
23,30,54,77,65,51,94,96,79
24,21,46,10,41,76,71,80,30
24,30,92,48,68,53,43,66,82
25,20,64,93,55,92,73,19,40
25,26,11,56,38,43,38,48,99
25,28,19,74,56,94,44,74,78
26,18,88,66,30,27,23,46,20
26,25,88,28,64,12,40,48,74
27,14,68,81,92,38,28,96,44
27,18,72,72,32,65,36,78,63
27,19,73,15,93,35,13,99,69
28,17,46,51,39,87,90,99,20
28,25,99,33,86,78,78,73,98
29,13,86,13,65,35,69,18,30
29,17,64,33,52,94,69,56,94
30,20,89,50,23,28,59,25,86
30,23,81,33,58,96,85,93,38
30,24,36,50,85,79,58,65,77
31,6,60,65,35,71,70,78,75
31,15,91,63,75,16,70,30,12
31,16,30,24,30,25,41,66,13
31,21,99,77,47,12,77,75,77
32,9,26,20,82,51,25,30,57
32,33,62,79,53,94,84,30,79
33,0,46,35,57,30,38,20,90
33,4,24,28,39,77,34,72,91
33,32,82,44,74,69,16,83,87
34,0,29,60,17,86,53,27,97
34,35,23,39,15,22,59,92,95
35,2,98,77,67,38,11,61,45
35,4,76,67,25,69,58,45,20
35,34,67,68,71,64,53,88,74
36,2,96,77,98,66,34,41,27
36,3,30,15,45,22,91,11,54
36,4,32,62,78,18,79,59,66
37,3,97,33,36,99,62,42,26
37,5,39,41,54,68,88,37,33
37,38,72,28,60,35,92,57,38
38,1,86,14,91,64,54,80,53
38,37,97,74,46,59,16,33,29
source,destination
1,36
lower_bound,upperbound
436.8,655.2
411.2,616.8
400.8,601.2
0,584.4
0,697.2
0,697.2
included_node(s)
38
