link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,6,95,64,66,96,93,15,31
0,11,68,77,50,60,87,42,94
0,12,48,10,58,86,61,14,25
0,13,45,67,12,97,41,48,65
1,3,58,84,68,60,70,75,15
1,21,27,73,30,31,77,11,53
2,14,15,71,82,72,59,78,18
2,15,41,37,79,33,58,93,87
3,7,27,67,88,87,50,68,58
3,26,87,51,14,64,98,68,93
4,8,93,17,20,44,97,18,48
4,12,93,77,54,26,43,90,85
4,17,28,80,31,75,27,43,66
4,20,73,77,34,14,83,67,46
4,25,84,85,50,59,38,70,96
5,15,11,26,13,87,38,26,78
5,19,70,92,42,53,51,91,42
6,10,98,72,73,64,22,18,32
6,19,81,12,40,27,65,64,98
7,20,58,79,26,22,26,91,44
7,25,58,13,10,58,87,76,78
8,18,74,81,81,48,14,28,82
9,11,35,31,52,54,39,10,42
9,13,41,28,61,62,82,79,89
10,12,62,28,60,45,32,29,88
10,17,48,37,53,62,48,57,72
10,23,62,82,61,43,97,19,57
13,19,83,55,73,14,85,71,30
14,19,68,43,17,19,71,26,39
16,17,76,14,26,68,98,41,73
16,21,37,30,48,99,83,79,79
16,27,63,59,35,15,64,83,60
17,24,97,81,29,80,85,74,29
18,22,38,30,96,47,44,46,95
19,23,60,27,89,64,95,32,25
20,24,55,65,87,40,55,11,34
21,26,55,94,79,30,22,47,10
22,25,65,88,71,37,17,62,33
27,14,49,92,28,25,66,56,21
23,27,72,23,67,17,24,15,58
24,26,53,91,37,91,67,31,79
6,0,42,61,90,22,63,64,60
11,0,65,90,73,85,57,96,96
12,0,33,33,58,29,46,26,45
13,0,67,38,25,26,47,31,58
3,1,11,37,24,97,47,28,54
21,1,86,49,24,16,36,42,24
14,2,38,30,19,32,88,74,90
15,2,10,10,49,61,59,36,76
7,3,67,13,54,86,92,59,74
26,3,48,61,87,96,67,65,35
8,4,58,65,49,71,47,12,55
12,4,93,85,35,86,58,77,57
17,4,35,83,39,12,96,28,29
20,4,51,83,10,85,81,82,96
25,4,17,65,47,31,42,59,97
15,5,73,72,45,64,44,37,92
19,5,13,28,23,28,40,53,15
10,6,90,21,73,36,28,30,27
19,6,42,16,14,73,15,53,83
20,7,80,32,92,86,38,85,79
25,7,80,41,21,87,63,61,96
18,8,57,65,39,40,32,37,43
11,9,77,65,21,29,75,21,60
13,9,18,62,18,86,59,97,53
12,10,18,44,81,95,79,21,58
17,10,84,82,60,59,82,22,85
23,10,63,18,49,16,33,44,15
19,13,35,32,14,32,86,73,43
19,14,85,37,40,37,48,68,58
17,16,87,31,16,75,10,50,26
21,16,40,75,94,75,15,94,22
27,16,27,88,30,49,12,32,70
24,17,52,74,42,60,57,98,22
22,18,25,98,52,94,51,21,58
23,19,47,79,45,27,11,15,80
24,20,54,11,56,57,57,78,28
26,21,12,10,28,63,40,15,34
25,22,75,61,17,11,89,80,71
14,27,16,11,95,70,16,66,57
27,23,31,65,35,49,32,26,98
26,24,23,23,94,97,18,97,58
source,destination
17,26
lower_bound,upperbound
806.4,1209.6
749.6,1124.4
850.4,1275.6
0,1170
0,1214.4
0,1381.2
included_node(s)
13
