link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
13,23,35,68,20,33,78,53,76
7,23,15,72,55,38,36,92,39
8,13,40,73,16,95,54,43,79
3,11,82,46,87,37,60,94,15
8,11,96,99,18,13,91,27,49
9,16,92,86,60,48,46,12,88
21,22,90,64,97,99,82,38,12
10,23,79,89,30,29,46,65,84
6,10,43,81,65,76,37,35,23
5,8,41,36,68,73,68,87,21
2,23,46,60,27,30,64,78,19
2,20,48,91,25,16,41,35,89
0,4,10,30,78,33,43,94,65
4,17,28,99,21,72,22,28,27
12,16,20,26,60,63,27,96,81
20,24,90,62,56,99,69,79,64
4,16,50,46,65,90,49,71,88
14,17,76,24,58,87,47,16,59
3,8,68,82,56,84,68,25,33
13,20,36,29,65,87,83,12,31
5,22,54,23,35,47,52,51,17
6,22,35,98,21,50,77,94,55
22,23,19,76,80,29,23,30,53
14,24,13,67,55,19,79,77,98
7,11,31,96,77,96,46,69,18
1,19,30,30,10,89,28,86,31
12,14,23,32,48,48,46,22,63
1,21,83,97,93,59,61,38,35
7,10,42,39,56,89,51,69,95
6,15,47,72,74,45,44,64,52
16,18,46,86,66,88,59,66,94
23,24,67,97,28,23,81,22,71
16,24,14,44,81,36,32,18,43
11,12,38,21,72,84,13,99,73
5,16,49,44,15,12,41,68,38
6,18,11,96,51,39,23,35,44
7,14,30,98,33,84,49,64,23
12,19,91,60,13,11,24,59,40
11,16,80,85,33,20,22,90,28
3,17,25,41,50,23,39,89,36
0,12,33,86,33,37,44,98,13
2,21,27,97,50,92,76,30,90
12,22,63,85,65,81,70,25,78
8,20,85,17,63,22,40,92,69
9,12,45,97,24,27,50,11,69
23,13,73,11,77,45,87,73,59
23,7,37,31,20,21,99,71,85
13,8,47,95,79,17,89,72,58
11,3,11,78,35,32,35,41,70
11,8,95,13,28,58,29,48,70
16,9,73,24,44,95,34,36,41
22,21,55,91,60,69,39,82,77
23,10,82,11,39,60,58,42,25
10,6,83,53,77,24,47,57,84
8,5,58,21,67,40,18,21,38
23,2,13,97,68,56,94,63,34
20,2,65,35,77,65,28,43,16
4,0,33,95,15,41,54,34,53
17,4,87,95,62,68,55,91,59
16,12,59,65,33,55,69,12,11
24,20,32,67,41,38,50,50,58
16,4,33,43,28,56,66,19,53
17,14,26,24,14,30,51,77,34
8,3,37,63,74,64,73,58,91
20,13,23,54,53,92,69,19,79
22,5,28,20,19,32,82,97,62
22,6,38,59,26,93,48,83,88
23,22,43,14,76,39,71,35,92
24,14,19,71,74,86,58,56,54
11,7,70,45,49,65,22,35,16
19,1,20,98,78,52,10,24,29
14,12,94,57,60,23,55,54,58
21,1,87,94,52,58,50,18,96
10,7,73,45,95,85,70,91,59
15,6,41,26,23,35,85,46,79
18,16,84,53,66,75,90,19,66
24,23,98,46,72,30,58,26,18
24,16,68,99,85,47,46,69,64
12,11,83,48,45,82,41,43,76
16,5,99,76,59,53,45,57,40
18,6,63,13,13,57,27,69,34
14,7,57,25,41,39,66,69,17
19,12,54,30,72,74,74,91,18
16,11,46,66,94,17,75,11,50
17,3,92,68,18,15,65,78,92
12,0,64,41,39,67,45,13,98
21,2,11,64,63,25,69,26,74
22,12,19,55,48,71,83,21,60
20,8,88,36,45,98,51,89,51
12,9,88,21,77,45,76,69,85
source,destination
17,7
lower_bound,upperbound
266.4,399.6
159.2,238.8
186.4,279.6
0,318
0,376.8
0,246
included_node(s)
14
