link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,1,76,58,47,46,24,16,55
5,4,95,39,99,47,11,91,21
12,11,28,33,31,13,17,91,50
23,26,70,68,36,99,76,45,41
26,23,25,53,12,24,31,90,97
5,6,50,37,99,52,14,56,82
6,5,22,61,10,73,22,95,74
6,7,56,80,10,10,96,80,21
7,6,11,66,96,59,98,37,16
7,8,14,54,55,40,92,73,81
8,7,68,17,16,95,64,97,72
8,9,14,92,13,29,84,88,87
9,8,73,43,59,32,91,92,79
8,11,29,63,91,69,60,55,23
1,0,32,50,90,44,66,11,40
11,8,91,41,54,27,74,87,93
9,11,34,63,93,49,48,74,73
11,9,65,81,54,40,17,34,40
10,11,41,44,28,10,59,50,53
11,10,85,22,10,10,44,57,85
9,10,35,39,81,94,78,65,68
10,9,82,62,44,45,33,41,36
10,25,68,20,32,31,14,90,33
25,10,58,17,53,14,15,49,98
24,25,23,96,24,52,21,73,24
1,2,87,98,22,62,77,30,39
25,24,75,60,22,74,72,97,19
22,24,57,34,33,42,92,66,43
24,22,38,23,38,28,42,53,83
23,24,68,28,88,98,45,30,45
24,23,44,74,75,71,17,89,33
22,23,14,71,75,64,56,59,39
23,22,26,20,87,46,46,74,56
21,23,24,98,58,36,76,80,35
23,21,36,91,11,25,33,56,70
22,26,41,25,52,22,67,64,16
2,1,65,35,19,78,42,36,17
26,22,48,52,11,89,97,14,96
21,22,50,57,52,75,63,96,27
22,21,28,53,68,37,93,63,23
20,21,14,58,18,29,51,77,39
21,20,18,64,20,70,79,56,52
0,20,32,45,71,19,77,14,62
20,0,77,53,67,51,94,70,18
19,20,38,79,12,92,92,11,27
20,19,17,85,61,53,95,15,54
0,19,31,85,22,31,68,19,11
2,3,62,43,57,93,40,37,52
19,0,72,28,68,45,12,92,84
19,21,62,81,40,83,28,60,54
21,19,99,17,57,93,74,85,89
1,19,59,58,11,39,42,57,52
19,1,44,44,36,28,51,91,43
19,26,67,28,79,76,41,37,23
26,19,18,27,54,95,47,58,51
21,26,57,92,50,70,24,26,57
26,21,16,78,53,39,70,19,52
18,19,45,40,28,69,20,56,22
3,2,66,78,35,64,68,83,53
19,18,44,91,81,19,13,62,88
18,26,65,20,16,68,55,38,58
26,18,11,52,62,36,75,72,76
3,18,11,25,18,73,59,21,79
18,3,81,82,56,66,92,12,66
17,18,77,50,20,24,14,52,11
18,17,37,68,19,51,44,30,11
15,18,23,97,98,78,21,28,72
18,15,42,38,82,93,46,41,70
18,23,38,73,72,40,41,34,97
3,4,63,17,12,15,37,77,52
23,18,60,81,50,82,39,56,45
15,23,42,83,81,59,45,11,36
23,15,33,33,23,38,16,33,94
15,25,45,79,73,91,69,22,97
25,15,20,37,10,62,39,33,96
14,15,61,13,77,30,98,86,73
15,14,52,26,87,97,64,80,51
10,14,41,74,74,45,98,43,97
14,10,75,98,34,23,38,24,25
12,14,76,97,17,42,29,72,88
4,3,93,55,14,28,26,55,14
14,12,36,15,43,68,65,61,14
15,16,36,55,18,34,61,81,40
16,15,37,51,92,98,29,46,47
15,17,94,33,74,44,96,88,27
17,15,96,34,25,29,61,91,43
16,17,46,43,95,31,43,24,56
17,16,10,11,27,35,28,60,32
4,17,41,64,43,51,33,47,56
17,4,13,73,30,85,11,59,99
13,16,97,55,61,44,31,22,20
4,5,96,37,12,19,40,38,66
16,13,66,26,83,21,38,31,37
4,13,98,70,69,70,43,86,51
13,4,78,19,20,75,32,40,84
5,13,43,28,55,36,42,36,90
13,5,35,90,41,21,77,16,52
6,13,53,69,70,15,96,59,57
13,6,76,18,37,81,41,29,22
12,16,25,63,13,13,71,92,11
16,12,16,76,72,21,33,36,61
11,12,88,52,39,63,70,37,57
source,destination
23,4
lower_bound,upperbound
384,576
408.8,613.2
399.2,598.8
0,554.4
0,720
0,772.8
included_node(s)
25
