link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
19,2,91,31,59,36,21,54,87
19,3,35,62,43,24,69,61,82
19,11,62,71,42,16,14,24,42
19,14,15,79,72,51,73,20,39
16,19,78,71,12,15,57,57,63
19,21,15,41,40,83,59,15,96
19,22,56,99,18,72,32,21,46
20,9,43,78,65,34,90,37,12
22,8,92,71,97,48,12,67,49
22,13,68,41,34,36,88,22,78
22,23,75,42,14,54,40,68,33
23,13,83,26,33,66,21,56,33
1,11,25,59,44,81,61,26,19
1,14,63,84,81,69,26,80,77
2,13,32,44,29,81,49,99,81
2,14,66,63,59,53,19,20,24
3,7,40,83,60,22,74,74,37
2,4,22,59,39,72,94,86,20
4,5,13,81,51,21,63,16,74
4,14,44,92,96,61,25,92,68
5,14,91,48,76,67,81,37,89
7,21,60,39,80,98,51,76,86
9,14,80,90,19,77,30,21,10
10,14,22,64,81,63,60,96,65
14,15,99,96,89,14,88,59,33
16,0,81,74,27,37,49,97,19
17,10,70,90,79,98,28,93,27
17,20,38,20,27,85,60,95,70
1,18,87,51,31,30,14,61,48
14,18,25,63,24,99,81,30,96
14,17,65,70,69,72,32,94,13
0,8,40,72,80,57,77,67,35
0,19,12,77,19,24,12,43,78
11,21,79,42,11,78,37,71,97
7,19,46,13,53,60,51,77,26
1,4,81,49,74,81,59,90,94
4,11,46,35,42,23,48,76,94
10,15,54,64,23,32,73,51,62
17,15,76,79,39,16,11,79,96
15,9,39,96,91,23,12,43,95
15,18,75,95,47,20,61,25,92
8,19,52,73,44,60,94,47,29
14,22,74,74,24,41,23,51,28
6,18,52,17,81,91,74,93,64
3,11,67,58,25,81,20,79,97
11,12,96,19,44,22,62,12,61
4,12,19,32,92,44,84,65,78
1,12,98,41,38,93,84,53,86
6,15,19,68,35,46,18,89,72
16,22,22,65,95,18,99,72,14
9,6,94,86,86,54,99,45,17
2,19,62,16,63,14,89,78,61
3,19,34,56,76,16,50,10,53
11,19,37,76,58,83,81,18,17
14,19,74,71,45,29,12,74,78
19,16,33,53,27,72,38,59,76
21,19,18,12,75,72,30,68,26
22,19,96,23,76,27,82,29,95
9,20,23,25,96,57,50,16,98
8,22,58,53,96,93,34,81,26
13,22,21,76,52,79,63,11,92
23,22,78,85,66,29,35,11,63
13,23,88,77,77,12,11,48,13
11,1,76,15,62,55,27,44,70
14,1,19,79,29,59,62,72,60
13,2,34,42,30,62,14,78,29
14,2,19,54,36,36,76,86,26
7,3,56,66,23,35,10,10,16
4,2,41,97,43,46,77,29,44
5,4,85,34,27,94,40,65,22
14,4,85,25,15,48,12,96,12
14,5,16,54,81,56,91,96,36
21,7,89,59,61,16,34,12,94
14,9,21,89,81,80,77,99,82
14,10,58,23,24,10,65,52,90
15,14,57,17,39,88,44,81,53
0,16,69,98,25,54,39,12,44
10,17,67,46,69,96,49,17,31
20,17,17,11,29,43,80,86,39
18,1,40,67,12,53,99,53,16
18,14,42,63,64,14,11,41,35
17,14,63,49,67,88,79,31,46
8,0,92,73,28,57,89,31,29
19,0,28,20,92,72,51,41,78
21,11,90,25,25,33,22,92,15
19,7,66,96,63,76,53,58,98
4,1,52,25,20,96,42,53,16
11,4,99,79,90,96,42,60,84
15,10,25,19,91,55,35,77,93
15,17,27,40,68,54,44,59,66
9,15,57,84,49,51,28,41,10
18,15,88,47,43,34,51,79,47
19,8,96,77,34,35,69,22,29
22,14,97,23,26,53,29,79,66
18,6,64,53,95,79,68,23,70
11,3,15,19,16,85,31,84,42
12,11,84,55,98,67,34,57,85
12,4,35,97,83,16,45,62,86
12,1,23,75,29,72,83,47,48
15,6,25,52,93,65,63,38,29
22,16,73,83,11,62,37,27,99
6,9,98,90,34,72,47,43,12
source,destination
14,21
lower_bound,upperbound
306.4,459.6
312.8,469.2
320,480
0,544.8
0,559.2
0,448.8
included_node(s)
5
