link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,22,37,90,31,79,67,74,67
2,20,79,69,44,17,31,75,52
2,44,69,94,11,64,87,83,67
5,31,41,26,29,70,84,90,32
5,39,75,42,81,35,20,33,86
6,25,43,55,28,13,49,25,73
7,22,96,23,34,17,98,90,34
7,37,47,70,79,65,60,53,51
7,41,70,60,75,99,32,53,34
9,18,53,53,52,71,17,82,80
10,26,15,85,12,86,92,63,97
10,36,11,60,43,45,74,49,36
11,49,41,62,64,67,14,70,21
12,4,76,11,94,87,36,57,78
12,9,65,22,78,10,26,31,63
13,3,70,74,65,13,62,78,10
13,15,38,54,70,66,46,61,88
14,38,66,32,70,31,88,27,69
14,52,90,99,59,65,86,29,18
15,39,46,26,72,23,82,92,55
17,6,54,98,41,65,41,70,55
17,48,63,84,78,94,52,51,15
19,11,28,75,27,44,12,61,17
19,42,84,31,69,13,75,94,70
20,50,89,16,74,29,73,11,73
21,43,14,77,92,71,31,41,37
22,24,11,26,71,58,65,34,19
22,25,82,65,18,52,48,68,65
22,26,47,82,71,22,10,86,71
22,27,60,98,88,77,50,85,14
23,22,73,53,16,48,93,65,25
23,24,74,73,92,92,67,22,90
24,25,40,29,84,84,33,60,57
26,25,42,99,17,12,42,10,83
26,27,16,51,73,24,13,13,22
28,24,15,61,66,71,43,83,95
28,25,37,55,87,68,43,25,56
29,25,64,64,98,83,63,55,46
30,46,53,31,45,37,56,88,46
30,52,98,67,62,67,66,30,43
31,8,17,69,12,16,70,37,78
32,40,20,17,99,23,48,13,44
33,16,99,27,96,12,92,69,31
34,22,10,32,29,36,75,59,90
34,40,48,70,93,62,36,60,22
35,4,27,40,74,12,18,91,46
35,9,70,58,84,39,89,37,52
35,12,77,25,25,29,72,73,62
35,25,45,24,96,33,59,70,67
36,18,22,57,95,56,76,18,60
38,47,23,93,87,94,54,65,17
40,22,51,75,89,50,52,40,22
41,37,76,41,73,51,80,21,65
41,39,41,69,14,90,19,78,77
42,50,35,58,20,53,27,87,44
43,1,65,99,99,70,15,22,38
45,0,97,98,58,62,40,71,14
45,25,36,74,81,12,83,21,15
46,19,10,65,69,75,54,81,94
46,22,45,80,82,36,92,58,37
46,44,48,34,32,41,85,58,20
46,47,73,70,75,75,47,98,19
48,16,19,15,74,80,22,70,27
48,25,78,53,16,77,18,18,29
49,1,68,69,45,77,41,98,54
49,31,77,18,10,94,25,35,91
51,3,46,15,34,48,14,53,76
51,20,95,76,32,45,75,23,63
51,21,93,72,98,40,79,43,90
51,25,51,88,32,75,60,93,23
51,29,55,43,85,65,93,96,58
51,49,63,42,62,46,49,70,68
53,9,23,57,31,51,60,96,19
53,40,17,23,43,67,85,65,79
26,53,63,26,43,34,76,82,58
32,7,61,28,25,65,87,18,31
37,39,86,53,69,32,56,18,25
39,31,86,74,79,63,66,71,10
21,13,90,43,92,84,21,81,83
33,20,31,29,65,17,67,79,82
22,0,98,83,74,72,94,42,60
20,2,13,36,80,41,28,99,90
44,2,34,94,16,58,19,71,56
31,5,36,76,99,23,74,53,78
39,5,96,57,46,31,37,39,67
25,6,59,53,26,63,37,58,90
22,7,92,76,60,45,79,66,68
37,7,56,55,95,45,29,11,33
41,7,47,79,97,27,72,32,95
18,9,54,93,30,72,85,99,24
26,10,91,88,39,72,73,21,22
36,10,85,14,81,20,57,80,67
49,11,27,63,57,47,84,97,86
4,12,62,55,13,52,85,43,39
9,12,26,57,88,87,27,51,48
3,13,47,32,92,77,26,57,40
15,13,40,64,65,99,63,69,31
38,14,24,24,74,36,83,94,25
52,14,43,99,25,22,91,32,55
39,15,33,36,63,91,42,12,73
6,17,27,13,96,63,43,88,38
48,17,50,94,62,39,46,28,13
11,19,86,30,78,89,43,34,41
42,19,40,60,28,14,56,46,47
50,20,57,17,95,97,83,46,82
43,21,12,98,21,24,20,68,52
24,22,53,78,95,70,95,55,30
25,22,43,22,64,81,39,54,59
26,22,88,34,91,39,38,92,52
27,22,44,73,87,16,16,36,65
22,23,26,42,81,88,96,33,93
24,23,48,17,27,11,32,34,65
25,24,99,62,29,99,34,87,17
25,26,50,88,49,98,16,57,49
27,26,75,84,27,76,58,77,43
24,28,58,19,66,31,23,27,37
25,28,61,93,65,24,95,67,91
25,29,29,22,39,74,89,95,63
46,30,14,27,23,66,94,28,22
52,30,60,73,24,93,29,89,87
8,31,35,15,59,46,75,56,78
40,32,95,67,52,90,30,39,35
16,33,46,77,96,14,38,70,16
22,34,52,68,17,84,59,15,64
40,34,19,22,17,95,15,72,26
4,35,24,86,46,91,55,21,55
9,35,90,52,61,61,75,62,56
12,35,49,76,73,56,30,93,47
25,35,90,11,20,79,39,67,70
18,36,85,51,38,35,28,85,12
47,38,35,65,88,47,62,57,72
22,40,17,14,69,43,34,17,60
37,41,35,98,90,65,64,13,15
39,41,73,47,66,36,58,44,14
50,42,99,26,49,99,42,54,97
1,43,45,15,47,24,10,49,50
0,45,75,46,40,50,30,12,56
25,45,14,95,44,31,37,61,79
19,46,40,28,11,57,39,56,99
22,46,25,32,31,80,20,94,60
44,46,48,68,83,90,44,49,44
47,46,19,60,44,97,88,79,55
16,48,64,40,48,43,94,80,25
25,48,10,82,13,89,30,37,51
1,49,21,48,45,58,56,88,56
31,49,91,76,27,20,52,20,20
3,51,20,92,31,72,96,54,78
20,51,73,94,10,72,51,56,48
21,51,72,50,57,84,41,15,36
25,51,76,71,44,91,52,34,91
29,51,33,67,77,65,70,45,87
49,51,97,55,68,30,68,62,14
9,53,33,38,86,43,72,25,78
40,53,31,96,35,69,98,67,93
53,26,11,75,37,66,28,29,68
7,32,42,50,93,38,40,49,94
39,37,97,82,33,23,15,40,10
31,39,53,27,89,79,55,82,76
13,21,82,27,28,84,60,43,94
20,33,87,45,43,54,96,98,70
source,destination
50,24
lower_bound,upperbound
699.2,1048.8
551.2,826.8
659.2,988.8
0,1054.8
0,1063.2
0,1042.8
included_node(s)
44
