link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,2,91,88,90,25,25,15,36
0,4,35,76,64,96,44,83,35
0,5,62,19,96,25,92,72,46
0,7,15,34,74,79,38,34,94
1,8,78,19,90,19,35,48,48
1,6,15,56,20,40,95,36,56
1,4,56,41,51,84,86,54,16
1,5,43,85,63,47,63,66,80
1,22,92,85,70,77,76,81,10
2,10,68,16,72,23,58,69,88
2,3,75,89,77,53,45,81,54
3,10,83,21,42,19,27,53,96
5,12,25,58,13,55,75,22,43
5,8,63,57,49,97,76,72,53
6,7,32,69,35,75,96,21,14
8,9,66,67,64,52,96,61,88
9,12,40,17,79,83,52,67,57
10,20,22,40,96,90,66,98,72
10,13,13,42,95,59,77,77,33
10,14,44,63,73,43,62,63,76
11,13,91,92,74,42,29,14,96
11,22,60,28,17,72,30,37,96
11,21,80,90,58,12,36,98,55
13,14,22,66,19,40,23,85,54
15,16,99,52,32,18,43,30,51
15,22,81,99,41,65,27,99,34
16,18,70,25,68,97,15,72,35
17,18,38,27,65,34,81,57,53
18,19,87,57,86,14,61,24,79
18,21,25,88,16,33,81,78,85
19,20,65,96,56,44,24,60,67
2,0,40,97,76,81,39,81,16
4,0,12,64,71,29,25,23,72
5,0,79,15,53,59,69,32,65
7,0,46,84,12,60,29,16,62
8,1,81,35,23,39,12,23,72
6,1,46,23,25,51,64,20,21
4,1,54,25,53,96,67,60,69
5,1,76,73,76,76,28,41,14
22,1,39,98,85,80,92,91,73
10,2,75,31,77,19,25,81,57
3,2,52,62,15,81,63,22,59
10,3,74,71,79,89,20,44,32
12,5,52,79,42,27,90,93,90
8,5,67,71,54,79,91,46,12
7,6,96,41,66,27,68,18,88
9,8,19,99,97,31,49,54,40
12,9,98,78,34,24,43,14,21
20,10,19,71,25,69,34,16,61
13,10,22,41,54,80,26,83,26
14,10,94,42,59,19,95,29,49
13,11,62,26,89,11,16,72,19
22,11,34,59,23,53,98,72,74
21,11,37,84,17,74,83,27,94
14,13,74,44,98,42,29,57,63
16,15,33,63,46,23,93,93,25
22,15,18,83,11,39,11,79,81
18,16,96,59,67,91,34,29,51
18,17,23,81,63,47,36,12,30
19,18,58,92,49,44,24,55,60
21,18,21,48,73,24,16,59,88
20,19,78,39,20,81,51,62,49
source,destination
14,8
lower_bound,upperbound
539.2,808.8
368.8,461
509.6,764.4
0,793.2
0,738
0,853.2
included_node(s)
19
