link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,3,91,92,77,24,77,14,22
0,7,35,28,15,81,63,73,53
1,3,62,90,79,25,14,57,42
1,6,15,66,42,44,37,59,42
1,13,78,52,54,92,98,32,35
1,18,15,99,66,38,85,90,44
1,19,56,25,97,35,30,12,28
1,22,43,27,34,95,99,88,51
1,31,92,57,25,86,72,40,69
2,3,68,88,54,63,57,21,29
2,22,75,96,59,76,24,61,68
3,7,83,97,89,58,78,26,31
3,22,25,64,23,45,60,49,34
3,23,63,15,17,27,81,19,45
4,5,32,84,98,75,23,74,83
4,7,66,35,46,76,32,94,63
5,8,40,23,11,96,16,63,37
5,17,22,25,67,96,23,25,47
5,11,13,73,63,52,20,81,54
6,7,44,98,49,66,60,51,61
7,15,91,31,73,77,41,30,24
8,9,60,62,20,62,91,60,20
9,17,80,71,25,29,81,88,57
10,31,22,79,96,30,22,49,15
11,15,99,71,25,36,44,28,21
12,31,81,41,79,23,93,60,37
14,16,70,99,19,43,46,14,67
15,17,38,78,40,27,18,81,22
15,20,87,71,84,15,54,32,68
15,21,25,41,47,81,14,77,56
16,17,65,42,77,61,16,12,26
22,27,40,26,23,81,83,37,80
22,26,12,59,53,24,29,51,99
23,26,79,84,19,39,72,59,20
24,26,46,44,55,25,72,48,74
25,26,81,63,97,69,27,73,86
27,28,46,83,75,29,57,11,16
27,29,54,59,52,12,93,12,92
29,30,76,81,83,64,79,61,37
29,31,39,92,90,67,29,94,76
30,31,75,48,59,28,12,23,21
3,0,52,39,43,92,55,74,96
7,0,74,90,42,25,59,20,59
3,1,52,64,72,63,62,62,97
6,1,67,96,12,20,36,84,93
13,1,96,74,40,90,35,84,95
18,1,19,90,18,91,46,18,61
19,1,98,20,65,68,94,99,30
22,1,19,51,97,49,48,99,94
31,1,22,63,34,43,56,89,67
3,2,94,70,14,34,16,50,43
22,2,62,72,33,26,80,81,71
7,3,34,77,44,95,10,12,77
22,3,37,42,81,16,88,38,90
23,3,74,13,29,98,54,30,76
5,4,33,49,59,83,96,82,51
7,4,18,35,60,29,43,50,79
8,5,96,64,39,93,53,34,43
17,5,23,79,51,11,14,63,25
11,5,58,96,96,34,88,35,47
7,6,21,95,76,36,57,11,51
15,7,78,73,80,24,72,27,93
9,8,88,74,19,16,33,62,79
17,9,76,17,81,51,76,14,12
31,10,19,58,89,15,96,76,65
15,11,34,19,27,83,96,10,53
31,12,19,32,79,72,55,77,89
16,14,56,41,27,34,54,40,72
17,15,41,68,31,48,51,12,45
20,15,85,65,24,36,34,91,78
21,15,85,86,69,54,35,34,10
17,16,16,16,80,66,53,77,18
27,22,89,56,19,81,79,65,74
26,22,21,76,11,69,85,44,59
26,23,58,71,53,81,67,39,68
26,24,57,53,74,53,16,49,29
26,25,69,12,42,22,72,80,16
28,27,67,23,23,72,65,99,81
29,27,17,25,39,21,62,11,11
30,29,40,53,91,61,72,79,11
31,29,42,76,47,67,21,89,48
31,30,63,85,44,98,69,51,44
source,destination
25,24
lower_bound,upperbound
92.8,139.2
128.8,161
97.6,146.4
0,51.6
0,146.4
0,138
included_node(s)
26
