link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,3,91,57,11,36,29,23,94
0,6,35,88,67,23,72,74,67
1,6,62,96,63,43,72,20,43
2,3,15,97,49,27,27,62,71
2,28,78,64,73,15,57,84,77
4,5,15,15,20,81,93,84,90
4,7,56,84,25,61,79,18,76
5,8,43,35,96,81,29,99,51
6,11,92,23,25,24,12,99,79
7,11,68,25,79,39,55,89,43
7,14,75,73,19,25,59,50,25
8,17,83,98,40,69,62,81,47
8,12,25,31,84,29,36,12,51
8,14,63,62,47,12,35,38,93
8,9,32,71,77,64,46,30,79
10,17,66,79,23,67,94,82,12
11,27,40,71,53,28,48,50,65
11,14,22,41,19,92,56,34,53
12,14,13,99,55,25,16,63,89
12,16,44,78,97,63,80,35,72
12,17,91,71,75,20,10,11,45
12,23,60,41,52,90,88,27,78
12,24,80,42,83,91,54,62,10
13,27,22,26,90,68,96,14,18
13,29,99,59,59,49,43,76,74
13,14,81,84,43,43,53,10,59
14,33,70,44,42,34,14,77,68
14,36,38,63,72,26,88,40,29
14,18,87,83,12,95,57,12,16
14,19,25,59,40,16,72,91,81
14,20,65,81,18,98,33,34,11
14,21,40,92,65,83,76,77,11
14,23,12,48,97,29,96,65,48
14,26,79,39,34,93,96,44,44
14,27,46,90,14,11,55,39,72
14,29,81,64,33,34,54,49,78
15,16,46,96,44,36,51,80,86
22,35,54,74,81,24,34,99,10
22,28,76,90,29,16,35,11,29
25,26,39,20,59,51,53,79,65
30,32,75,51,60,15,79,89,96
31,32,52,63,39,83,85,51,96
32,33,74,70,51,72,67,22,12
32,34,52,72,96,34,16,53,99
34,35,67,77,76,48,72,42,52
3,0,96,42,80,36,65,42,81
6,0,19,13,19,54,62,35,12
6,1,98,49,81,66,72,44,17
3,2,19,35,89,81,21,28,86
28,2,22,64,27,69,69,51,53
5,4,94,79,79,81,14,69,41
7,4,62,96,27,53,73,29,31
8,5,34,95,31,22,57,68,31
11,6,37,73,24,72,59,31,41
11,7,74,74,69,21,32,34,92
14,7,33,17,80,61,90,45,58
17,8,18,58,19,67,12,83,53
12,8,96,19,11,98,88,63,60
14,8,23,32,53,77,40,37,77
9,8,58,41,74,63,21,47,59
17,10,21,68,42,14,61,54,41
27,11,78,65,23,37,26,61,79
14,11,88,86,39,98,49,24,22
14,12,76,16,91,85,19,20,79
16,12,19,56,47,30,74,57,23
17,12,34,76,44,99,94,15,84
23,12,19,71,24,72,63,21,57
24,12,56,53,81,57,25,37,62
27,13,41,12,25,24,81,67,47
29,13,85,23,44,78,51,22,38
14,13,85,25,92,60,30,68,27
33,14,16,53,38,81,60,56,43
36,14,89,76,35,23,88,26,87
18,14,21,85,95,32,49,80,82
19,14,58,77,86,16,28,99,42
20,14,57,15,63,23,60,20,39
21,14,69,79,76,20,14,74,63
23,14,67,42,58,60,81,86,96
26,14,17,54,45,41,32,16,46
27,14,40,66,27,91,77,92,12
29,14,42,97,75,81,12,37,49
16,15,63,34,76,22,37,76,78
35,22,92,25,96,44,51,21,33
28,22,28,54,96,93,59,96,33
26,25,90,59,52,46,48,59,19
32,30,66,89,66,18,73,97,77
32,31,52,23,77,54,11,93,81
33,32,99,17,62,14,12,95,24
34,32,25,98,29,16,61,61,37
35,34,27,46,30,83,94,30,20
source,destination
13,21
lower_bound,upperbound
147.2,220.8
78.4,98
193.6,151.2
0,154.8
0,104.4
0,84
included_node(s)
14
