link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,1,95,25,82,73,96,57,32
0,2,68,47,18,14,71,46,11
0,3,48,54,32,92,86,47,47
0,12,45,12,37,21,12,47,62
1,3,58,75,31,39,85,36,56
1,6,27,16,75,21,31,88,15
1,7,15,31,88,18,64,59,31
2,12,41,23,74,81,28,92,64
2,23,27,64,98,60,36,67,96
3,23,87,77,79,49,73,47,26
4,5,93,10,11,14,86,58,31
4,8,93,67,10,40,87,96,28
4,9,28,84,61,16,40,81,42
4,13,73,73,11,94,29,42,74
4,19,84,71,65,30,86,44,36
4,23,11,37,23,42,95,40,59
5,9,70,67,66,52,59,28,65
8,9,98,51,50,45,16,15,12
9,12,81,17,58,56,32,38,77
9,13,58,77,12,28,37,63,28
9,18,58,80,68,17,75,32,82
9,21,74,77,30,95,75,75,59
10,11,35,85,82,35,49,59,37
10,12,41,26,79,94,60,79,53
11,12,62,92,88,96,94,82,30
11,22,48,72,14,60,27,33,53
12,19,62,12,20,86,57,86,85
12,21,83,79,54,97,63,48,61
12,23,68,13,31,60,11,10,37
13,16,76,81,34,31,70,15,21
13,17,37,31,50,72,49,12,97
14,20,63,28,13,33,97,57,21
14,23,97,28,42,87,93,51,22
15,23,38,37,73,64,87,11,44
19,20,60,82,40,44,61,57,73
20,21,55,55,26,26,41,40,68
20,23,55,43,10,75,70,89,50
1,0,65,14,81,14,77,16,94
2,0,49,30,52,59,59,32,32
3,0,72,59,61,87,58,18,98
12,0,53,81,60,53,50,15,21
3,1,42,30,53,64,98,42,15
6,1,65,27,61,27,97,14,78
7,1,33,65,73,22,43,48,15
12,2,67,94,17,58,27,75,80
23,2,11,88,26,48,83,11,66
23,3,86,92,48,54,38,78,26
5,4,38,23,35,62,38,93,97
8,4,10,91,29,45,51,68,31
9,4,67,61,96,62,22,68,94
13,4,48,90,89,43,65,18,25
19,4,58,33,87,14,26,90,65
23,4,93,38,79,19,87,43,15
9,5,35,37,71,68,14,67,53
9,8,51,49,28,99,39,70,18
12,9,17,30,67,15,82,26,87
13,9,73,10,37,80,32,91,58
18,9,13,13,90,47,48,18,93
21,9,90,61,73,64,97,64,48
11,10,42,65,58,40,85,91,85
12,10,80,85,25,30,71,76,66
12,11,80,83,24,37,98,28,46
22,11,57,83,24,25,83,10,96
19,12,77,65,19,17,64,79,78
21,12,18,72,49,91,85,29,42
23,12,18,28,54,22,44,57,32
16,13,84,21,87,85,95,19,98
17,13,63,16,49,29,55,71,44
20,14,35,32,35,26,22,26,78
23,14,85,41,39,97,17,41,82
23,15,87,65,10,16,66,79,42
20,19,40,65,47,32,24,83,89
21,20,27,62,45,61,67,74,88
23,20,52,44,23,86,63,46,72
source,destination
23,18
lower_bound,upperbound
344.8,517.2
219.2,274
207.2,375.6
0,463.2
0,422.4
0,516
included_node(s)
4
