link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,3,83,24,97,94,81,87,99
0,6,26,97,21,71,20,12,99
1,18,37,66,31,18,25,68,43
1,6,35,45,75,35,71,92,36
2,10,33,26,19,99,41,49,70
2,3,35,49,77,47,70,49,65
3,9,56,23,67,85,98,96,20
3,16,22,57,26,53,15,90,32
4,5,79,64,87,78,40,22,99
4,7,11,55,13,48,36,87,44
5,8,42,82,16,13,44,76,23
5,12,77,55,15,61,76,61,95
5,16,60,84,86,88,52,83,51
5,7,89,97,93,19,45,22,77
6,16,33,84,69,66,78,41,84
6,7,86,24,84,74,56,35,83
7,16,70,43,38,53,52,99,41
8,12,46,60,31,53,48,59,84
9,16,62,17,12,63,24,91,16
9,10,56,88,99,48,97,84,79
9,18,81,16,13,96,52,29,14
11,16,18,18,39,80,24,71,62
11,12,97,78,10,44,10,30,62
12,13,79,94,28,68,76,27,66
12,15,72,43,98,58,72,75,84
12,16,90,21,75,28,69,88,71
13,14,72,54,50,79,79,57,22
14,16,23,29,49,37,20,90,58
15,16,47,52,16,57,48,94,88
16,17,65,70,93,46,81,68,89
16,18,69,36,78,84,43,10,32
3,0,82,28,65,13,81,44,88
6,0,82,29,66,70,91,32,88
18,1,58,92,61,93,20,69,28
6,1,69,26,41,90,53,36,76
10,2,67,46,75,69,84,71,58
3,2,83,94,39,92,80,70,83
9,3,26,39,98,75,13,84,48
16,3,41,55,54,74,89,62,43
5,4,62,20,78,70,21,82,83
7,4,79,84,11,75,39,72,83
8,5,73,38,60,39,86,90,18
12,5,91,27,83,84,49,95,40
16,5,39,31,50,26,43,55,34
7,5,24,87,54,49,83,12,47
16,6,77,12,14,12,28,89,76
7,6,78,97,34,52,90,80,18
16,7,84,82,44,54,35,12,79
12,8,75,62,87,17,66,48,60
16,9,40,66,36,67,66,33,76
10,9,93,71,43,55,84,48,58
18,9,56,30,91,14,70,30,27
16,11,11,36,27,48,80,94,39
12,11,90,11,95,51,84,30,20
13,12,36,25,19,72,46,99,83
15,12,73,69,26,58,52,31,23
16,12,42,74,32,69,16,19,43
14,13,60,69,21,13,77,56,57
16,14,86,50,27,86,25,22,33
16,15,41,79,38,78,16,65,32
17,16,25,91,15,50,59,24,46
18,16,55,77,57,32,58,74,55
source,destination
14,0
lower_bound,upperbound
372,558
230.4,288
568,451.2
0,550.8
0,537.6
0,596.4
included_node(s)
6
