link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
12,14,95,47,50,99,51,41,34
10,14,54,77,23,67,49,70,20
48,14,35,69,70,75,92,61,14
29,12,77,61,75,58,74,87,31
0,29,30,71,16,45,41,24,85
28,29,93,40,59,72,11,85,33
35,10,60,84,86,44,25,72,86
44,10,98,63,60,47,98,47,18
25,10,12,73,97,31,52,67,51
48,0,42,67,13,51,56,90,75
46,0,26,74,49,59,89,29,17
4,35,53,56,64,68,54,96,90
39,35,98,82,39,19,18,19,92
44,28,59,34,73,94,43,75,98
16,28,47,84,32,89,89,69,68
23,28,75,82,82,42,11,64,73
46,28,99,14,95,21,10,10,20
4,44,10,71,35,98,92,15,56
19,44,56,65,62,93,55,63,50
38,48,59,30,47,26,35,60,23
36,48,85,17,69,93,82,95,62
31,3,30,26,60,37,72,45,18
11,3,41,19,11,42,66,65,81
43,3,85,75,92,62,77,38,76
32,3,49,42,97,73,49,66,95
20,3,54,61,48,21,48,20,35
11,31,64,26,55,73,46,82,52
13,31,93,67,62,36,46,34,89
32,31,59,76,61,60,92,12,75
2,31,89,19,15,82,65,49,89
13,11,20,12,10,34,23,17,90
8,11,54,24,11,21,95,44,99
8,13,43,87,80,11,15,71,61
25,13,97,33,32,61,67,68,56
49,13,83,75,38,70,31,31,30
2,8,26,20,86,98,98,85,46
32,43,90,64,81,34,68,15,41
20,43,95,22,24,14,46,55,68
21,43,76,36,98,45,97,84,54
27,43,54,89,78,55,72,73,45
5,32,37,41,80,17,54,46,95
27,21,93,10,47,56,48,66,23
22,21,59,46,94,75,26,31,35
5,21,35,23,19,27,24,17,88
38,6,14,86,73,12,81,41,22
7,6,59,30,78,64,16,90,93
22,6,10,58,53,21,25,71,61
15,27,13,91,30,24,43,93,84
36,38,59,54,13,25,60,57,11
39,38,19,23,16,14,70,86,12
7,15,25,21,29,92,68,54,59
4,22,44,61,34,70,43,14,25
5,22,91,91,28,93,94,83,72
39,22,56,83,30,86,87,71,40
5,4,29,88,26,32,20,43,91
25,5,92,85,77,66,44,11,67
19,25,11,96,30,97,35,81,28
18,25,46,15,72,95,56,77,95
9,16,85,53,39,55,42,35,19
19,16,22,35,81,20,79,46,93
18,16,35,24,39,39,74,78,84
33,9,57,17,39,41,17,42,61
23,9,28,49,82,31,74,42,92
24,33,30,63,19,92,41,49,45
42,23,16,41,23,93,74,63,17
24,23,11,76,21,91,95,63,75
18,19,98,74,57,90,91,35,81
42,46,97,57,94,79,94,68,48
49,18,96,88,87,58,93,19,43
24,42,75,10,55,87,88,71,88
24,45,51,46,34,86,67,93,83
47,45,85,30,67,65,47,17,39
30,45,30,62,54,96,88,37,63
49,45,63,44,80,62,83,24,70
17,24,72,95,38,44,61,76,79
1,47,34,48,27,60,31,68,75
17,30,22,65,58,78,51,66,25
26,30,35,15,44,17,76,47,92
1,34,38,91,10,36,65,62,59
26,34,71,71,61,93,64,76,26
40,34,96,28,12,73,99,85,56
37,34,15,65,29,29,85,68,71
41,34,67,32,47,63,59,80,41
49,1,87,20,82,67,55,30,29
41,40,23,10,50,67,72,91,63
2,37,49,73,64,48,69,75,85
49,37,80,95,59,85,51,31,86
41,37,76,58,70,27,60,34,81
14,12,85,78,88,95,78,52,42
14,10,27,10,88,92,84,57,57
14,48,88,83,52,89,39,70,74
