link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,6,35,54,26,26,68,34,25
0,11,15,46,53,76,55,39,92
0,12,40,92,46,74,38,58,11
0,13,82,64,99,49,56,47,73
1,3,96,11,48,78,30,18,71
1,21,92,19,76,60,64,94,72
2,14,90,88,13,52,92,28,41
2,15,79,88,25,95,32,54,48
3,7,43,68,30,23,93,55,36
3,26,41,72,66,66,39,69,82
4,8,46,73,68,72,86,50,42
4,12,48,46,41,85,65,66,57
4,17,10,99,64,45,52,51,21
4,20,28,86,55,59,23,73,63
4,25,20,64,36,13,58,69,43
5,15,90,89,21,41,85,82,34
5,19,50,81,20,72,35,48,91
6,10,76,36,55,94,75,71,12
6,19,68,60,16,18,30,58,50
7,20,36,91,87,39,47,22,19
7,25,54,30,18,63,82,10,77
8,18,35,99,60,48,53,55,58
9,11,19,26,97,45,57,50,19
9,13,13,62,30,77,39,70,97
10,12,31,46,65,33,74,85,83
10,17,30,24,68,38,17,90,35
10,23,23,82,27,95,15,58,56
13,19,83,29,25,37,67,46,35
14,19,42,23,78,13,25,41,24
16,17,47,98,21,48,71,45,54
16,21,46,76,60,99,98,27,18
16,27,67,67,56,29,45,66,91
17,24,14,96,65,76,78,74,46
18,22,38,30,58,73,36,75,19
19,23,49,32,56,30,54,65,26
20,24,11,97,65,16,60,45,69
21,26,30,39,35,33,91,69,43
22,25,91,72,21,72,46,83,57
27,14,80,86,80,63,82,51,69
23,27,25,97,55,99,46,76,69
24,26,33,44,77,90,37,53,91
6,0,27,21,10,87,68,92,11
11,0,63,44,48,84,64,43,78
12,0,85,96,93,87,41,94,13
13,0,45,98,56,47,43,27,26
3,1,73,60,74,50,22,12,21
21,1,37,85,66,29,27,38,89
14,2,47,41,28,19,69,65,69
15,2,11,86,81,96,49,35,76
7,3,95,97,72,89,47,87,39
26,3,73,85,15,48,68,78,79
8,4,55,17,51,59,83,35,15
12,4,82,97,33,89,52,94,49
17,4,83,11,13,45,77,28,88
20,4,58,31,33,88,23,96,12
25,4,13,95,50,23,79,79,84
15,5,65,78,33,36,46,71,23
19,5,33,13,50,84,28,16,21
10,6,87,24,65,12,46,25,19
19,6,59,91,63,39,61,12,89
20,7,32,11,24,84,51,51,65
25,7,33,53,77,11,44,94,27
18,8,26,21,20,20,59,30,81
11,9,37,97,79,23,81,77,64
13,9,23,35,35,37,32,69,88
12,10,28,95,28,92,13,86,59
17,10,38,95,44,81,41,22,33
23,10,43,65,60,22,23,38,31
19,13,19,67,39,27,49,69,17
19,14,70,43,77,45,24,64,55
17,16,20,24,67,21,22,66,53
21,16,94,63,68,17,39,22,98
27,16,87,54,77,32,44,18,18
24,17,73,20,15,58,76,99,31
22,18,41,59,62,95,70,68,63
23,19,84,14,33,69,40,35,35
24,20,98,71,41,60,50,64,95
26,21,68,45,28,24,87,59,52
25,22,83,98,14,40,99,90,94
14,27,99,57,74,56,89,89,71
27,23,63,94,53,65,35,98,43
26,24,57,45,19,41,29,30,73
source,destination
2,8
lower_bound,upperbound
946.4,1419.6
380.8,476
795.2,1063.2
0,758.4
0,835.2
0,790.8
included_node(s)
21
