link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
13,23,70,87,24,79,13,63,84
7,23,29,73,81,44,17,38,45
8,13,18,25,49,75,16,11,53
3,11,45,60,75,45,68,37,88
8,11,91,36,69,69,84,69,47
9,16,58,41,96,60,56,82,60
21,22,64,89,31,38,68,74,38
10,23,97,95,64,54,53,17,97
6,10,95,41,91,52,22,63,53
5,8,67,85,61,79,56,67,88
2,23,92,68,23,69,20,67,23
2,20,19,58,80,95,45,54,45
0,4,19,68,74,93,63,61,25
4,17,63,88,56,89,46,48,61
12,16,27,25,58,40,98,54,82
20,24,19,99,38,91,30,35,43
4,16,84,28,99,19,81,50,84
14,17,73,87,56,26,29,23,42
3,8,67,99,43,26,38,47,38
13,20,60,67,43,89,44,14,80
5,22,72,52,47,61,74,17,66
6,22,42,86,11,21,27,50,11
22,23,99,61,34,12,16,14,53
14,24,45,33,49,94,27,26,86
7,11,47,92,18,77,98,46,92
1,19,11,22,49,57,87,32,23
12,14,90,67,34,35,62,65,79
1,21,30,65,20,74,48,63,98
7,10,46,43,85,31,12,40,48
6,15,43,54,58,36,63,46,49
16,18,13,39,19,37,32,35,84
23,24,16,82,99,10,15,56,32
16,24,62,80,91,71,70,36,84
11,12,22,54,20,65,90,88,37
5,16,51,95,75,97,35,83,21
6,18,16,16,61,40,16,96,84
7,14,32,48,17,25,47,33,50
12,19,67,84,96,35,93,58,11
11,16,13,12,77,46,59,65,81
3,17,27,41,60,68,21,48,55
0,12,87,31,20,67,12,77,52
2,21,57,32,53,68,32,32,94
12,22,88,90,40,25,18,54,90
8,20,96,51,46,60,27,90,67
9,12,20,20,99,57,68,71,17
23,13,15,15,51,17,16,61,35
23,7,16,50,75,51,48,26,62
13,8,94,90,99,66,11,73,53
11,3,40,55,97,85,36,74,29
11,8,35,11,18,29,76,25,53
16,9,54,58,94,56,97,77,33
22,21,65,97,97,46,62,43,86
23,10,29,87,71,40,56,65,54
10,6,16,19,28,20,13,44,77
8,5,10,82,46,40,79,21,34
23,2,66,42,41,17,16,64,98
20,2,69,31,29,29,53,66,90
4,0,53,50,70,65,41,77,65
17,4,48,59,51,43,55,79,97
16,12,15,26,14,50,55,58,38
24,20,86,56,81,54,57,23,66
16,4,52,88,22,33,39,67,81
17,14,73,99,66,13,22,14,23
8,3,11,36,72,77,79,12,12
20,13,26,95,33,88,81,17,71
22,5,76,56,93,10,47,50,86
22,6,17,95,85,69,86,98,86
23,22,48,95,92,13,28,92,21
24,14,96,40,89,88,40,98,87
11,7,20,59,25,15,97,25,68
19,1,27,36,52,33,39,40,66
14,12,83,61,61,55,94,75,39
21,1,30,81,68,35,81,48,24
10,7,15,78,83,10,48,47,18
15,6,79,12,98,15,22,27,59
18,16,40,91,29,83,11,71,32
24,23,72,46,86,69,16,98,95
24,16,47,14,73,18,22,95,73
12,11,87,43,28,11,12,44,75
16,5,64,91,83,54,94,34,25
18,6,35,68,43,89,50,21,26
14,7,93,91,22,19,10,73,61
19,12,29,50,42,91,56,29,63
16,11,54,17,66,29,96,38,33
17,3,99,62,93,81,65,17,90
12,0,82,32,79,83,87,41,49
21,2,73,49,97,88,65,54,31
22,12,30,46,22,62,18,35,80
20,8,87,34,11,11,81,70,14
12,9,21,99,11,83,72,86,28
source,destination
7,0
lower_bound,upperbound
400,600
181.6,227
336,459.6
0,475.2
0,535.2
0,435.6
included_node(s)
10
