link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,1,83,84,63,25,83,36,52
5,4,26,38,48,16,48,67,90
12,11,37,27,96,59,43,87,72
23,26,35,31,80,58,83,34,71
26,23,33,87,44,87,83,70,57
5,6,35,12,68,12,18,86,25
6,5,56,97,58,68,40,74,51
6,7,22,82,28,92,34,57,57
7,6,79,62,79,49,47,84,44
7,8,11,66,37,49,76,48,81
8,7,42,71,57,96,18,55,17
8,9,77,30,46,90,79,78,71
9,8,60,36,84,22,60,42,91
8,11,89,11,13,87,76,86,11
1,0,33,25,70,76,58,50,27
11,8,86,69,93,61,27,16,90
9,11,70,74,90,83,39,16,64
11,9,46,69,69,22,20,64,90
10,11,62,50,92,41,83,86,18
11,10,56,79,75,35,23,12,45
9,10,81,91,74,99,43,28,41
10,9,18,77,70,59,57,29,26
10,25,97,97,75,91,33,46,56
25,10,79,21,39,84,32,20,62
24,25,72,31,84,29,46,57,31
1,2,90,75,26,71,55,20,19
25,24,72,19,49,30,72,61,36
22,24,23,77,12,27,86,40,14
24,22,47,67,52,75,35,21,48
23,24,65,26,54,88,48,83,50
24,23,69,87,17,57,97,17,58
22,23,82,13,67,90,19,47,91
23,22,82,16,55,94,86,12,40
21,23,58,15,14,68,40,56,82
23,21,69,86,48,10,54,34,62
22,26,67,93,51,44,31,35,49
2,1,83,69,72,32,10,42,97
26,22,26,84,58,69,84,60,65
21,22,41,38,69,36,18,82,96
22,21,62,31,13,71,47,79,94
20,21,79,12,86,70,60,60,46
21,20,73,99,78,84,78,89,13
0,20,91,13,50,62,26,19,27
20,0,39,39,32,82,72,54,89
19,20,24,10,81,72,54,75,67
20,19,77,28,20,90,37,21,44
0,19,78,98,25,95,89,60,79
2,3,84,75,71,55,83,43,31
19,0,75,50,41,12,99,37,87
19,21,40,49,70,89,72,98,50
21,19,93,16,98,80,58,98,66
1,19,56,93,15,12,43,56,80
19,1,11,78,40,48,30,80,28
19,26,90,65,36,33,81,44,75
26,19,36,66,44,48,27,66,43
21,26,73,61,76,30,28,37,49
26,21,42,41,52,94,89,16,84
18,19,60,75,45,30,51,80,31
3,2,86,39,78,99,15,29,15
19,18,41,98,56,31,24,27,84
18,26,25,54,52,19,89,25,71
26,18,55,78,48,56,12,89,25
3,18,24,11,24,22,85,27,75
18,3,97,60,97,65,37,28,64
17,18,66,83,52,24,94,45,59
18,17,45,50,24,74,39,13,38
15,18,26,54,10,99,59,53,13
18,15,49,14,76,99,94,78,18
18,23,23,34,72,43,75,63,55
3,4,57,44,69,36,29,87,62
23,18,64,87,79,70,93,19,12
15,23,55,36,20,65,35,23,92
23,15,82,43,48,20,97,77,27
15,25,55,91,81,32,20,28,30
25,15,84,27,43,99,98,67,43
14,15,97,95,81,44,51,14,84
15,14,84,19,91,23,99,91,26
10,14,24,26,20,95,49,79,23
14,10,43,32,53,51,87,10,16
12,14,60,21,84,77,98,29,13
4,3,17,27,80,84,22,78,63
14,12,88,38,13,83,45,98,34
15,16,16,15,89,41,93,75,84
16,15,18,57,21,84,94,58,43
15,17,78,94,39,16,79,94,99
17,15,94,71,86,79,20,93,27
16,17,43,18,49,14,22,47,82
17,16,21,35,43,62,30,11,45
4,17,54,99,83,62,61,73,48
17,4,29,47,28,66,79,28,49
13,16,52,85,90,84,96,80,30
4,5,70,53,35,71,12,89,72
16,13,36,78,66,22,81,17,64
4,13,28,48,66,58,82,59,57
13,4,29,13,84,88,40,69,36
5,13,92,61,70,89,37,53,75
13,5,26,88,80,32,73,62,47
6,13,46,19,84,88,51,74,91
13,6,94,66,46,88,31,83,83
12,16,39,74,52,28,49,77,93
16,12,55,53,16,76,70,61,53
11,12,20,53,77,58,25,92,48
source,destination
11,10
lower_bound,upperbound
224.8,337.2
208,260
236,343.2
0,264
0,330
0,331.2
included_node(s)
25
