link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,3,37,34,42,76,75,39,67
0,7,79,36,55,55,52,81,87
1,3,69,96,23,79,12,57,10
1,6,41,59,70,93,43,13,13
1,13,75,92,60,88,64,88,66
1,18,43,56,53,14,94,92,31
1,19,96,47,85,63,78,65,65
1,22,47,54,60,55,65,74,23
1,31,70,91,62,57,70,25,65
2,3,53,85,11,32,70,63,94
2,22,15,27,22,64,59,96,44
3,7,11,62,74,24,72,62,13
3,22,41,26,54,99,41,78,29
3,23,76,47,32,36,78,28,71
4,5,65,40,99,13,27,95,58
4,7,70,24,26,94,69,21,52
5,8,38,43,98,30,74,95,22
5,17,66,33,84,60,92,64,77
5,11,90,27,75,17,71,91,48
6,7,46,50,31,98,18,87,92
7,15,54,86,16,78,71,81,84
8,9,63,40,77,22,88,27,12
9,17,28,57,26,34,16,29,24
10,31,84,12,65,73,92,49,71
11,15,89,53,82,42,84,27,68
12,31,14,43,98,17,17,66,83
14,16,11,88,53,62,73,65,37
15,17,82,44,73,88,66,39,67
15,20,47,26,29,84,87,23,16
15,21,60,48,99,19,98,24,23
16,17,73,99,51,93,45,59,12
22,27,74,50,61,22,62,52,36
22,26,40,75,55,27,12,96,62
23,26,42,58,64,73,99,17,12
24,26,16,61,31,15,96,17,39
25,26,15,29,67,67,29,46,29
27,28,37,14,69,77,93,61,33
27,29,64,60,17,68,74,73,56
29,30,53,35,27,22,84,20,94
29,31,98,95,32,86,25,38,50
30,31,17,46,70,52,96,88,51
3,0,20,52,40,76,95,69,90
7,0,99,19,58,11,87,90,53
3,1,10,24,25,51,89,66,70
6,1,48,90,24,65,73,49,62
13,1,27,49,57,14,14,47,12
18,1,70,90,93,98,20,40,75
19,1,77,85,75,47,99,44,36
22,1,45,35,41,26,58,11,41
31,1,22,17,69,15,81,31,75
3,2,23,35,58,46,69,83,80
22,2,51,73,99,95,82,44,77
7,3,76,99,98,28,32,48,77
22,3,41,45,74,32,75,13,94
23,3,35,75,65,68,74,45,48
5,4,65,14,80,60,16,27,45
7,4,97,40,34,40,45,31,40
8,5,36,25,70,82,10,10,75
17,5,10,48,15,48,34,57,65
11,5,45,19,53,76,32,44,46
7,6,48,64,69,92,98,77,51
15,7,73,10,18,94,32,68,67
9,8,19,21,15,50,85,86,34
17,9,78,91,76,71,62,35,65
31,10,68,20,72,67,31,37,32
15,11,77,73,88,55,43,93,63
31,12,46,72,43,38,43,33,84
16,14,95,76,42,96,25,89,17
17,15,93,33,57,75,69,28,72
20,15,51,97,23,50,79,43,41
21,15,55,33,26,82,92,79,58
17,16,63,31,28,27,65,17,23
27,22,23,11,53,27,74,64,31
26,22,17,42,74,45,80,70,63
26,23,63,97,43,31,16,35,45
26,24,61,53,29,44,99,13,45
26,25,86,82,83,11,46,17,27
28,27,86,87,36,29,26,65,72
29,27,90,90,94,81,60,99,72
30,29,31,69,76,28,95,71,20
31,29,98,94,57,34,97,86,47
31,30,13,26,53,79,30,45,52
source,destination
10,30
lower_bound,upperbound
112.8,169.2
119.2,178.8
103.2,154.8
0,327.6
0,186
0,254.4
included_node(s)
31
