link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,3,83,52,32,10,48,26,17
0,6,26,70,21,76,30,72,47
1,6,37,36,27,72,94,54,12
2,3,35,28,38,69,30,37,56
2,28,33,29,15,79,99,89,34
4,5,35,92,57,20,31,83,35
4,7,56,26,94,48,19,99,42
5,8,22,46,71,81,56,72,60
6,11,79,94,18,43,22,58,82
7,11,11,39,35,81,65,43,79
7,14,42,55,99,91,24,30,60
8,17,77,20,47,20,74,81,89
8,12,60,84,85,53,99,27,19
8,14,89,38,53,84,99,28,54
8,9,33,27,78,80,43,89,75
10,17,86,31,48,13,36,51,21
11,27,70,87,13,89,70,15,60
11,14,46,12,61,21,65,24,43
12,14,62,97,88,39,20,89,37
12,16,56,82,19,86,32,12,98
12,17,81,62,66,49,99,85,98
12,23,18,66,74,43,44,37,56
12,24,97,71,53,83,23,94,80
13,27,79,30,53,28,95,39,44
13,29,72,36,63,90,51,59,66
13,14,90,11,48,35,77,94,37
14,33,72,25,96,66,84,75,16
14,36,23,69,80,66,83,29,80
14,18,47,74,44,84,41,93,29
14,19,65,69,68,70,84,35,27
14,20,69,50,58,80,16,97,25
14,21,82,79,28,84,79,20,89
14,23,82,91,79,46,14,98,27
14,26,58,77,37,52,62,51,28
14,27,69,97,57,16,62,99,45
14,29,67,21,46,77,66,49,13
15,16,83,31,84,25,84,87,53
22,35,26,75,13,16,71,98,78
22,28,41,19,70,59,22,22,63
25,26,62,77,93,58,58,45,87
30,32,79,67,90,87,88,93,19
31,32,73,26,69,12,89,94,23
32,33,91,87,92,68,32,79,77
32,34,39,13,75,92,88,20,28
34,35,24,16,74,49,88,22,67
3,0,77,15,70,49,28,30,14
6,0,78,86,75,96,76,61,91
6,1,84,93,39,90,58,79,79
3,2,75,69,84,22,83,96,10
28,2,40,84,26,87,48,12,29
5,4,93,38,49,76,43,81,78
7,4,56,31,12,61,83,82,98
8,5,11,12,52,83,83,40,75
11,6,90,99,54,22,18,37,58
11,7,36,13,17,41,40,73,94
14,7,73,39,67,35,34,51,93
17,8,42,10,55,99,47,31,47
12,8,60,28,14,59,76,49,11
14,8,86,98,48,91,18,70,73
9,8,41,75,51,84,79,25,28
17,10,25,50,72,29,60,36,80
27,11,55,49,58,71,76,67,89
14,11,24,16,69,30,58,87,17
14,12,97,93,13,27,27,34,59
16,12,66,78,86,75,39,70,69
17,12,45,65,78,88,20,86,53
23,12,26,66,50,57,83,74,62
24,12,49,61,32,90,23,57,74
27,13,23,41,81,94,43,84,83
29,13,57,75,20,68,57,48,77
14,13,64,39,25,10,33,55,61
33,14,55,98,71,44,32,78,92
36,14,82,54,41,32,46,42,52
18,14,55,78,70,69,55,86,90
19,14,84,11,98,36,72,50,72
20,14,97,60,15,71,86,16,71
21,14,84,83,40,70,35,16,57
23,14,24,50,36,84,48,64,25
26,14,43,54,44,62,97,86,51
27,14,60,14,76,82,19,12,57
29,14,17,34,52,72,86,28,44
16,15,88,44,45,90,40,29,81
35,22,16,87,78,95,54,46,17
28,22,18,36,56,55,31,20,71
26,25,78,43,52,12,10,57,91
32,30,94,91,48,89,84,20,11
32,31,43,27,24,80,18,61,27
33,32,21,95,97,12,47,40,90
34,32,54,19,52,48,60,21,64
35,34,29,26,24,33,78,83,90
source,destination
7,26
lower_bound,upperbound
227.2,340.8
184,276
238.4,357.6
0,397.2
0,379.2
0,330
included_node(s)
4
