link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,3,95,57,90,52,86,86,47
0,7,68,77,33,61,97,95,47
1,9,48,18,38,60,60,59,36
1,15,45,18,37,53,31,16,88
2,12,58,84,49,61,72,32,59
2,5,27,63,30,73,33,37,92
2,7,15,35,10,17,87,75,67
3,9,41,85,13,26,64,75,47
3,15,27,87,61,48,44,49,58
4,9,87,40,65,35,26,60,96
4,12,93,27,85,29,75,94,81
4,15,93,52,83,96,14,27,42
5,9,28,25,83,89,59,57,44
5,12,73,47,65,87,87,63,40
5,6,84,54,72,79,53,11,28
5,15,11,12,28,71,64,70,15
7,8,70,75,21,28,27,49,38
7,12,98,16,16,67,22,97,63
7,15,81,31,32,37,58,93,32
9,10,58,23,41,90,48,87,75
9,11,58,64,65,73,54,61,59
9,12,74,77,65,58,62,41,79
9,14,35,10,62,25,45,70,82
9,15,41,67,44,24,62,77,33
10,12,62,84,82,24,43,59,86
11,12,48,73,18,19,14,58,48
12,14,62,71,32,49,19,50,10
12,15,83,37,37,54,68,98,15
13,14,68,67,31,87,99,97,12
14,15,76,51,75,49,15,43,57
15,16,37,17,88,35,80,27,51
3,0,63,77,74,39,47,83,11
7,0,97,80,98,10,64,38,57
9,1,38,77,79,47,40,38,40
15,1,60,85,11,45,30,51,89
12,2,55,26,10,23,37,22,16
5,2,55,92,61,73,25,65,32
7,2,65,72,11,14,17,26,18
9,3,49,12,65,92,91,87,15
15,3,72,79,23,21,22,14,42
9,4,53,13,66,39,85,39,14
12,4,42,81,50,21,29,82,48
15,4,65,31,58,18,26,32,75
9,5,33,28,12,81,97,48,11
12,5,67,28,68,60,16,97,78
6,5,11,37,30,49,32,85,93
15,5,86,82,82,14,61,71,68
8,7,38,55,79,40,86,98,68
12,7,10,43,88,16,96,83,18
15,7,67,14,14,94,71,64,90
10,9,48,30,20,30,86,85,43
11,9,58,59,54,42,12,44,67
12,9,93,81,31,52,85,95,70
14,9,35,30,34,45,31,55,26
15,9,51,27,50,56,64,22,91
12,10,17,65,13,28,28,17,18
12,11,73,94,42,17,36,66,64
14,12,13,88,73,95,73,24,91
15,12,90,92,40,35,86,67,76
14,13,42,23,26,94,87,63,28
15,14,80,91,10,96,40,57,10
16,15,80,61,81,60,29,46,79
source,destination
1,8
lower_bound,upperbound
318.4,477.6
323.2,484.8
297.6,446.4
0,574.8
0,661.2
0,510
included_node(s)
9
