link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,3,86,69,36,93,34,77,88
0,7,64,98,76,89,76,90,99
1,17,22,65,87,71,69,47,53
1,5,99,76,84,32,89,56,16
1,6,91,59,60,53,77,50,29
2,9,83,32,16,29,12,90,37
2,3,62,60,55,50,55,82,75
2,4,81,69,12,11,74,76,77
4,8,97,60,80,31,71,67,58
4,5,73,44,25,63,49,62,32
4,6,77,49,18,17,28,45,41
5,15,31,47,63,35,33,36,71
6,16,86,69,38,45,59,41,54
6,7,57,14,62,92,39,13,51
8,12,25,59,67,66,93,80,10
9,17,54,21,50,55,21,48,66
10,11,70,43,20,26,74,40,47
11,17,98,33,47,81,85,24,48
11,12,55,17,20,77,78,71,28
12,13,27,56,14,18,53,31,85
13,14,55,58,39,65,79,27,30
14,17,98,84,64,11,98,29,19
14,15,67,29,58,81,52,83,91
15,16,32,19,65,13,36,17,64
3,0,20,90,95,44,35,96,45
7,0,37,22,49,69,77,31,32
17,1,84,18,23,42,28,57,54
5,1,27,16,54,92,17,64,74
6,1,35,83,52,62,68,61,96
9,2,73,61,82,20,79,69,31
3,2,13,92,85,21,68,58,96
4,2,22,14,78,17,92,39,47
8,4,90,21,58,61,55,22,30
5,4,77,57,34,45,37,96,50
6,4,21,80,25,92,44,85,15
15,5,43,70,70,67,32,62,11
16,6,23,42,40,26,39,86,39
7,6,35,40,32,42,51,30,80
12,8,77,92,34,30,96,38,78
17,9,20,54,20,47,10,53,49
11,10,60,36,48,95,90,44,13
17,11,16,41,43,37,76,74,71
12,11,93,91,36,35,85,41,20
13,12,47,95,76,92,49,38,19
14,13,63,97,95,30,16,39,75
17,14,70,13,93,91,40,22,73
15,14,53,69,26,99,60,76,75
16,15,86,40,67,98,42,70,22
source,destination
8,13
lower_bound,upperbound
355.2,532.8
375.2,562.8
466.4,699.6
0,610.8
0,632.4
0,562.8
included_node(s)
4
