link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,3,91,88,90,25,25,15,36
0,6,35,76,64,96,44,83,35
1,18,62,19,96,25,92,72,46
1,6,15,34,74,79,38,34,94
2,10,78,19,90,19,35,48,48
2,3,15,56,20,40,95,36,56
3,9,56,41,51,84,86,54,16
3,16,43,85,63,47,63,66,80
4,5,92,85,70,77,76,81,10
4,7,68,16,72,23,58,69,88
5,8,75,89,77,53,45,81,54
5,12,83,21,42,19,27,53,96
5,16,25,58,13,55,75,22,43
5,7,63,57,49,97,76,72,53
6,16,32,69,35,75,96,21,14
6,7,66,67,64,52,96,61,88
7,16,40,17,79,83,52,67,57
8,12,22,40,96,90,66,98,72
9,16,13,42,95,59,77,77,33
9,10,44,63,73,43,62,63,76
9,18,91,92,74,42,29,14,96
11,16,60,28,17,72,30,37,96
11,12,80,90,58,12,36,98,55
12,13,22,66,19,40,23,85,54
12,15,99,52,32,18,43,30,51
12,16,81,99,41,65,27,99,34
13,14,70,25,68,97,15,72,35
14,16,38,27,65,34,81,57,53
15,16,87,57,86,14,61,24,79
16,17,25,88,16,33,81,78,85
16,18,65,96,56,44,24,60,67
3,0,40,97,76,81,39,81,16
6,0,12,64,71,29,25,23,72
18,1,79,15,53,59,69,32,65
6,1,46,84,12,60,29,16,62
10,2,81,35,23,39,12,23,72
3,2,46,23,25,51,64,20,21
9,3,54,25,53,96,67,60,69
16,3,76,73,76,76,28,41,14
5,4,39,98,85,80,92,91,73
7,4,75,31,77,19,25,81,57
8,5,52,62,15,81,63,22,59
12,5,74,71,79,89,20,44,32
16,5,52,79,42,27,90,93,90
7,5,67,71,54,79,91,46,12
16,6,96,41,66,27,68,18,88
7,6,19,99,97,31,49,54,40
16,7,98,78,34,24,43,14,21
12,8,19,71,25,69,34,16,61
16,9,22,41,54,80,26,83,26
10,9,94,42,59,19,95,29,49
18,9,62,26,89,11,16,72,19
16,11,34,59,23,53,98,72,74
12,11,37,84,17,74,83,27,94
13,12,74,44,98,42,29,57,63
15,12,33,63,46,23,93,93,25
16,12,18,83,11,39,11,79,81
14,13,96,59,67,91,34,29,51
16,14,23,81,63,47,36,12,30
16,15,58,92,49,44,24,55,60
17,16,21,48,73,24,16,59,88
18,16,78,39,20,81,51,62,49
source,destination
4,16
lower_bound,upperbound
260.8,391.2
221.6,332.4
292.8,439.2
0,360
0,388.8
0,391.2
included_node(s)
12
