link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,1,76,38,91,47,72,25,24
0,19,95,63,25,99,12,22,11
1,18,28,60,35,31,50,78,17
2,19,70,42,52,36,81,89,76
2,12,25,33,57,12,23,75,31
3,15,50,45,53,99,73,37,14
3,22,22,20,58,10,10,29,22
3,23,56,61,64,10,77,70,96
4,18,11,52,45,96,87,19,98
4,7,14,41,53,55,74,51,92
4,23,68,75,79,16,34,92,64
5,8,14,76,85,13,17,53,84
5,9,73,93,85,59,14,31,91
5,18,29,36,43,91,43,93,60
6,16,32,36,28,90,18,45,66
6,17,91,37,81,54,92,83,74
7,18,34,94,17,93,74,93,48
8,17,65,96,58,54,25,39,17
8,9,41,46,44,28,95,28,59
10,21,85,10,28,10,27,76,44
11,12,35,41,27,81,43,95,78
11,20,82,13,92,44,30,70,33
13,20,68,97,78,32,61,39,14
14,20,58,96,40,53,12,69,15
14,22,23,66,78,24,83,64,21
15,19,87,98,91,22,69,19,77
16,19,75,78,20,22,20,68,72
17,18,57,43,52,33,55,36,92
17,19,38,35,25,38,41,73,42
19,21,68,53,82,88,70,66,45
19,23,44,76,50,75,37,24,17
20,22,14,25,68,75,13,51,56
20,21,26,16,97,87,72,78,46
22,23,24,88,38,58,39,93,76
1,0,36,58,73,11,46,40,33
19,0,41,39,17,52,47,15,67
18,1,65,33,81,19,13,82,42
19,2,48,68,83,11,99,59,97
12,2,50,53,33,52,24,38,63
15,3,28,37,79,68,52,91,93
22,3,14,61,37,18,73,62,51
23,3,18,80,13,20,10,30,79
18,4,32,66,26,71,59,97,77
7,4,77,54,74,67,40,45,94
23,4,38,17,98,12,95,23,92
8,5,17,92,97,61,29,42,95
9,5,31,43,55,22,32,28,68
18,5,62,63,15,57,69,68,40
16,6,72,50,55,68,44,34,12
17,6,62,41,51,40,27,98,28
18,7,99,63,33,57,49,44,74
17,8,59,81,34,11,40,29,42
9,8,44,44,43,36,10,31,51
21,10,67,22,11,79,10,35,41
12,11,18,39,64,54,94,51,47
20,11,57,62,73,50,45,85,24
20,13,16,20,55,53,31,44,70
20,14,45,17,37,28,14,19,20
22,14,66,96,26,35,52,21,68
19,15,44,98,70,81,62,70,13
19,16,65,60,19,16,74,75,55
18,17,11,34,28,62,42,36,75
19,17,11,23,90,18,28,21,59
21,19,81,28,69,56,98,15,92
23,19,77,74,18,20,71,81,14
22,20,37,71,63,19,64,13,44
21,20,23,20,76,98,46,21,21
23,22,42,98,52,82,36,63,46
source,destination
4,5
lower_bound,upperbound
319.2,478.8
357.6,536.4
243.2,364.8
0,423.6
0,322.8
0,494.4
included_node(s)
8
