link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,1,86,91,26,58,85,50,93
2,6,64,95,42,39,37,27,76
2,8,22,97,30,22,42,84,27
2,9,99,13,47,96,60,27,86
4,3,91,69,95,85,62,90,69
5,3,83,40,37,62,17,97,45
5,4,62,36,35,86,34,21,63
5,6,81,76,92,30,35,73,35
5,7,97,87,30,38,25,20,51
7,6,73,84,91,53,84,71,89
7,8,77,60,99,44,80,17,88
9,11,31,16,98,74,79,86,93
10,9,86,55,34,41,35,19,43
10,11,57,12,76,38,51,28,69
12,13,25,80,69,39,41,19,83
14,8,54,25,89,22,23,34,40
14,10,70,18,77,76,67,21,74
14,12,98,63,12,70,67,81,66
14,13,55,38,55,88,97,37,90
14,15,27,62,74,99,66,15,37
14,17,55,67,71,53,51,97,39
14,19,98,50,49,16,28,27,53
14,20,67,20,28,29,86,67,16
14,21,32,47,33,37,38,34,88
14,24,20,20,59,75,54,72,38
15,8,37,14,39,77,69,34,16
15,9,84,39,93,58,53,46,95
15,10,27,64,21,32,22,90,68
15,11,35,58,74,41,82,65,75
16,9,73,65,85,71,70,12,22
16,15,13,95,78,54,46,92,95
17,18,22,49,53,51,67,16,30
19,18,90,23,79,10,59,30,50
19,20,77,54,98,66,78,76,74
19,23,21,52,52,47,27,33,16
21,8,43,82,36,48,21,72,19
21,19,23,85,35,28,48,36,71
21,22,35,78,77,85,52,96,32
21,23,77,58,28,30,98,97,96
23,22,20,34,17,19,63,46,74
24,0,60,25,68,91,88,29,21
24,1,16,70,79,64,78,14,46
24,2,93,40,68,45,94,85,68
24,3,47,32,92,32,76,38,16
24,8,63,34,55,54,81,85,16
1,0,70,20,37,74,87,56,51
6,2,53,48,44,96,89,24,47
8,2,86,43,32,31,49,96,80
9,2,69,36,39,96,54,37,69
3,4,98,76,51,47,86,52,37
3,5,65,95,96,30,67,64,69
4,5,76,93,10,50,58,34,98
6,5,59,26,90,15,14,31,42
7,5,32,67,76,11,53,83,75
6,7,60,93,85,39,86,58,48
8,7,69,89,49,80,20,55,70
11,9,60,71,16,78,74,17,81
9,10,44,32,40,49,91,57,96
11,10,49,53,60,13,84,45,90
13,12,47,29,42,71,57,34,18
8,14,69,50,77,20,61,59,18
10,14,14,11,90,19,82,89,48
12,14,59,31,47,75,76,92,90
13,14,21,63,56,73,20,41,20
15,14,43,17,50,75,23,28,74
17,14,33,35,90,22,94,25,97
19,14,17,45,82,73,83,65,81
20,14,56,92,76,55,61,54,46
21,14,58,66,67,60,98,73,29
24,14,84,55,62,93,81,63,78
8,15,29,26,45,64,76,52,20
9,15,19,81,36,51,86,54,92
10,15,90,77,41,19,21,29,24
11,15,22,18,13,99,32,37,40
9,16,18,65,80,35,62,45,98
15,16,16,11,48,26,93,14,82
18,17,83,81,40,36,20,83,43
18,19,61,13,24,32,13,59,97
20,19,92,44,71,47,42,63,62
23,19,14,69,31,32,26,20,13
8,21,21,42,27,31,89,11,34
19,21,57,92,29,29,99,27,31
22,21,80,62,83,34,74,97,63
23,21,70,20,17,36,55,84,29
22,23,42,21,96,31,15,10,58
0,24,40,17,31,25,22,17,64
1,24,92,61,57,16,65,40,89
2,24,54,45,64,61,41,69,39
3,24,36,92,61,64,14,64,60
8,24,41,67,69,71,12,37,42
source,destination
16,8
lower_bound,upperbound
279.2,418.8
280,420
231.2,346.8
0,392.4
0,181.2
0,363.6
included_node(s)
2
