link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,2,35,87,21,33,84,78,50
0,4,15,73,97,13,87,36,70
0,9,40,41,35,33,47,54,85
0,15,82,84,95,50,50,60,90
0,19,96,98,95,33,29,91,58
1,6,92,68,65,50,19,46,46
1,13,90,83,67,65,96,82,41
1,14,79,99,43,63,89,46,45
2,6,43,63,24,24,48,37,27
2,12,41,57,63,77,59,68,66
3,4,46,54,54,20,89,64,74
3,16,48,46,20,79,45,41,75
3,20,10,92,59,35,88,43,65
4,6,28,64,14,28,23,22,45
4,7,20,11,71,44,36,27,69
4,10,90,19,45,60,84,69,83
4,12,50,88,98,39,12,49,51
4,14,76,88,57,77,39,47,76
4,18,68,68,94,67,84,68,53
5,6,36,72,45,68,11,83,92
5,12,54,73,26,77,20,52,43
5,17,35,46,53,15,23,77,94
6,13,19,99,46,62,37,23,27
6,21,13,86,99,33,92,79,12
7,12,31,64,48,41,81,46,38
8,9,30,89,76,28,22,28,65
8,19,23,81,13,14,27,46,35
9,20,83,36,25,74,45,61,87
10,21,42,60,30,53,21,51,78
11,12,47,91,66,19,17,44,35
11,14,46,30,68,26,32,59,94
14,21,67,99,41,76,58,81,28
15,21,14,26,64,74,95,32,96
16,18,38,62,55,49,69,13,79
17,21,49,46,36,78,60,41,71
18,21,11,24,21,60,24,23,16
2,0,30,82,20,52,40,49,25
4,0,91,29,55,95,56,24,12
9,0,80,23,16,23,65,22,51
15,0,25,98,87,66,41,39,94
19,0,33,76,18,72,68,44,30
6,1,27,67,60,85,55,76,77
13,1,63,96,97,45,38,70,69
14,1,85,30,30,59,56,40,86
6,2,45,32,65,13,30,50,22
12,2,73,97,68,41,64,87,38
4,3,37,39,27,72,92,99,69
16,3,47,72,25,94,32,89,64
20,3,11,86,78,18,93,35,66
6,4,95,97,21,39,39,29,22
7,4,73,44,60,63,86,34,18
10,4,55,21,56,48,65,39,99
12,4,82,44,65,45,52,58,68
14,4,83,96,58,77,23,47,35
18,4,58,98,56,33,58,18,64
6,5,13,60,65,38,85,94,59
12,5,65,85,35,95,35,28,90
17,5,33,41,21,37,75,54,89
13,6,87,86,80,13,30,55,98
21,6,59,97,55,48,47,69,30
12,7,32,85,77,99,82,50,25
9,8,33,17,10,29,53,66,92
19,8,26,97,48,76,57,51,11
20,9,37,11,93,73,39,73,73
21,10,23,31,56,30,74,69,71
12,11,28,95,74,16,17,82,72
14,11,38,78,66,33,15,48,41
21,14,43,13,28,72,67,71,48
21,15,19,24,81,63,25,58,36
18,16,70,91,72,99,71,22,82
21,17,20,11,15,90,98,10,42
21,18,94,53,51,87,45,55,57
source,destination
11,0
lower_bound,upperbound
289.6,434.4
184.8,277.2
197.6,296.4
0,159.6
0,304.8
0,316.8
included_node(s)
6
