link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,1,70,50,15,98,55,62,88
1,0,29,17,83,92,45,45,84
0,2,18,62,69,98,99,62,46
2,0,45,32,18,25,82,58,44
0,3,91,49,11,40,18,28,25
3,0,58,46,54,75,84,31,68
0,4,64,34,89,48,70,19,80
4,0,97,99,19,47,78,32,56
0,6,95,24,91,27,55,61,75
6,0,67,81,29,71,30,91,97
1,2,92,49,81,98,17,11,32
2,1,19,75,83,95,38,33,37
1,7,19,69,88,44,75,17,95
7,1,63,96,62,34,70,18,33
2,3,27,31,11,21,13,52,67
3,2,19,64,83,73,31,87,78
2,6,84,91,13,29,71,66,13
6,2,73,61,17,38,86,32,77
3,4,67,23,16,17,61,84,70
4,3,60,80,68,41,45,79,35
3,6,72,74,84,54,61,50,99
6,3,42,56,56,35,57,58,65
3,9,99,58,68,70,95,31,40
9,3,45,38,53,86,54,34,52
4,5,47,99,22,84,48,32,78
5,4,11,56,56,45,56,32,57
4,8,90,43,20,53,28,65,33
8,4,30,43,45,88,49,16,75
5,8,46,47,63,47,55,41,68
8,5,43,11,46,60,61,48,77
5,17,13,34,98,38,47,55,84
17,5,16,49,30,97,11,55,18
6,9,62,18,81,53,97,45,23
9,6,22,49,29,88,98,69,82
6,10,51,34,38,23,83,66,53
10,6,16,20,44,45,67,64,39
7,11,32,85,74,25,44,52,12
11,7,67,58,27,61,53,75,85
7,24,13,19,16,82,45,86,47
24,7,27,99,27,43,89,13,77
8,9,87,91,98,84,35,28,82
9,8,57,20,87,42,14,49,69
8,12,88,75,62,38,79,36,15
12,8,96,61,48,80,11,36,39
8,13,20,17,12,66,74,58,54
13,8,15,96,63,11,45,78,34
8,14,16,77,32,53,84,23,17
14,8,94,60,15,86,45,24,19
9,10,40,20,70,92,83,63,63
10,9,35,53,90,23,45,59,77
9,14,54,40,35,79,43,55,45
14,9,65,46,16,98,44,65,63
9,23,29,99,47,48,54,17,95
23,9,16,51,93,49,38,76,37
10,11,10,75,59,84,89,51,15
11,10,66,99,21,32,54,92,73
10,16,69,97,12,84,46,99,46
16,10,53,18,32,37,69,17,91
