link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,6,70,29,12,85,43,97,54
0,11,29,54,91,92,50,62,90
0,12,18,99,46,89,54,56,71
0,13,45,82,14,25,33,13,61
1,3,91,73,43,52,13,79,26
1,21,58,30,91,61,77,16,73
2,14,64,87,68,68,88,53,74
2,15,97,21,91,83,10,41,25
3,7,95,87,50,98,69,55,77
3,26,67,73,17,29,13,55,43
4,8,92,25,62,86,88,57,65
4,12,19,60,32,73,15,39,44
4,17,19,36,49,28,33,22,21
4,20,63,41,46,83,55,79,64
4,25,27,89,34,43,35,81,66
5,15,19,95,99,22,10,47,77
5,19,84,41,24,42,15,86,79
6,10,73,85,81,66,83,28,58
6,19,67,68,49,93,69,40,23
7,20,60,58,75,79,18,97,67
7,25,72,68,69,97,11,39,14
8,18,42,88,96,22,54,94,12
9,11,99,25,31,11,89,81,17
9,13,45,99,64,11,19,48,50
10,12,47,28,91,79,91,22,98
10,17,11,87,61,44,29,11,92
10,23,90,99,23,75,81,16,98
13,19,30,67,80,45,83,22,25
14,19,46,52,74,69,88,12,40
16,17,43,86,56,60,62,94,75
16,21,13,61,58,38,11,50,48
16,27,16,33,38,54,83,10,47
17,24,62,92,99,52,13,56,27
18,22,22,22,56,79,17,96,71
19,23,51,67,43,69,16,65,98
20,24,16,65,43,95,68,87,95
21,26,32,43,47,93,84,65,44
22,25,67,54,11,89,56,18,34
27,14,13,39,34,40,68,81,21
23,27,27,82,49,91,53,72,73
24,26,87,80,18,19,22,63,29
6,0,57,54,49,26,56,38,38
11,0,88,95,34,26,20,11,17
12,0,96,16,20,89,45,37,41
13,0,20,48,85,61,63,69,54
3,1,15,84,58,21,46,82,35
21,1,16,12,19,12,98,74,70
14,2,94,41,99,94,30,17,86
15,2,40,31,91,77,81,63,84
7,3,35,32,20,57,29,67,45
26,3,54,90,75,35,38,67,53
8,4,65,51,61,74,44,54,88
12,4,29,20,17,31,74,61,47
17,4,16,15,96,36,27,48,60
20,4,10,50,77,37,16,54,38
25,4,66,90,60,10,27,35,97
15,5,69,55,20,71,98,50,53
19,5,53,11,53,65,87,23,88
10,6,48,58,40,97,62,47,23
19,6,15,97,46,40,48,14,45
20,7,86,87,99,25,12,17,25
25,7,52,19,51,35,63,50,61
18,8,73,82,75,46,32,14,82
11,9,11,42,99,68,15,26,43
13,9,26,31,97,67,70,46,84
12,10,76,50,18,68,90,32,42
17,10,17,59,94,25,35,65,38
23,10,48,26,97,60,16,63,80
19,13,96,56,71,57,47,40,66
19,14,20,88,28,17,93,46,11
17,16,27,99,46,51,59,35,53
21,16,83,36,41,66,21,56,86
27,16,30,95,29,85,12,36,92
24,17,15,56,70,29,32,88,23
22,18,79,95,51,56,18,83,79
23,19,40,95,14,46,27,96,98
24,20,72,40,81,40,68,33,48
26,21,47,59,22,20,16,58,49
25,22,87,36,66,40,48,65,84
14,27,64,61,72,17,11,48,32
27,23,35,81,33,29,36,77,84
26,24,93,78,93,65,76,32,37
source,destination
15,17
lower_bound,upperbound
288,432
252.8,379.2
245.6,368.4
0,304.8
0,352.8
0,428.4
included_node(s)
2
