link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,1,95,13,37,86,32,98,69
5,4,68,81,90,87,18,44,68
12,11,48,31,73,40,15,78,24
23,26,45,28,58,29,42,82,11
26,23,58,28,25,86,14,42,68
5,6,27,37,24,95,48,89,33
6,5,15,82,24,59,75,88,87
6,7,41,55,19,16,11,72,77
7,6,27,43,49,32,78,57,80
7,8,87,14,54,37,93,30,40
8,7,93,30,87,75,68,39,82
8,9,93,59,49,75,68,73,85
9,8,28,81,35,49,18,79,99
8,11,73,30,39,60,90,60,10
1,0,84,27,10,94,43,29,22
11,8,11,65,47,27,67,95,94
9,11,70,94,45,57,70,25,75
11,9,98,88,23,63,26,34,30
10,11,81,92,73,11,91,10,55
11,10,58,23,14,70,18,33,89
9,10,58,91,92,49,64,21,61
10,9,74,61,21,97,91,58,78
10,25,35,90,39,93,76,79,11
25,10,41,33,21,87,28,60,50
24,25,62,38,18,61,10,96,12
1,2,48,37,81,41,79,45,30
25,24,62,49,60,70,29,58,69
22,24,83,30,49,77,57,54,49
24,22,68,10,14,59,19,24,16
23,24,76,13,40,58,71,90,71
24,23,37,61,16,50,26,76,66
22,23,63,65,94,98,41,74,76
23,22,97,85,30,97,79,35,91
21,23,38,83,42,43,83,55,42
23,21,60,83,52,27,74,57,77
22,26,55,65,45,83,46,29,59
2,1,55,72,56,38,32,96,66
26,22,65,28,28,38,11,97,26
21,22,49,21,17,51,47,92,89
22,21,72,16,95,22,62,15,98
20,21,53,32,35,65,56,27,18
21,20,42,41,94,26,15,83,33
0,20,65,65,96,87,31,79,45
20,0,33,65,60,14,64,96,69
19,20,67,62,86,39,96,43,33
20,19,11,44,97,82,26,60,19
0,19,86,82,60,32,31,53,63
2,3,38,18,31,48,28,58,61
19,0,10,32,72,97,42,85,92
19,21,67,37,33,85,74,15,71
21,19,48,31,87,71,36,43,50
1,19,58,75,64,98,59,58,53
19,1,93,88,44,83,65,26,49
19,26,35,74,26,64,12,22,13
26,19,51,98,75,85,77,70,94
21,26,17,79,14,44,28,22,51
26,21,73,11,59,95,82,58,33
18,19,13,10,87,55,59,80,25
3,2,90,61,53,22,37,28,53
19,18,42,11,64,17,53,34,92
18,26,80,65,27,66,30,71,48
26,18,80,23,22,24,53,57,71
3,18,57,66,58,67,85,98,68
18,3,77,50,48,63,61,58,39
17,18,18,58,54,57,37,64,14
18,17,18,12,62,46,21,17,97
15,18,84,68,45,47,97,39,51
18,15,63,30,62,47,21,22,32
18,23,35,82,43,36,22,14,76
3,4,85,79,14,88,44,31,92
23,18,87,88,19,59,73,28,82
15,23,40,14,68,92,68,83,84
23,15,27,20,99,67,50,66,25
15,25,52,54,15,47,94,97,27
25,15,25,31,80,58,32,42,16
14,15,47,34,47,96,98,99,11
15,14,54,50,64,81,21,19,88
10,14,12,13,40,42,15,85,69
14,10,75,42,30,44,78,19,24
12,14,16,73,37,40,15,94,80
4,3,31,40,25,28,80,91,92
14,12,23,26,17,15,66,53,26
15,16,64,10,91,38,26,15,34
16,15,77,81,22,63,97,69,41
15,17,10,52,85,32,31,65,29
17,15,67,61,29,75,94,75,80
16,17,84,60,26,59,25,43,45
17,16,73,53,97,79,65,75,52
4,17,71,61,16,82,15,56,57
17,4,37,73,32,33,53,61,50
13,16,67,17,61,86,18,61,96
4,5,51,26,86,48,87,79,95
16,13,17,48,96,10,58,70,73
4,13,77,35,71,15,93,22,64
13,4,80,29,86,12,48,89,86
5,13,77,96,12,57,85,34,39
13,5,85,89,85,51,66,29,24
6,13,26,87,31,11,46,28,37
13,6,92,79,64,57,96,47,23
12,16,72,71,28,40,78,34,52
16,12,12,28,36,89,42,12,81
11,12,79,67,73,16,32,65,95
source,destination
13,26
lower_bound,upperbound
388,582
398.4,597.6
416.8,625.2
0,607.2
0,759.6
0,656.4
included_node(s)
24
