link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
19,2,71,16,22,57,30,26,70
19,3,33,34,62,27,29,94,84
19,11,74,31,11,34,65,96,76
19,14,36,82,64,82,16,92,61
16,19,53,46,60,82,10,71,43
19,21,77,74,48,53,71,67,82
19,22,25,43,94,88,54,40,24
20,9,23,78,27,82,42,28,20
22,8,78,92,77,43,43,50,67
22,13,75,76,50,26,90,81,91
22,23,54,17,31,49,49,49,74
23,13,94,72,28,26,79,56,51
1,11,14,91,68,77,22,75,57
1,14,54,46,93,43,91,44,91
2,13,23,74,86,60,82,80,56
2,14,34,46,92,40,22,23,64
3,7,92,21,85,48,34,98,81
2,4,71,30,86,95,73,82,20
4,5,61,89,35,96,41,65,25
4,14,39,24,32,24,57,32,69
5,14,87,16,70,18,21,52,59
7,21,84,80,25,90,87,61,37
9,14,88,71,70,18,85,99,60
10,14,19,14,67,39,28,47,76
14,15,73,96,66,24,63,99,99
16,0,98,98,84,18,95,72,50
17,10,82,64,51,71,75,24,25
17,20,92,13,48,66,45,66,91
1,18,40,35,45,31,11,73,64
14,18,20,52,25,29,36,34,70
14,17,10,32,87,55,13,91,22
0,8,63,93,20,79,31,52,86
0,19,44,76,39,46,17,81,17
11,21,36,15,50,41,30,49,88
7,19,89,38,74,23,89,96,99
1,4,49,74,89,81,17,14,50
4,11,14,80,88,85,91,68,70
10,15,14,71,68,63,44,36,23
17,15,63,52,68,25,11,32,60
15,9,82,34,28,80,34,19,90
15,18,41,99,70,80,34,69,15
8,19,69,59,51,65,50,33,86
14,22,76,96,46,59,14,27,41
6,18,45,90,38,19,98,45,24
3,11,24,96,45,98,41,67,77
11,12,51,71,84,19,48,97,87
4,12,32,36,82,11,20,58,78
1,12,68,69,82,99,27,65,20
6,15,22,53,70,14,21,80,59
16,22,83,78,17,97,13,75,56
9,6,97,46,67,75,74,49,80
2,19,99,60,41,74,33,84,18
3,19,67,58,84,49,90,37,45
11,19,47,17,37,83,22,49,92
14,19,71,64,98,66,13,83,47
19,16,92,16,50,63,54,88,44
21,19,46,67,21,53,69,73,42
22,19,15,80,11,37,79,97,62
9,20,84,19,51,29,51,55,88
8,22,76,55,18,75,70,98,58
13,22,26,84,78,18,67,84,85
23,22,47,94,38,37,17,98,10
13,23,91,48,28,16,53,50,96
11,1,22,22,17,55,74,27,92
14,1,73,99,78,68,37,99,88
13,2,81,76,54,81,43,46,95
14,2,61,86,58,88,81,31,42
7,3,39,41,28,15,81,67,59
4,2,47,99,22,44,39,34,19
5,4,76,38,27,13,44,16,55
14,4,21,66,46,86,15,38,49
14,5,79,99,44,76,25,94,76
21,7,46,88,68,68,84,39,41
14,9,50,62,83,45,71,56,80
14,10,76,89,34,85,23,91,90
15,14,22,46,65,29,25,97,71
0,16,53,85,29,16,19,53,29
10,17,98,78,16,86,86,11,69
20,17,80,15,48,80,94,24,81
18,1,66,39,90,20,31,85,78
18,14,43,56,76,83,51,77,25
17,14,39,13,15,55,31,64,23
8,0,27,51,31,84,16,31,49
19,0,62,66,60,32,42,66,60
21,11,77,72,94,90,43,65,16
19,7,50,15,81,12,71,15,86
4,1,55,72,63,47,48,54,56
11,4,75,40,15,43,12,38,10
15,10,56,48,45,39,12,12,10
15,17,91,43,14,67,89,61,44
9,15,13,47,23,70,34,88,59
18,15,34,84,23,48,69,48,85
19,8,90,89,42,56,96,21,44
22,14,94,85,94,38,77,39,55
18,6,98,97,31,55,43,65,77
11,3,26,89,72,24,86,20,85
12,11,37,62,48,19,20,37,13
12,4,59,83,79,95,76,49,72
12,1,55,30,52,82,67,40,96
15,6,75,61,23,54,11,24,22
22,16,36,22,96,98,20,55,27
6,9,29,48,89,68,34,68,45
source,destination
3,10
lower_bound,upperbound
480,720
422.4,633.6
412.8,619.2
0,669.6
0,589.2
0,753.6
included_node(s)
20
