link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,2,35,26,44,97,74,37,43
0,4,15,37,96,30,49,92,22
0,5,40,23,98,65,78,81,27
0,7,82,28,60,68,60,22,69
1,8,96,38,85,27,52,27,49
1,6,92,43,41,25,95,45,47
1,4,90,19,86,78,23,21,68
1,5,79,70,97,21,66,17,83
1,22,43,20,85,60,72,32,52
2,10,41,94,17,56,85,58,77
2,3,46,87,97,65,45,95,23
3,10,48,73,11,58,59,69,79
5,12,10,41,31,56,13,60,46
5,8,28,84,95,65,41,24,28
6,7,20,98,78,35,72,40,46
8,9,90,68,13,21,94,56,61
9,12,50,83,24,80,18,65,51
10,20,76,99,91,55,39,41,44
10,13,68,63,11,77,63,68,59
10,14,36,57,53,10,48,55,81
11,13,54,54,21,48,45,38,32
11,22,35,46,97,93,77,56,13
11,21,19,92,35,56,33,30,41
13,14,13,64,95,74,38,64,23
15,16,31,11,95,66,95,92,49
15,22,30,19,65,28,37,32,24
16,18,23,88,67,81,13,93,22
17,18,83,88,43,72,48,39,39
18,19,42,68,24,15,99,86,44
18,21,47,72,63,51,29,65,76
19,20,46,73,54,33,76,52,70
2,0,67,46,20,13,73,23,40
4,0,14,99,59,33,30,58,50
5,0,38,86,14,50,16,85,87
7,0,49,64,71,33,33,35,99
8,1,11,89,45,50,72,75,89
6,1,30,81,98,65,63,30,35
4,1,91,36,57,63,99,47,29
5,1,80,60,94,24,90,82,34
22,1,25,91,45,77,87,53,39
10,2,33,30,26,20,84,57,58
3,2,27,99,53,79,87,39,47
10,3,63,26,46,35,47,74,18
12,5,85,62,99,28,50,17,94
8,5,45,46,48,44,29,15,28
7,6,73,24,76,60,19,67,54
9,8,37,82,13,39,96,25,55
12,9,47,29,25,77,89,71,69
20,10,11,23,30,67,48,98,50
13,10,95,98,66,68,59,45,66
14,10,73,76,68,77,89,78,51
13,11,55,67,41,15,45,36,73
22,11,82,96,64,62,88,54,69
21,11,83,30,55,33,23,60,82
14,13,58,32,36,41,36,91,48
16,15,13,97,21,28,84,46,71
22,15,65,39,20,14,12,82,58
18,16,33,72,55,74,39,46,22
18,17,87,86,16,53,84,37,10
19,18,59,97,87,19,11,68,55
21,18,32,44,18,26,20,64,50
20,19,33,21,60,76,23,41,70
source,destination
20,2
lower_bound,upperbound
437.6,656.4
295.2,369
394.4,596.4
0,571.2
0,540
0,536.4
included_node(s)
11
