link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,3,83,16,11,50,91,43,79
0,7,26,18,60,32,84,83,20
1,3,37,78,83,81,29,83,22
1,6,35,94,50,20,71,18,30
1,13,33,43,54,25,30,40,61
1,18,35,21,14,71,27,34,79
1,19,56,54,34,41,75,47,96
1,22,22,29,44,70,88,76,12
1,31,79,52,87,98,57,18,81
2,3,11,70,36,15,90,79,82
2,22,42,36,43,40,94,60,40
3,7,77,28,91,36,68,76,37
3,22,60,29,27,44,10,58,73
3,23,89,92,95,76,44,27,51
4,5,33,26,19,52,32,39,31
4,7,86,46,26,45,69,20,49
5,8,70,94,32,78,36,83,70
5,17,46,39,21,56,71,23,25
5,11,62,55,27,52,70,43,36
6,7,56,20,38,48,84,57,67
7,15,81,84,15,24,62,33,87
8,9,18,38,57,97,82,32,34
9,17,97,27,94,52,72,46,70
10,31,79,31,71,24,90,55,86
11,15,72,87,18,10,95,72,74
12,31,90,12,35,76,55,86,57
14,16,72,97,99,72,12,35,84
15,17,23,82,47,69,89,48,48
15,20,47,62,85,79,80,97,55
15,21,65,66,53,20,12,19,78
16,17,69,71,78,48,48,86,42
22,27,82,30,48,81,33,40,86
22,26,82,36,13,43,48,54,50
23,26,58,11,61,81,30,31,16
24,26,69,25,88,91,94,10,16
25,26,67,69,19,20,30,84,64
27,28,83,74,66,53,99,18,86
27,29,26,69,74,84,31,47,12
29,30,41,50,53,80,19,60,28
29,31,62,79,53,13,56,78,29
30,31,79,91,63,89,22,26,46
3,0,73,77,48,21,65,72,20
7,0,91,97,96,39,24,54,57
3,1,39,21,80,86,74,37,20
6,1,24,31,44,49,99,89,61
13,1,77,75,68,43,99,83,40
18,1,78,19,58,83,43,99,21
19,1,84,77,28,28,36,72,83
22,1,75,67,79,90,70,58,17
31,1,40,26,37,35,65,43,47
3,2,93,87,57,66,20,30,12
22,2,56,13,46,66,32,81,56
7,3,11,16,84,84,99,27,34
22,3,90,15,13,70,44,28,35
23,3,36,86,70,80,23,89,42
5,4,73,93,93,84,95,51,60
7,4,42,69,90,46,51,15,82
8,5,60,84,69,52,77,24,79
17,5,86,38,92,16,84,89,60
11,5,41,31,75,77,83,12,89
7,6,25,12,74,25,41,85,19
15,7,55,99,70,16,84,37,54
9,8,24,13,75,59,16,94,75
17,9,97,39,39,58,79,39,21
31,10,66,10,84,87,14,59,60
15,11,45,28,26,12,62,94,43
31,12,26,98,49,68,62,75,37
16,14,49,75,12,92,66,29,98
17,15,23,50,52,49,84,93,98
20,15,57,49,54,49,71,35,56
21,15,64,16,17,96,22,97,80
17,16,55,93,67,90,58,20,44
27,22,82,78,55,22,88,98,66
26,22,55,65,14,87,89,51,37
26,23,84,66,48,76,32,99,16
26,24,97,61,51,61,88,49,80
26,25,84,41,72,83,88,87,29
28,27,24,75,58,22,28,98,27
29,27,43,39,69,41,76,22,25
30,29,60,98,13,35,58,45,89
31,29,17,54,86,99,83,93,27
31,30,88,78,78,59,48,94,28
source,destination
25,7
lower_bound,upperbound
195.2,292.8
115.2,144
184,276
0,374.4
0,381.6
0,211.2
included_node(s)
26
