link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,3,76,97,98,98,95,77,89
0,6,95,96,97,82,70,94,59
1,6,28,66,55,72,39,92,74
2,3,70,98,15,12,69,95,80
2,28,25,78,55,50,64,68,56
4,5,50,43,51,81,19,40,64
4,7,22,35,33,23,68,12,36
5,8,56,53,34,73,36,28,14
6,11,11,76,43,10,73,74,96
7,11,14,25,11,77,66,42,63
7,14,68,16,64,87,24,51,77
8,17,14,88,73,74,51,41,56
8,12,73,58,55,34,78,47,14
8,14,29,39,37,17,93,24,70
8,9,32,33,26,14,40,70,11
10,17,91,68,70,43,15,20,15
11,27,34,53,19,18,82,68,19
11,14,65,37,28,92,59,13,37
12,14,41,61,90,74,38,55,92
12,16,85,80,69,25,91,75,60
12,17,35,66,18,95,62,59,85
12,23,82,54,63,27,30,92,57
12,24,68,17,76,43,97,14,91
13,27,58,92,52,30,45,44,37
13,29,23,43,47,61,23,21,58
13,14,87,63,99,12,42,46,26
14,33,75,50,31,83,28,41,19
14,36,57,41,36,69,68,37,56
14,18,38,63,12,20,34,39,83
14,19,68,81,99,55,98,45,62
14,20,44,44,10,41,44,16,38
14,21,14,22,10,70,29,69,72
14,23,26,39,96,37,31,39,21
14,26,24,62,55,13,35,98,12
14,27,36,20,16,72,51,64,52
14,29,41,17,13,39,85,98,30
15,16,65,96,59,46,44,38,28
22,35,48,98,91,47,19,29,41
22,28,50,60,90,13,21,26,34
25,26,28,34,54,99,70,65,77
30,32,14,23,93,24,75,61,56
31,32,18,28,54,52,36,29,11
32,33,32,74,28,73,21,96,33
32,34,77,71,10,10,15,61,22
34,35,38,20,81,59,81,43,33
3,0,17,98,44,40,13,28,86
6,0,31,91,32,95,21,33,80
6,1,62,25,53,29,63,11,43
3,2,72,35,24,32,24,31,24
28,2,62,52,22,69,11,40,72
5,4,99,57,22,44,17,38,55
7,4,59,53,33,27,76,43,61
8,5,44,58,38,49,31,32,81
11,6,67,64,88,40,14,42,46
11,7,18,45,75,10,22,77,88
14,7,57,53,75,10,96,96,91
17,8,16,79,87,94,98,41,24
12,8,45,85,58,45,92,71,60
14,8,66,85,11,31,64,33,47
9,8,44,43,52,14,84,70,59
17,10,65,28,19,52,91,16,22
27,11,11,81,11,62,60,91,38
14,11,11,17,52,74,66,91,31
14,12,81,58,68,42,74,45,86
16,12,77,44,18,28,48,90,40
17,12,37,28,20,98,17,56,36
23,12,23,27,71,71,59,95,16
24,12,42,92,67,64,44,80,59
27,13,38,78,12,46,78,37,29
29,13,63,40,61,36,33,73,92
14,13,60,78,22,25,14,97,36
33,14,42,91,57,22,15,88,37
36,14,33,20,68,78,21,92,55
18,14,45,52,40,89,77,55,21
19,14,20,25,57,75,72,11,50
20,14,61,82,11,37,92,87,41
21,14,52,50,36,29,42,74,97
23,14,41,68,79,70,45,34,82
26,14,75,97,54,19,17,50,74
27,14,76,38,50,51,56,57,21
29,14,93,73,53,92,46,65,16
16,15,36,17,28,53,76,41,81
35,22,36,81,35,31,33,90,72
28,22,37,83,81,93,67,49,87
26,25,94,33,16,45,42,73,79
32,30,96,79,62,83,97,30,23
32,31,46,37,18,93,63,97,40
33,32,10,13,56,39,93,66,93
34,32,41,26,20,28,51,53,73
35,34,13,74,19,76,79,30,40
source,destination
14,29
lower_bound,upperbound
201.6,302.4
123.2,154
169.6,254.4
0,414
0,316.8
0,312
included_node(s)
11
