link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,1,83,23,86,63,72,10,83
0,19,26,57,93,48,69,44,48
1,18,37,64,69,96,79,32,43
2,19,35,55,84,80,20,69,83
2,12,33,82,38,44,48,36,83
3,15,35,55,31,68,81,71,18
3,22,56,84,12,58,43,70,40
3,23,22,97,99,28,81,84,34
4,18,79,84,13,79,91,62,47
4,7,11,24,39,37,20,82,76
4,23,42,43,10,57,53,72,18
5,8,77,60,28,46,84,90,79
5,9,60,17,98,84,80,95,60
5,18,89,88,75,13,13,55,76
6,16,33,16,50,70,89,12,58
6,17,86,18,49,93,21,89,27
7,18,70,78,16,90,39,80,39
8,17,46,94,93,69,86,12,20
8,9,62,43,78,92,49,48,83
10,21,56,21,65,75,43,33,23
11,12,81,54,66,74,83,48,43
11,20,18,29,61,70,28,30,57
13,20,97,52,41,75,90,94,33
14,20,79,70,75,39,35,30,32
14,22,72,36,39,84,66,99,46
15,19,90,28,98,26,66,31,55
16,19,72,29,54,49,84,19,72
17,18,23,92,78,12,70,56,86
17,19,47,26,11,52,80,22,35
19,21,65,46,60,54,84,65,48
19,23,69,94,83,17,46,24,97
20,22,82,39,50,67,52,74,19
20,21,82,55,54,55,16,99,86
22,23,58,20,14,14,77,99,40
1,0,69,84,34,48,25,43,54
19,0,67,38,44,51,16,36,31
18,1,83,27,87,72,59,70,10
19,2,26,31,36,58,58,65,84
12,2,41,87,43,69,87,20,18
15,3,62,12,91,13,12,32,47
22,3,79,97,27,86,68,99,60
23,3,73,82,95,78,92,44,78
18,4,91,62,19,50,49,23,26
7,4,39,66,26,32,49,95,72
23,4,24,71,32,81,96,51,54
8,5,77,30,21,20,90,77,37
9,5,78,36,27,25,22,84,89
18,5,84,11,38,71,87,83,83
16,6,75,25,15,41,76,41,99
17,6,40,69,57,70,61,84,72
18,7,93,74,94,98,83,16,58
17,8,56,69,71,15,22,79,43
9,8,11,50,18,40,41,14,30
21,10,90,79,35,36,35,62,81
12,11,36,91,99,44,99,62,27
20,11,73,77,47,76,59,66,28
20,13,42,97,85,52,91,84,89
20,14,60,21,53,45,84,71,51
22,14,86,31,78,78,29,22,15
19,15,41,75,48,56,71,58,24
19,16,25,19,13,52,30,88,89
18,17,55,77,61,48,27,89,12
19,17,24,67,88,24,75,32,85
21,19,97,26,19,97,88,88,37
23,19,66,87,66,52,57,88,94
22,20,45,13,74,24,90,28,39
21,20,26,16,53,10,94,76,59
23,22,49,15,53,76,68,58,94
source,destination
6,10
lower_bound,upperbound
690.4,1035.6
467.2,584
731.2,710.4
0,597.6
0,866.4
0,670.8
included_node(s)
7
