link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,1,71,13,15,58,66,14,91
2,6,33,34,39,28,63,98,52
2,8,74,90,56,22,53,41,81
2,9,36,94,13,27,37,48,49
4,3,53,98,51,46,29,20,96
5,3,77,26,66,44,75,27,14
5,4,25,37,72,68,18,21,68
5,6,23,59,15,83,37,13,36
5,7,78,55,72,34,16,74,32
7,6,75,75,40,65,55,33,19
7,8,54,36,48,29,68,90,69
9,11,94,29,43,16,81,22,33
10,9,14,16,47,48,88,13,27
10,11,54,34,84,90,15,54,45
12,13,23,31,89,76,44,69,67
14,8,34,82,85,15,13,79,97
14,10,92,46,97,31,86,51,58
14,12,71,74,89,60,76,70,65
14,13,61,43,62,94,68,67,80
14,15,39,78,83,81,45,17,75
14,17,87,92,30,63,85,53,49
14,19,84,76,61,15,29,74,84
14,20,88,17,22,45,16,37,37
14,21,19,72,48,14,86,43,49
14,24,73,91,22,23,80,81,83
15,8,98,46,62,23,20,81,88
15,9,82,74,11,42,83,39,73
15,10,92,46,64,94,55,44,97
15,11,40,21,60,31,84,15,55
16,9,20,30,48,72,32,25,98
16,15,10,89,94,48,90,84,84
17,18,63,24,27,79,12,71,98
19,18,44,16,77,52,47,23,50
19,20,36,80,50,23,43,25,27
19,23,89,71,31,96,39,19,99
21,8,49,14,28,89,67,86,46
21,19,14,96,68,57,70,94,31
21,22,14,98,93,27,48,31,67
21,23,63,64,86,34,56,51,34
23,22,82,13,92,82,38,31,16
24,0,41,35,85,82,55,16,38
24,1,69,52,86,53,24,42,94
24,2,76,32,35,88,19,43,39
24,3,45,93,32,82,95,71,56
24,8,24,76,70,43,82,48,91
1,0,51,15,25,26,54,12,97
6,2,32,38,70,49,98,12,53
8,2,68,74,67,26,68,89,11
9,2,22,80,66,77,30,34,24
3,4,83,71,84,43,29,69,85
3,5,97,52,51,60,65,96,77
4,5,99,34,48,40,16,77,64
6,5,67,99,45,48,10,43,31
7,5,47,59,25,95,71,86,66
6,7,71,96,87,96,54,20,65
8,7,92,90,20,24,42,76,15
11,9,46,96,39,18,43,67,54
9,10,15,71,50,90,90,11,38
11,10,84,36,74,18,49,20,12
13,12,76,69,89,39,79,34,61
8,14,26,53,88,24,22,26,88
10,14,47,78,68,18,91,94,48
12,14,91,46,68,71,82,96,21
13,14,22,60,28,66,22,92,39
15,14,73,58,70,31,34,71,65
17,14,81,17,51,29,73,67,20
19,14,61,64,46,55,41,40,37
20,14,39,16,38,79,57,28,49
21,14,47,67,45,46,21,50,40
24,14,76,80,84,41,87,81,24
8,15,21,19,82,23,85,49,55
9,15,79,55,82,81,28,56,68
10,15,46,84,70,85,63,75,70
11,15,50,94,17,63,95,44,84
9,16,76,48,67,25,75,80,76
15,16,22,22,41,80,45,23,61
18,17,53,99,84,80,11,98,43
18,19,98,76,37,65,36,82,82
20,19,80,86,98,59,13,65,24
23,19,66,41,50,19,31,32,20
8,21,43,99,21,98,17,52,67
19,21,39,38,11,19,30,61,91
22,21,27,66,51,11,89,99,74
23,21,62,99,18,99,17,47,51
22,23,77,88,78,14,91,99,57
0,24,50,62,38,97,44,72,91
1,24,55,89,28,75,11,24,56
2,24,75,46,17,74,34,66,64
3,24,56,85,78,49,34,73,81
8,24,91,78,54,83,50,34,20
source,destination
14,17
lower_bound,upperbound
174.4,261.6
169.6,212
188.8,176.4
0,104.4
0,234
0,212.4
included_node(s)
20
