link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
12,14,70,49,91,44,71,50,78
10,14,29,46,29,34,86,58,57
48,14,18,34,81,21,61,31,33
29,12,45,99,83,73,45,34,75
0,29,91,24,88,29,61,32,68
28,29,58,81,62,38,57,32,77
35,10,64,49,11,17,95,65,84
44,10,97,75,83,41,54,16,18
25,10,95,69,13,54,48,41,23
48,0,67,96,17,35,56,48,82
46,0,92,31,16,70,28,55,53
4,35,19,64,68,86,49,55,39
39,35,19,91,84,84,55,45,12
44,28,63,61,56,45,61,69,85
16,28,27,23,68,53,47,66,47
23,28,19,80,53,88,11,64,77
46,28,84,74,22,47,97,52,82
4,44,73,56,56,60,98,75,69
19,44,67,58,20,38,83,86,15
38,48,60,38,45,97,67,13,39
36,48,72,99,63,53,44,28,54
31,3,42,56,46,88,53,49,34
11,3,99,43,98,23,45,36,17
43,3,45,43,30,45,89,36,19
32,3,47,47,81,25,35,58,63
20,3,11,11,29,61,14,78,77
11,31,90,34,38,82,79,23,45
13,31,30,49,44,43,11,24,63
32,31,46,18,74,84,74,63,95
2,31,43,49,27,42,45,59,37
13,11,13,34,16,38,84,55,15
8,11,16,20,27,80,45,65,73
8,13,62,85,98,66,83,17,46
25,13,22,58,87,11,45,76,91
49,13,51,19,62,53,43,51,48
2,8,16,99,48,86,44,92,15
32,43,32,91,12,92,54,99,30
20,43,67,20,63,23,38,17,84
21,43,13,75,32,79,89,98,75
27,43,27,61,15,98,54,92,43
5,32,87,17,70,48,46,17,28
27,21,57,96,90,49,69,15,80
22,21,88,77,35,84,93,10,34
5,21,96,60,16,32,91,14,31
38,6,20,20,47,84,30,37,65
7,6,15,53,93,37,40,66,33
22,6,16,40,59,21,92,30,60
15,27,94,46,21,84,27,79,99
36,38,40,99,12,50,38,93,92
39,38,35,51,32,11,37,16,27
7,15,54,75,18,81,84,83,38
4,22,65,99,27,55,72,22,98
5,22,29,97,68,52,43,18,52
39,22,16,18,16,94,81,71,97
5,4,10,94,48,90,23,10,18
25,5,66,97,11,67,68,28,15
19,25,69,71,36,17,86,12,75
18,25,53,28,76,35,93,75,15
9,16,48,46,97,62,31,94,30
19,16,15,41,62,53,60,65,70
18,16,86,29,56,29,90,34,42
33,9,52,70,13,53,15,50,88
23,9,73,51,79,33,58,30,43
24,33,11,14,16,86,73,41,78
42,23,26,81,53,54,12,78,79
24,23,76,22,41,77,53,71,43
18,19,17,66,55,34,18,85,45
42,46,48,72,55,98,56,77,61
49,18,96,33,57,90,81,40,79
24,42,20,93,39,65,59,46,21
24,45,27,85,22,97,10,32,56
47,45,83,92,79,38,27,99,97
30,45,30,89,81,66,28,51,53
49,45,15,25,47,81,55,32,81
17,24,79,52,86,23,70,14,80
1,47,40,61,28,12,10,40,19
17,30,72,68,40,71,47,50,14
26,30,47,83,97,86,25,34,41
1,34,87,98,39,86,28,20,70
26,34,64,29,94,21,75,43,59
40,34,35,86,81,87,52,93,58
37,34,93,73,48,68,64,55,61
41,34,29,28,22,66,99,17,57
49,1,54,83,11,39,85,11,62
41,40,99,43,16,24,46,26,58
2,37,82,22,22,18,75,17,27
49,37,73,42,12,59,16,29,68
41,37,30,66,94,32,84,28,33
14,12,87,93,50,95,68,82,32
14,10,21,79,10,73,89,23,50
14,48,87,97,56,75,96,45,55
12,29,73,22,96,25,20,16,26
29,0,25,11,65,26,57,25,38
29,28,60,11,87,61,16,65,50
10,35,36,79,65,63,83,10,57
10,44,41,44,18,33,59,94,69
10,25,89,75,81,90,59,89,83
0,48,95,45,72,49,91,47,92
0,46,41,69,63,31,68,33,30
35,4,85,60,38,80,92,29,24
35,39,68,38,11,14,12,83,65
28,44,58,54,37,28,30,55,77
28,16,68,52,69,70,19,29,74
28,23,88,79,82,32,82,87,71
28,46,25,69,74,10,76,77,20
44,4,99,95,17,83,42,85,54
44,19,28,93,63,34,83,27,42
48,38,87,89,67,71,23,27,76
48,36,99,40,67,69,57,19,47
3,31,67,91,54,21,63,37,12
3,11,52,19,61,44,51,61,35
3,43,86,26,48,19,99,12,96
3,32,61,26,54,41,27,44,63
3,20,33,89,35,62,12,68,45
31,11,92,61,50,10,47,65,58
31,13,22,21,23,55,25,61,74
31,32,67,12,47,70,77,38,24
31,2,65,94,14,21,15,84,78
11,13,43,77,17,39,99,41,59
11,8,54,57,50,28,97,20,99
13,8,39,35,14,85,94,60,29
13,25,82,74,26,67,58,77,15
13,49,80,31,46,43,17,79,25
8,2,54,36,32,11,51,37,57
43,32,95,37,65,80,64,94,55
43,20,16,10,63,58,53,41,34
43,21,48,71,40,34,63,31,79
43,27,84,65,46,70,24,45,91
32,5,12,97,35,97,44,78,79
21,27,41,40,56,56,31,55,61
21,22,31,25,36,50,16,65,15
21,5,32,35,88,63,99,24,96
6,38,90,46,83,36,51,10,90
6,7,51,68,96,72,78,46,41
6,22,20,67,33,85,81,11,67
27,15,15,68,58,36,79,40,10
38,36,50,25,65,18,20,31,48
38,39,90,60,48,19,64,80,99
15,7,55,57,77,59,55,57,77
22,4,11,17,32,39,29,92,85
22,5,58,51,54,82,27,70,12
22,39,97,66,90,93,58,70,64
4,5,87,85,71,10,28,95,81
5,25,19,29,61,23,97,14,27
25,19,82,56,26,55,22,91,61
25,18,42,46,73,11,27,60,92
16,9,31,40,74,31,22,27,53
16,19,50,20,25,78,90,81,76
16,18,59,40,77,22,84,97,70
9,33,26,17,43,22,74,59,13
9,23,56,29,65,96,49,53,75
33,24,88,65,44,97,79,19,51
23,42,99,43,21,41,32,88,18
23,24,36,50,64,91,19,84,52
19,18,95,54,66,61,82,46,61
46,42,56,33,77,21,48,44,25
18,49,95,13,79,49,62,25,39
42,24,95,77,58,47,45,68,40
45,24,40,88,23,43,62,80,16
45,47,59,10,67,46,58,56,18
45,30,36,69,14,55,28,75,91
45,49,61,13,12,45,31,97,74
24,17,81,88,17,99,19,32,14
47,1,78,15,50,82,32,37,82
30,17,12,33,98,18,61,95,15
30,26,91,55,92,84,91,33,72
34,1,46,35,98,70,11,67,44
34,26,14,10,25,78,33,78,53
34,40,43,15,40,55,17,13,33
34,37,91,83,75,30,18,77,73
34,41,68,69,48,17,52,70,91
1,49,91,18,47,38,87,35,35
40,41,50,11,27,75,66,99,90
37,2,17,54,71,70,32,65,34
37,49,62,89,98,13,84,40,15
37,41,32,19,95,31,79,52,51
source,destination
20,27
lower_bound,upperbound
726.4,1089.6
248,310
744,747.6
0,732
0,790.8
0,649.2
included_node(s)
43
