link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,33,70,80,33,68,65,66,74
0,34,29,54,93,53,48,39,45
1,2,18,95,85,22,77,24,84
1,3,45,16,92,56,32,18,45
1,38,91,48,89,20,54,59,83
2,1,58,84,25,45,90,32,45
2,35,64,12,52,63,71,95,43
2,36,97,41,61,46,61,73,44
3,1,95,31,68,98,26,75,54
3,4,67,32,83,30,73,25,38
3,36,92,90,98,81,74,26,89
3,37,19,51,29,29,25,61,54
4,3,19,20,86,38,77,63,46
4,11,63,15,73,44,43,33,69
4,33,27,50,28,74,65,90,93
4,35,19,90,83,27,44,49,91
4,36,84,55,43,16,21,31,30
5,6,73,11,22,27,64,80,40
5,7,67,58,42,98,66,14,92
5,37,60,97,66,87,77,28,27
6,5,72,87,93,62,79,70,38
6,7,42,19,79,48,58,32,37
6,8,99,82,97,12,23,10,84
6,11,45,42,22,63,67,83,72
6,31,47,31,11,32,14,34,43
7,5,11,50,11,15,12,71,81
7,6,90,59,79,70,17,69,23
7,21,30,26,44,90,50,21,68
8,6,46,56,75,35,98,44,86
8,10,43,88,45,16,92,19,93
9,10,13,99,69,47,98,41,31
9,12,16,36,60,93,25,62,60
9,32,62,95,38,59,40,10,90
10,8,22,56,54,21,75,55,15
10,9,51,95,52,12,48,70,58
10,11,16,95,79,32,47,21,73
10,15,32,40,69,18,27,39,12
11,4,67,59,95,27,71,28,53
11,6,13,36,93,68,98,85,18
11,10,27,61,89,16,95,67,56
12,9,87,81,40,48,44,43,81
12,13,57,78,91,11,34,11,59
12,14,88,12,19,36,21,80,10
12,15,96,91,26,76,73,58,27
13,12,20,46,26,97,29,34,28
13,15,15,14,89,62,38,70,55
13,16,16,43,61,56,17,97,70
13,29,94,91,21,13,41,56,10
14,12,40,68,12,79,54,50,47
14,17,35,91,94,16,35,63,25
14,27,54,50,77,53,70,36,28
15,10,65,17,57,41,86,72,75
15,12,29,62,35,55,84,85,52
15,13,16,32,74,55,45,36,64
15,31,10,49,31,57,53,18,99
16,13,66,46,36,39,88,19,85
16,20,69,34,37,22,47,59,46
16,23,53,99,10,79,60,39,75
16,31,48,24,71,81,38,82,16
17,14,15,81,65,47,97,93,84
17,18,86,49,97,86,53,10,68
17,28,52,75,40,28,88,23,89
17,29,73,69,25,40,23,55,96
18,17,11,96,35,97,45,11,20
18,22,26,31,46,39,25,31,57
18,26,76,64,68,94,61,78,16
18,27,17,91,67,81,82,22,83
19,22,48,61,68,48,43,22,59
19,27,96,23,25,22,84,96,59
20,16,20,80,60,11,42,97,91
20,23,27,74,57,16,38,41,68
20,25,83,56,17,22,80,91,92
20,30,30,58,51,12,66,61,12
21,7,15,38,66,94,11,21,30
21,23,79,99,85,50,53,49,19
21,24,40,56,29,10,86,47,82
21,31,72,43,56,56,92,43,76
22,18,47,43,46,96,23,46,42
22,19,87,47,40,65,79,55,83
23,16,64,11,20,87,98,45,23
23,20,35,34,40,65,48,99,57
23,21,93,49,17,18,49,82,63
23,30,29,18,29,81,84,18,51
24,21,54,49,65,72,32,84,99
24,30,99,34,43,63,84,70,27
25,20,82,20,50,38,37,78,12
25,26,73,85,54,11,21,55,47
25,28,30,58,33,37,84,30,25
26,18,87,19,13,69,50,17,77
26,25,21,99,77,82,11,38,15
27,14,87,91,88,74,81,75,99
27,18,73,20,10,17,55,70,97
27,19,25,75,69,63,52,13,94
28,17,60,61,13,67,94,31,58
28,25,36,17,88,67,90,71,17
29,13,41,96,15,54,67,86,51
29,17,89,77,33,61,17,61,64
30,20,95,60,55,48,35,45,53
30,23,41,20,35,54,62,61,63
30,24,85,53,10,35,53,57,24
31,6,68,40,15,50,29,95,44
31,15,58,46,83,23,53,54,31
31,16,68,99,69,47,33,48,16
31,21,88,51,18,14,86,56,99
32,9,25,75,11,17,54,28,51
32,33,99,99,54,50,77,49,78
33,0,28,97,89,14,34,55,81
33,4,87,18,19,26,98,61,79
33,32,99,94,91,46,90,47,20
34,0,67,97,29,32,65,11,64
34,35,52,71,81,65,97,97,55
35,2,86,28,83,63,38,98,29
35,4,61,46,88,40,66,83,27
35,34,33,41,62,46,81,67,58
36,2,92,29,11,35,23,44,28
36,3,22,70,83,56,12,53,97
36,4,67,51,13,36,71,45,22
37,3,65,14,17,88,86,89,27
37,5,43,81,16,83,86,35,22
37,38,54,22,68,96,21,14,90
38,1,39,66,84,33,87,79,84
38,37,82,72,56,58,68,11,74
source,destination
4,1
lower_bound,upperbound
692.8,1039.2
439.2,549
656,986.4
0,982.8
0,804
0,931.2
included_node(s)
12
