link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
20,22,70,31,43,32,40,43,47
4,17,29,32,22,15,75,11,25
10,26,18,90,42,70,48,80,28
13,27,45,51,66,90,47,58,75
8,19,91,20,93,35,27,34,52
5,29,58,15,79,16,71,70,64
7,17,64,50,97,47,98,97,99
7,27,97,90,22,93,95,56,85
6,24,95,55,11,59,44,50,46
6,20,67,11,11,21,34,63,75
19,26,92,58,79,12,21,36,16
19,23,19,97,44,32,73,72,84
1,11,19,87,75,18,29,85,68
1,3,63,19,45,27,38,36,89
9,12,27,82,69,68,17,18,96
3,17,19,42,60,16,41,19,20
8,20,84,31,38,48,54,59,57
27,29,73,50,54,11,35,39,16
6,7,67,59,52,36,70,82,83
9,19,60,26,79,76,86,93,59
3,11,72,56,69,97,84,10,59
10,28,42,88,95,62,45,23,91
5,12,99,99,93,56,53,55,68
20,28,45,36,89,13,88,11,92
5,7,47,95,40,79,47,31,12
4,20,11,56,91,16,60,78,30
5,21,90,95,19,53,38,22,19
14,18,30,95,26,41,97,22,82
3,5,46,40,26,55,53,96,76
15,24,43,59,89,55,88,97,42
7,24,13,36,61,57,23,41,83
9,10,16,61,21,39,45,91,23
10,17,62,81,12,22,25,61,57
2,15,22,78,94,79,61,21,63
19,22,51,12,77,81,82,49,51
4,23,16,91,57,47,43,47,99
17,18,32,46,35,86,84,43,27
4,14,67,14,74,28,42,46,12
11,23,13,43,31,40,38,55,47
8,26,27,91,36,97,80,45,25
21,23,87,68,37,39,66,99,77
15,23,57,91,10,94,11,82,15
5,11,88,50,71,81,53,18,99
5,8,96,17,65,48,86,84,97
11,13,20,62,97,22,92,70,94
9,20,15,32,40,11,23,78,58
16,28,16,49,25,16,79,55,17
14,20,94,46,35,22,98,30,51
8,9,40,34,46,12,48,17,64
24,29,35,99,68,94,49,38,53
17,27,54,24,67,50,84,75,63
5,6,65,81,68,10,32,70,24
2,3,29,49,25,56,84,13,44
18,24,16,75,60,96,37,31,31
4,5,10,69,57,65,21,71,16
16,24,66,96,17,87,84,86,99
6,8,69,31,51,65,50,61,51
20,25,53,64,66,18,11,45,78
6,17,48,91,85,81,81,61,81
0,13,15,61,29,72,55,57,79
13,15,86,23,56,63,52,95,20
13,18,52,80,46,38,94,54,64
9,29,73,74,40,11,90,48,55
4,28,11,56,20,37,67,56,29
1,13,26,58,40,69,17,28,27
22,20,76,38,17,82,35,49,58
17,4,17,99,29,74,62,55,28
26,10,48,56,65,17,53,61,97
27,13,96,43,43,63,29,47,22
19,8,20,43,50,67,53,11,27
29,5,27,47,54,67,33,97,22
17,7,83,11,33,54,86,98,90
27,7,30,34,13,61,54,83,84
24,6,15,49,77,48,77,67,74
20,6,79,18,88,54,34,44,49
26,19,40,49,10,35,98,53,79
23,19,72,34,69,50,90,45,32
11,1,47,20,13,23,65,89,19
3,1,87,85,88,47,97,35,82
12,9,64,58,15,14,38,14,48
17,3,35,19,33,17,66,79,62
20,8,93,99,55,50,81,11,45
29,27,29,91,35,14,23,74,62
7,6,54,20,10,26,12,45,58
19,9,99,75,15,46,71,84,28
11,3,82,61,83,32,86,45,31
28,10,73,17,69,65,86,83,19
12,5,30,96,18,63,21,45,32
28,20,87,77,11,40,87,43,61
7,5,21,60,54,46,68,44,91
20,4,87,20,89,35,66,54,11
21,5,73,53,19,56,39,38,33
18,14,25,40,91,36,24,89,17
5,3,60,46,29,88,18,54,18
24,15,36,99,81,83,59,46,52
24,7,41,51,83,96,32,69,87
10,9,89,75,88,33,95,93,66
17,10,95,99,62,58,73,91,32
15,2,41,97,11,65,75,30,84
22,19,85,18,83,48,25,40,79
23,4,68,94,13,77,26,92,50
18,17,58,97,17,32,61,27,58
14,4,68,71,16,54,63,38,31
23,11,88,28,68,90,33,37,34
26,8,25,46,84,71,90,84,32
23,21,99,41,56,61,49,72,32
23,15,28,29,68,26,31,43,65
11,5,87,70,53,73,80,81,16
8,5,99,51,22,74,14,23,41
13,11,67,14,56,25,28,68,48
20,9,52,81,20,77,70,86,55
28,16,86,22,45,43,32,93,55
20,14,61,66,63,65,10,31,45
9,8,33,72,46,44,83,60,69
29,24,92,33,98,21,34,90,66
27,17,22,93,30,64,71,15,64
6,5,67,85,81,66,69,58,52
3,2,65,92,29,77,21,73,75
24,18,43,89,38,79,44,12,86
5,4,54,25,44,58,19,53,13
24,16,39,52,74,23,41,18,28
8,6,82,61,27,67,62,56,49
25,20,80,68,16,14,10,81,36
17,6,54,83,27,12,55,59,36
13,0,95,98,98,17,70,10,58
15,13,16,29,87,50,21,27,78
18,13,48,86,62,98,39,28,23
29,9,84,73,48,92,28,55,24
28,4,12,28,12,98,85,70,63
13,1,41,83,63,25,67,10,59
source,destination
5,24
lower_bound,upperbound
500.8,751.2
124.8,156
436,412.8
0,494.4
0,598.8
0,384
included_node(s)
13
