link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,1,70,68,18,25,36,23,24
5,4,29,88,49,35,76,67,18
12,11,18,25,34,46,97,14,59
23,26,45,99,20,68,62,12,32
26,23,91,28,85,67,56,17,95
5,6,58,87,58,68,13,50,73
6,5,64,99,19,25,79,98,75
6,7,97,67,99,60,16,92,25
7,6,95,52,91,57,53,98,26
7,8,67,86,20,17,41,25,61
8,7,92,61,75,51,55,40,63
8,9,19,33,61,66,55,75,33
9,8,19,92,17,85,57,48,90
8,11,63,22,96,29,39,47,49
1,0,27,67,77,56,22,27,31
11,8,19,65,60,46,79,71,80
9,11,84,43,20,40,81,98,14
11,9,73,54,53,20,47,95,28
10,11,67,39,40,40,86,44,70
11,10,60,82,46,17,28,34,32
9,10,72,80,99,29,40,21,10
10,9,42,54,51,65,97,73,83
10,25,99,95,75,43,39,29,34
25,10,45,16,99,50,94,38,71
24,25,47,48,97,54,81,17,69
1,2,11,84,18,33,48,41,21
25,24,90,12,94,13,22,54,44
22,24,30,41,97,77,11,35,19
24,22,46,31,71,88,16,70,41
23,24,43,32,28,10,22,86,62
24,23,13,90,46,69,12,84,10
22,23,16,51,41,13,94,45,55
23,22,62,20,29,88,50,53,70
21,23,22,15,70,15,10,88,21
23,21,51,50,51,33,56,47,39
22,26,16,90,14,55,96,60,28
2,1,32,55,81,35,65,38,85
26,22,67,11,22,10,87,97,67
21,22,13,58,66,15,65,53,43
22,21,27,97,72,83,18,88,11
20,21,87,87,33,69,81,23,80
21,20,57,19,93,18,72,45,58
0,20,88,82,85,11,63,25,34
20,0,96,42,92,54,38,61,70
19,20,20,31,89,89,11,82,97
20,19,15,50,25,19,37,43,56
0,19,16,59,52,91,69,84,50
2,3,94,26,61,29,82,42,63
19,0,40,56,68,81,74,38,36
19,21,35,88,83,83,17,80,72
21,19,54,99,98,88,63,66,85
1,19,65,36,29,62,67,11,36
19,1,29,95,86,11,67,53,18
19,26,16,56,73,83,54,86,19
26,19,10,95,28,13,61,92,59
21,26,66,95,83,17,48,23,39
26,21,69,40,43,16,54,79,82
18,19,53,59,22,68,35,98,93
3,2,48,36,42,84,50,48,10
19,18,15,61,66,56,23,49,23
18,26,86,81,93,68,47,84,55
26,18,52,78,79,53,14,32,11
3,18,73,12,97,22,17,84,31
18,3,11,91,22,56,50,37,78
17,18,26,46,11,20,14,21,22
18,17,76,14,11,45,26,84,22
15,18,17,43,79,63,46,50,96
18,15,48,91,44,46,32,11,97
18,23,96,68,75,98,65,81,41
3,4,20,91,45,30,63,55,91
23,18,27,50,69,81,40,52,61
15,23,83,17,60,29,46,94,21
23,15,30,62,38,38,35,90,49
15,25,15,32,54,44,56,67,47
25,15,79,49,52,74,36,17,43
14,15,40,46,79,27,88,35,46
15,14,72,34,69,16,83,62,55
10,14,47,99,95,27,96,53,45
14,10,87,24,93,98,33,29,99
12,14,64,81,89,87,58,53,82
4,3,35,49,40,62,65,33,18
14,12,93,75,91,48,48,86,84
15,16,29,69,19,12,77,54,70
16,15,54,96,26,63,32,77,78
15,17,99,31,26,32,54,34,55
17,15,82,64,89,15,90,98,30
16,17,73,91,61,70,71,90,17
17,16,30,61,21,90,61,65,38
4,17,87,23,12,35,26,97,75
17,4,21,80,94,16,73,38,70
13,16,87,74,77,47,74,66,13
4,5,73,56,57,93,25,81,31
16,13,25,58,35,59,77,23,71
4,13,60,38,74,21,43,12,86
13,4,36,99,31,12,65,71,61
5,13,41,56,36,32,44,86,45
13,5,89,43,37,18,21,86,61
6,13,95,43,10,27,64,21,57
13,6,41,47,71,68,66,87,95
12,16,85,11,65,16,77,68,54
16,12,68,34,97,48,79,66,48
11,12,58,49,40,11,58,39,56
source,destination
17,12
lower_bound,upperbound
472.8,709.2
293.6,367
311.2,466.8
0,458.4
0,476.4
0,495.6
included_node(s)
18
