link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,22,70,36,56,35,41,59,93
2,20,29,61,46,56,62,91,55
2,44,18,81,40,36,10,68,17
5,31,45,78,20,88,55,92,11
5,39,91,12,40,83,70,12,26
6,25,58,91,17,96,21,30,17
7,22,64,46,29,33,39,19,29
7,37,97,14,65,58,28,82,28
7,41,95,43,43,65,85,76,82
9,18,67,91,50,48,67,42,23
10,26,92,68,54,77,43,83,45
10,36,19,91,33,32,11,23,16
11,49,19,50,13,54,80,57,25
12,4,63,17,77,90,58,63,65
12,9,27,62,88,71,34,51,10
13,3,19,32,10,61,70,99,94
13,15,84,49,69,26,97,27,89
14,38,73,46,13,73,56,12,47
14,52,67,34,88,74,50,47,33
15,39,60,99,15,25,63,25,29
17,6,72,24,33,77,36,77,83
17,48,42,81,55,43,72,15,55
19,11,99,49,35,65,85,99,29
19,42,45,75,10,44,36,97,87
20,50,47,69,15,21,18,94,77
21,43,11,96,83,64,19,58,85
22,24,90,31,69,66,59,17,27
22,25,30,64,18,77,39,51,27
22,26,46,91,11,79,82,64,19
22,27,43,61,54,58,93,53,37
23,22,13,23,89,23,10,63,61
23,24,16,80,19,67,23,24,12
24,25,62,74,91,14,55,44,44
26,25,22,56,29,12,11,31,68
26,27,51,58,81,17,31,16,65
28,24,16,38,83,50,78,99,61
28,25,32,99,88,98,22,51,38
29,25,67,56,62,92,22,78,84
30,46,13,43,11,98,96,81,41
30,52,27,43,83,25,97,79,20
31,8,87,47,13,40,41,20,60
32,40,57,11,17,75,91,64,77
33,16,88,34,16,48,61,55,79
34,22,96,49,68,47,21,29,37
34,40,20,18,84,27,49,27,94
35,4,15,49,56,71,47,58,41
35,9,16,34,68,98,43,28,31
35,12,94,20,53,95,46,97,45
35,25,40,85,22,44,55,22,78
36,18,35,58,56,34,45,27,55
38,47,54,19,20,21,99,22,65
40,22,65,99,45,73,82,90,24
41,37,29,91,63,29,18,84,10
41,39,16,20,46,38,84,74,46
42,50,10,75,98,17,70,49,11
43,1,66,61,30,41,78,79,40
45,0,69,17,81,54,55,32,31
45,25,53,96,29,35,30,19,80
46,19,48,77,38,70,17,82,57
46,22,15,60,44,86,38,48,92
46,44,86,20,74,84,75,62,70
46,47,52,53,27,45,70,45,70
48,16,73,40,16,53,13,62,95
48,25,11,46,27,88,31,58,14
49,1,26,99,98,47,71,28,91
49,31,76,51,87,60,86,31,60
51,3,17,75,62,38,61,19,27
51,20,48,99,48,97,45,32,81
51,21,96,97,12,53,61,61,97
51,25,20,18,63,88,57,91,59
51,29,27,94,32,23,95,11,53
51,49,83,97,15,45,54,33,19
53,9,30,71,70,25,48,17,88
53,40,15,28,90,61,56,18,84
26,53,79,46,35,82,28,52,46
32,7,40,41,16,43,49,87,44
37,39,72,29,47,84,55,66,25
39,31,47,70,93,42,61,32,68
21,13,87,51,59,38,47,84,80
33,20,64,14,21,80,11,79,56
22,0,35,81,12,66,97,50,75
20,2,93,22,32,11,98,58,97
44,2,29,66,18,53,83,31,32
31,5,54,72,27,86,67,34,37
39,5,99,33,68,92,44,32,95
25,6,82,93,16,23,53,32,33
22,7,73,85,48,79,45,65,67
37,7,30,92,11,98,89,16,78
41,7,87,89,36,48,35,41,13
18,9,21,25,76,49,14,48,77
26,10,87,52,97,84,79,55,70
36,10,73,61,62,32,11,55,35
49,11,25,68,56,84,74,45,99
4,12,60,83,13,37,45,69,65
9,12,36,98,79,21,84,66,40
3,13,41,29,16,84,45,64,52
15,13,89,86,53,50,83,52,78
38,14,95,73,41,11,45,75,57
52,14,41,28,55,81,43,86,33
39,15,85,83,55,55,44,13,75
6,17,68,43,57,52,54,28,68
48,17,58,22,39,94,38,49,77
11,19,68,42,22,90,89,36,84
42,19,88,66,79,67,54,36,18
50,20,25,93,81,17,46,58,23
43,21,99,79,47,35,69,78,82
24,22,28,97,86,62,93,23,53
25,22,87,22,28,53,91,24,39
26,22,99,11,40,29,30,63,12
27,22,67,11,97,53,40,59,85
22,23,52,79,39,33,92,55,47
24,23,86,44,94,86,27,65,77
25,24,61,75,81,54,38,17,82
25,26,33,45,48,77,37,76,69
27,26,92,69,22,34,84,51,15
24,28,22,60,11,98,72,92,39
25,28,67,38,16,90,43,99,54
25,29,65,54,22,65,81,17,34
46,30,43,52,12,97,23,98,17
52,30,54,79,94,38,68,92,19
8,31,39,69,50,66,86,17,63
40,32,82,95,10,81,93,15,77
16,33,80,93,56,23,31,10,45
22,34,54,89,96,12,60,14,63
40,34,95,40,65,71,90,37,95
4,35,16,91,87,86,15,66,37
9,35,48,19,65,86,58,30,15
12,35,84,26,18,21,73,79,73
25,35,12,26,81,87,12,93,46
18,36,41,89,72,68,53,16,91
47,38,31,61,63,66,18,83,48
22,40,32,21,38,39,56,22,15
37,41,90,12,11,24,81,18,30
39,41,51,94,37,18,59,71,84
50,42,20,77,69,59,10,10,75
1,43,15,57,82,32,27,28,43
0,45,50,35,74,95,28,12,28
25,45,90,74,17,73,55,75,80
19,46,55,31,63,75,70,94,34
22,46,11,36,67,25,10,65,31
44,46,58,37,67,26,47,34,65
47,46,97,10,54,61,25,50,33
16,48,87,71,61,63,28,30,60
25,48,19,65,48,33,75,41,99
1,49,82,97,54,90,52,78,92
31,49,42,40,35,49,64,71,27
3,51,31,25,50,31,99,85,38
20,51,50,35,23,80,85,77,98
21,51,59,46,47,14,46,40,52
25,51,26,68,14,28,75,46,97
29,51,56,67,17,70,16,32,18
49,51,88,68,50,32,84,99,15
9,53,99,25,14,10,68,51,75
40,53,36,60,26,83,89,32,15
53,26,95,57,46,34,96,14,30
7,32,56,17,32,71,20,40,70
39,37,95,51,65,69,57,50,42
31,39,95,66,63,21,16,34,88
13,21,40,85,40,44,83,20,43
20,33,59,29,46,19,59,43,78
source,destination
14,42
lower_bound,upperbound
246.4,369.6
184.8,231
259.2,388.8
0,320.4
0,478.8
0,284.4
included_node(s)
46
