link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,3,35,54,26,26,68,34,25
0,7,15,46,53,76,55,39,92
1,3,40,92,46,74,38,58,11
1,6,82,64,99,49,56,47,73
1,13,96,11,48,78,30,18,71
1,18,92,19,76,60,64,94,72
1,19,90,88,13,52,92,28,41
1,22,79,88,25,95,32,54,48
1,31,43,68,30,23,93,55,36
2,3,41,72,66,66,39,69,82
2,22,46,73,68,72,86,50,42
3,7,48,46,41,85,65,66,57
3,22,10,99,64,45,52,51,21
3,23,28,86,55,59,23,73,63
4,5,20,64,36,13,58,69,43
4,7,90,89,21,41,85,82,34
5,8,50,81,20,72,35,48,91
5,17,76,36,55,94,75,71,12
5,11,68,60,16,18,30,58,50
6,7,36,91,87,39,47,22,19
7,15,54,30,18,63,82,10,77
8,9,35,99,60,48,53,55,58
9,17,19,26,97,45,57,50,19
10,31,13,62,30,77,39,70,97
11,15,31,46,65,33,74,85,83
12,31,30,24,68,38,17,90,35
14,16,23,82,27,95,15,58,56
15,17,83,29,25,37,67,46,35
15,20,42,23,78,13,25,41,24
15,21,47,98,21,48,71,45,54
16,17,46,76,60,99,98,27,18
22,27,67,67,56,29,45,66,91
22,26,14,96,65,76,78,74,46
23,26,38,30,58,73,36,75,19
24,26,49,32,56,30,54,65,26
25,26,11,97,65,16,60,45,69
27,28,30,39,35,33,91,69,43
27,29,91,72,21,72,46,83,57
29,30,80,86,80,63,82,51,69
29,31,25,97,55,99,46,76,69
30,31,33,44,77,90,37,53,91
3,0,27,21,10,87,68,92,11
7,0,63,44,48,84,64,43,78
3,1,85,96,93,87,41,94,13
6,1,45,98,56,47,43,27,26
13,1,73,60,74,50,22,12,21
18,1,37,85,66,29,27,38,89
19,1,47,41,28,19,69,65,69
22,1,11,86,81,96,49,35,76
31,1,95,97,72,89,47,87,39
3,2,73,85,15,48,68,78,79
22,2,55,17,51,59,83,35,15
7,3,82,97,33,89,52,94,49
22,3,83,11,13,45,77,28,88
23,3,58,31,33,88,23,96,12
5,4,13,95,50,23,79,79,84
7,4,65,78,33,36,46,71,23
8,5,33,13,50,84,28,16,21
17,5,87,24,65,12,46,25,19
11,5,59,91,63,39,61,12,89
7,6,32,11,24,84,51,51,65
15,7,33,53,77,11,44,94,27
9,8,26,21,20,20,59,30,81
17,9,37,97,79,23,81,77,64
31,10,23,35,35,37,32,69,88
15,11,28,95,28,92,13,86,59
31,12,38,95,44,81,41,22,33
16,14,43,65,60,22,23,38,31
17,15,19,67,39,27,49,69,17
20,15,70,43,77,45,24,64,55
21,15,20,24,67,21,22,66,53
17,16,94,63,68,17,39,22,98
27,22,87,54,77,32,44,18,18
26,22,73,20,15,58,76,99,31
26,23,41,59,62,95,70,68,63
26,24,84,14,33,69,40,35,35
26,25,98,71,41,60,50,64,95
28,27,68,45,28,24,87,59,52
29,27,83,98,14,40,99,90,94
30,29,99,57,74,56,89,89,71
31,29,63,94,53,65,35,98,43
31,30,57,45,19,41,29,30,73
source,destination
10,28
lower_bound,upperbound
240.8,361.2
137.6,206.4
197.6,296.4
0,416.4
0,417.6
0,453.6
included_node(s)
29
