link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,3,70,73,95,31,89,67,63
0,7,29,11,16,64,25,68,46
1,9,18,26,48,91,52,25,98
1,15,45,76,84,61,61,60,30
2,12,91,17,12,23,68,57,81
2,5,58,48,41,80,83,17,29
2,7,64,96,31,74,98,51,38
3,9,97,20,32,56,29,66,44
3,15,95,27,90,58,86,85,74
4,9,67,83,51,38,73,29,27
4,12,92,30,20,99,28,56,16
4,15,19,15,15,56,83,46,27
5,9,19,79,50,43,43,40,98
5,12,63,40,90,43,22,20,87
5,6,27,72,55,47,42,40,62
5,15,19,47,11,11,66,17,48
7,8,84,87,58,34,93,29,12
7,12,73,64,97,49,79,65,63
7,15,67,35,87,18,97,43,32
9,10,60,93,19,49,22,50,15
9,11,72,29,82,34,11,54,70
9,12,42,54,42,20,11,33,90
9,14,99,99,31,85,79,13,35
9,15,45,82,50,58,44,77,16
10,12,47,73,59,19,75,88,47
11,12,11,30,26,99,45,10,93
12,14,90,87,56,91,69,69,59
12,15,30,21,88,20,60,13,21
13,14,46,87,99,75,38,88,12
14,15,43,73,36,61,54,15,32
15,16,13,25,95,17,52,33,18
3,0,16,60,56,96,79,55,27
7,0,62,36,95,77,69,35,68
9,1,22,41,95,60,95,10,16
15,1,51,89,40,20,93,15,48
12,2,16,95,59,53,89,83,11
5,2,32,41,36,40,40,69,36
7,2,67,85,61,46,91,18,76
9,3,13,68,81,99,19,11,97
15,3,27,58,78,51,26,54,62
9,4,87,68,12,75,26,89,56
12,4,57,88,91,99,89,19,13
15,4,88,25,46,97,61,91,79
9,5,96,99,14,18,21,29,16
12,5,20,28,43,94,12,81,53
6,5,15,87,91,97,94,83,41
15,5,16,99,68,71,77,88,55
8,7,94,67,91,28,57,62,55
12,7,40,52,50,46,35,11,57
15,7,35,86,17,41,74,83,39
10,9,54,61,62,29,31,13,22
11,9,65,33,32,70,36,17,79
12,9,29,92,49,51,37,16,81
14,9,16,22,46,14,10,68,47
15,9,10,67,34,81,71,84,86
12,10,66,65,99,22,65,56,28
12,11,69,43,24,66,97,68,40
14,12,53,54,81,72,40,53,97
15,12,48,39,49,33,25,22,39
14,13,15,82,75,93,35,56,94
15,14,86,80,69,85,46,20,81
16,15,52,54,96,92,68,45,48
source,destination
2,13
lower_bound,upperbound
259.2,388.8
223.2,334.8
201.6,302.4
0,333.6
0,234
0,312
included_node(s)
14
