link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,1,70,79,59,40,35,20,65
0,2,29,40,26,46,74,45,87
0,3,18,72,56,99,31,63,65
0,12,45,47,88,51,36,46,18
1,3,91,87,99,75,37,98,81
1,6,58,64,36,99,10,30,72
1,7,64,35,95,97,71,81,63
2,12,97,93,56,18,65,29,38
2,23,95,29,95,94,97,38,11
3,23,67,54,95,97,40,44,37
4,5,92,99,40,71,25,74,69
4,8,19,82,59,28,35,27,82
4,9,19,73,36,46,46,16,74
4,13,63,30,61,41,68,27,17
4,19,27,87,81,29,67,98,63
4,23,19,21,78,70,68,87,67
5,9,84,87,12,51,25,62,67
8,9,73,73,91,14,60,48,54
9,12,67,25,46,81,57,12,61
9,13,60,60,14,22,17,63,48
9,18,72,36,43,66,51,32,54
9,21,42,41,91,72,66,15,35
10,11,99,89,68,33,85,70,50
10,12,45,95,91,93,29,90,23
11,12,47,41,50,85,56,35,47
11,22,11,85,17,92,46,16,14
12,19,90,68,62,89,40,47,17
12,21,30,58,32,25,20,93,50
12,23,46,68,49,52,40,59,14
13,16,43,88,46,61,17,21,26
13,17,13,25,34,68,29,12,46
14,20,16,99,99,83,65,32,32
14,23,62,28,24,98,43,18,65
15,23,22,87,81,29,50,27,63
19,20,51,99,49,86,54,68,40
20,21,16,67,75,73,33,16,46
20,23,32,52,69,28,13,48,35
1,0,67,86,96,83,77,11,56
2,0,13,61,31,43,88,36,36
3,0,27,33,64,22,10,76,88
12,0,87,92,91,42,69,97,83
3,1,57,22,61,66,13,62,96
6,1,88,67,23,93,88,56,33
7,1,96,65,80,79,15,13,58
12,2,20,43,74,97,33,79,65
23,2,15,54,56,22,55,16,48
23,3,16,39,58,11,35,53,77
5,4,94,82,38,11,10,41,32
8,4,40,80,99,79,15,55,54
9,4,35,54,56,44,83,55,90
13,4,54,95,43,75,69,57,71
19,4,65,16,43,45,18,39,61
23,4,29,48,47,69,11,22,26
9,5,16,84,11,60,54,79,73
9,8,10,12,34,38,89,81,74
12,9,66,41,49,54,19,47,25
13,9,69,31,18,52,91,86,77
18,9,53,32,49,79,29,28,43
21,9,48,90,34,69,81,40,65
11,10,15,51,20,95,83,97,44
12,10,86,20,85,93,88,39,21
12,11,52,15,58,89,62,94,64
22,11,73,50,19,40,11,81,66
19,12,11,90,99,91,83,48,77
21,12,26,55,91,19,13,22,79
23,12,76,11,20,26,17,11,58
16,13,17,58,75,26,16,16,23
17,13,48,97,61,89,68,22,67
20,14,96,87,17,61,84,12,14
23,14,20,19,96,21,56,94,12
23,15,27,82,77,12,68,50,17
20,19,83,42,60,94,53,10,50
21,20,30,31,20,77,22,56,98
23,20,15,50,53,57,56,96,92
source,destination
20,3
lower_bound,upperbound
290.4,435.6
262.4,393.6
167.2,250.8
0,279.6
0,303.6
0,322.8
included_node(s)
2
