link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,3,76,72,35,45,55,19,74
0,7,95,62,53,53,37,11,25
1,17,28,99,76,79,26,52,95
1,5,70,59,25,85,70,68,27
1,6,25,44,16,85,19,18,43
2,9,50,67,88,43,28,20,30
2,3,22,18,58,28,90,71,61
2,4,56,57,39,81,69,67,12
4,8,11,16,33,17,18,12,83
4,5,14,45,68,58,63,61,69
4,6,68,66,53,44,76,22,20
5,15,14,44,37,28,52,57,55
6,16,73,65,61,27,47,68,41
6,7,29,11,80,92,99,40,70
8,12,32,11,66,78,31,57,37
9,17,91,81,54,40,36,11,13
10,11,34,77,17,78,12,36,72
11,17,65,37,92,91,99,79,39
11,12,41,23,43,20,10,54,46
12,13,85,42,63,52,10,50,47
13,14,35,38,50,25,96,53,13
14,17,82,63,41,82,55,28,99
14,15,68,60,63,50,16,35,24
15,16,58,42,81,68,13,81,52
3,0,23,33,44,97,59,16,73
7,0,87,45,22,38,91,62,10
17,1,75,20,39,73,90,18,59
5,1,57,61,62,17,54,56,40
6,1,38,52,20,81,93,20,95
9,2,68,41,17,83,54,19,29
3,2,44,75,96,33,28,98,32
4,2,14,76,98,79,10,82,69
8,4,26,93,60,37,81,72,44
5,4,24,36,34,13,44,12,27
6,4,36,36,23,26,32,50,49
15,5,41,37,28,74,53,81,40
16,6,65,94,74,98,24,23,10
7,6,48,96,71,97,22,73,10
12,8,50,46,20,55,22,10,94
17,9,28,10,98,15,33,77,45
11,10,14,41,91,55,38,87,31
17,11,18,13,25,51,88,74,14
12,11,32,97,35,33,75,34,52
13,12,77,96,52,34,75,17,62
14,13,38,66,57,43,87,14,74
17,14,17,98,53,11,58,43,42
15,14,31,78,58,64,11,18,28
16,15,62,43,64,73,52,92,98
source,destination
13,5
lower_bound,upperbound
377.6,566.4
381.6,572.4
516.8,775.2
0,730.8
0,523.2
0,572.4
included_node(s)
3
