link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,11,86,59,52,35,67,91,35
0,3,64,21,82,92,62,64,51
1,2,22,43,85,30,45,45,41
1,6,99,33,78,91,36,32,23
2,10,91,17,58,99,41,54,67
2,11,83,56,34,98,13,74,67
2,14,62,58,25,34,80,96,97
3,7,81,84,70,76,48,31,66
4,13,97,29,40,69,40,96,51
4,6,73,19,32,89,24,47,28
4,5,77,90,34,77,71,30,86
5,7,31,22,20,12,31,50,38
6,13,86,18,48,55,27,15,54
6,14,57,16,43,74,29,11,69
6,7,25,83,36,71,83,39,53
8,16,54,61,76,49,17,80,22
8,12,70,92,95,28,96,78,82
8,15,98,14,93,33,31,49,70
9,16,55,21,26,59,57,13,46
9,14,27,57,67,39,64,71,67
9,15,55,80,93,93,61,20,59
10,19,98,70,89,21,69,19,78
12,13,67,42,71,74,58,75,27
13,16,32,40,32,85,39,73,21
13,14,20,92,53,78,22,75,48
14,15,37,54,29,53,96,22,52
14,17,84,36,50,79,85,73,98
15,16,27,41,11,98,62,55,63
16,17,35,91,31,52,86,60,88
17,18,73,95,63,36,30,93,78
17,19,13,97,17,35,38,64,94
11,0,22,13,35,77,53,51,76
3,0,90,69,45,28,44,19,81
2,1,77,40,92,17,74,99,87
6,1,21,36,66,68,41,35,89
10,2,43,76,55,79,38,26,49
11,2,23,87,26,68,39,36,54
14,2,35,84,81,92,22,32,86
7,3,77,60,77,55,76,47,67
13,4,20,16,18,37,70,32,58
6,4,60,55,65,44,88,31,14
5,4,16,12,11,32,99,29,53
7,5,93,80,81,39,53,34,86
13,6,47,25,13,51,16,36,20
14,6,63,18,44,96,29,31,74
7,6,70,63,69,10,37,25,91
16,8,53,38,42,90,75,16,84
12,8,86,62,92,76,77,61,57
15,8,69,67,62,85,58,64,61
16,9,98,50,20,49,32,71,82
14,9,65,20,21,16,41,85,76
15,9,76,47,17,40,71,37,20
19,10,59,20,61,60,54,42,23
13,12,32,14,45,42,51,60,94
16,13,60,39,92,77,10,62,83
14,13,69,64,67,90,66,17,61
15,14,60,58,26,47,47,34,98
17,14,44,65,42,56,48,35,81
16,15,49,95,30,50,28,25,76
17,16,47,49,47,90,85,84,86
18,17,69,23,95,82,30,80,21
19,17,14,54,37,76,19,79,32
source,destination
4,10
lower_bound,upperbound
795.2,1192.8
609.6,914.4
669.6,1004.4
0,1126.8
0,1116
0,1186.8
included_node(s)
12
