link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,3,95,28,66,74,62,41,69
0,6,54,30,12,56,44,27,60
1,18,35,16,41,82,95,98,11
1,6,77,11,88,34,48,37,92
2,10,30,98,93,84,65,87,97
2,3,93,97,34,82,15,45,48
3,9,60,96,67,14,91,77,55
3,16,98,75,59,71,71,28,62
4,5,12,51,30,65,28,62,61
4,7,42,85,84,30,65,96,15
5,8,26,30,97,17,32,82,10
5,12,53,63,41,26,20,89,11
5,16,98,72,35,19,10,63,80
5,7,59,34,69,75,73,70,32
6,16,47,22,12,42,95,73,38
6,7,75,35,11,61,58,41,86
7,16,99,38,32,26,78,37,81
8,12,10,71,58,67,10,20,24
9,16,56,96,21,76,83,92,98
9,10,59,15,51,19,92,48,78
9,18,85,67,19,12,18,65,80
11,16,30,87,32,24,32,37,47
11,12,41,23,84,87,56,67,94
12,13,85,49,72,33,11,73,19
12,15,49,80,24,75,99,34,73
12,16,54,76,42,20,82,16,78
13,14,64,85,71,64,20,53,53
14,16,93,27,33,22,49,70,30
15,16,59,88,92,36,82,51,13
16,17,89,20,81,89,56,28,16
16,18,20,37,31,41,31,51,29
3,0,54,68,58,10,96,44,34
6,0,43,92,83,46,91,97,28
18,1,97,43,24,23,79,12,30
6,1,83,31,98,86,96,71,26
10,2,26,91,76,30,18,85,77
3,2,90,92,48,58,84,47,30
9,3,95,79,28,91,50,11,72
16,3,76,66,87,54,79,13,39
5,4,54,96,30,23,65,61,81
7,4,37,64,64,21,67,97,39
8,5,93,86,84,61,63,47,39
12,5,59,59,61,91,37,50,82
16,5,35,89,89,83,67,23,19
7,5,14,72,15,88,36,70,23
16,6,59,71,25,85,84,75,21
7,6,10,24,90,96,25,16,57
16,7,13,62,89,15,66,59,94
12,8,59,94,73,53,85,86,87
16,9,19,20,63,35,61,60,55
10,9,25,67,93,24,59,97,34
18,9,44,61,45,17,55,13,67
16,11,91,59,47,49,83,49,54
12,11,56,81,77,63,67,64,80
13,12,29,62,69,41,18,39,38
15,12,92,39,61,76,44,73,27
16,12,11,57,71,74,49,32,58
14,13,46,47,40,57,28,82,44
16,14,85,19,84,88,46,95,10
16,15,22,98,63,10,83,35,61
17,16,35,19,73,46,74,62,12
18,16,57,46,67,30,29,47,29
source,destination
11,16
lower_bound,upperbound
240.8,361.2
232.8,349.2
205.6,308.4
0,361.2
0,373.2
0,423.6
included_node(s)
5
