link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,1,37,91,98,42,12,88,41
2,6,79,85,84,17,99,69,75
2,8,69,27,75,62,96,90,80
2,9,41,62,31,88,29,66,77
4,3,75,26,16,84,93,49,77
5,3,43,47,77,19,74,47,94
5,4,96,40,26,93,84,40,48
5,6,47,24,65,22,25,44,45
5,7,70,43,82,27,96,11,40
7,6,53,33,98,73,95,31,75
7,8,15,27,53,15,87,83,65
9,11,11,50,73,67,89,44,46
10,9,41,86,29,77,73,48,51
10,11,76,40,99,68,14,13,67
12,13,65,57,51,22,20,45,34
14,8,70,12,61,86,99,27,65
14,10,38,53,55,52,58,31,32
14,12,66,43,64,76,81,10,63
14,13,90,88,31,11,69,57,84
14,15,46,44,67,51,82,44,17
14,17,54,26,69,65,32,77,72
14,19,63,48,17,14,75,68,41
14,20,28,99,27,98,74,86,58
14,21,84,50,32,47,16,35,23
14,24,89,75,70,26,45,37,31
15,8,14,58,40,15,10,93,63
15,9,11,61,58,46,34,33,45
15,10,82,29,25,95,32,89,45
15,11,47,14,24,28,98,28,27
16,9,60,60,57,32,32,43,72
16,15,73,35,93,68,85,79,72
17,18,74,95,75,60,62,17,20
19,18,40,46,41,40,31,64,47
19,20,42,52,69,82,43,70,52
19,23,16,19,58,48,43,35,87
21,8,15,24,99,76,25,13,77
21,19,37,90,98,92,69,17,99
21,22,64,49,74,94,79,65,36
21,23,53,90,65,50,92,99,22
23,22,98,85,80,71,65,71,91
24,0,17,35,34,67,74,86,63
24,1,20,17,70,55,80,45,39
24,2,99,35,15,38,16,67,89
24,3,10,73,53,96,99,87,14
24,8,48,99,69,75,46,10,97
1,0,27,45,18,50,26,13,24
6,2,70,75,15,82,60,66,70
8,2,77,14,76,27,95,31,81
9,2,45,40,72,27,97,65,39
3,4,22,25,88,45,30,23,16
3,5,23,48,43,31,39,65,88
4,5,51,19,42,44,81,94,11
6,5,76,64,57,11,57,44,99
7,5,41,10,23,29,13,13,98
6,7,35,21,26,81,88,29,76
8,7,65,91,28,28,92,71,31
11,9,97,20,53,34,65,58,24
9,10,36,73,74,79,74,52,74
11,10,10,72,43,75,25,22,66
13,12,45,76,29,52,63,77,93
8,14,48,33,83,12,96,48,46
10,14,73,97,36,43,62,92,90
12,14,19,33,94,64,78,84,14
13,14,78,31,76,94,28,12,84
15,14,68,11,57,78,95,24,95
17,14,77,42,53,65,21,71,91
19,14,46,97,76,70,95,68,61
20,14,95,53,55,70,64,83,56
21,14,93,82,79,59,91,37,79
24,14,51,87,93,72,87,67,35
8,15,55,90,88,41,81,16,47
9,15,63,69,14,78,27,23,43
10,15,23,94,63,27,29,12,65
11,15,17,26,55,69,49,36,36
9,16,63,42,57,74,27,62,99
15,16,61,55,32,92,66,12,24
18,17,86,23,64,71,65,39,50
18,19,86,70,24,18,39,29,31
20,19,90,60,99,71,23,33,57
23,19,31,53,36,88,24,56,80
8,21,98,85,13,16,59,94,90
19,21,13,60,94,92,52,50,97
22,21,34,62,30,84,96,51,43
23,21,36,11,60,17,17,90,89
22,23,96,22,17,73,17,53,58
0,24,59,74,98,66,46,70,20
1,24,92,54,78,87,61,62,72
2,24,56,32,22,98,73,12,72
3,24,47,99,34,45,20,75,84
8,24,54,26,73,62,38,36,91
source,destination
19,5
lower_bound,upperbound
204.8,307.2
244.8,367.2
276,414
0,444
0,339.6
0,382.8
included_node(s)
3
