link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,2,70,30,82,17,26,13,81
0,4,29,15,42,96,89,17,48
0,9,18,79,31,77,61,16,22
0,15,45,40,50,60,21,68,11
0,19,91,72,59,20,12,84,16
1,6,58,47,26,53,94,56,22
1,13,64,87,56,40,77,68,12
1,14,97,64,88,46,57,53,94
2,6,95,35,99,99,35,22,50
2,12,67,93,36,51,74,56,10
3,4,92,29,95,75,31,20,56
3,16,19,54,56,99,36,45,96
3,20,19,99,95,97,37,63,65
4,6,63,82,95,18,10,46,87
4,7,27,73,40,94,71,98,65
4,10,19,30,59,97,65,30,18
4,12,84,87,36,71,97,81,81
4,14,73,21,61,28,40,29,72
4,18,67,87,81,46,25,38,63
5,6,60,73,78,41,35,44,38
5,12,72,25,12,29,46,74,11
5,17,42,60,91,70,68,27,37
6,13,99,36,46,51,67,16,69
6,21,45,41,14,14,68,27,82
7,12,47,89,43,81,25,98,74
8,9,11,95,91,22,60,87,17
8,19,90,41,68,66,57,62,63
9,20,30,85,91,72,17,48,67
10,21,46,68,50,33,51,12,67
11,12,43,58,17,93,66,63,54
11,14,13,68,62,85,85,32,61
14,21,16,88,32,92,29,15,48
15,21,62,25,49,89,56,70,54
16,18,22,99,46,25,46,90,35
17,21,51,28,34,52,40,35,50
18,21,16,87,99,61,20,16,23
2,0,32,99,24,68,40,47,47
4,0,67,67,81,83,17,93,14
9,0,13,52,49,98,29,59,17
15,0,27,86,75,29,65,21,50
19,0,87,61,69,86,43,12,14
6,1,57,33,96,73,50,32,26
13,1,88,92,31,28,54,18,46
14,1,96,22,64,83,33,27,32
6,2,20,67,91,43,13,68,65
12,2,15,65,61,22,77,16,63
4,3,16,43,23,42,88,48,40
16,3,94,54,80,66,10,11,46
20,3,40,39,74,93,69,36,35
6,4,35,82,56,79,13,76,56
7,4,54,80,58,97,88,97,36
10,4,65,54,38,22,15,62,88
12,4,29,95,99,11,33,56,83
14,4,16,16,56,11,55,13,96
18,4,10,48,43,79,35,79,33
6,5,66,84,43,44,10,16,58
12,5,69,12,47,75,15,53,65
17,5,53,41,11,45,83,41,48
13,6,48,31,34,69,69,55,77
21,6,15,32,49,60,18,55,32
12,7,86,90,18,38,11,57,54
9,8,52,51,49,54,54,39,90
19,8,73,20,34,52,89,22,71
20,9,11,15,20,79,19,79,61
21,10,26,50,85,69,91,81,26
12,11,76,90,58,95,29,47,73
14,11,17,55,19,93,81,86,74
21,14,48,11,99,89,83,28,25
21,15,96,58,91,40,88,40,77
18,16,20,97,20,91,62,97,43
21,17,27,87,75,19,11,39,65
21,18,83,19,61,26,83,94,44
source,destination
0,15
lower_bound,upperbound
145.6,218.4
180.8,271.2
204.8,307.2
0,295.2
0,121.2
0,294
included_node(s)
14
