link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,1,91,25,16,21,44,82,13
1,0,35,54,23,37,31,76,30
0,2,62,59,20,67,39,57,69
2,0,15,89,60,22,16,68,16
0,3,78,23,41,68,35,93,66
3,0,15,17,91,56,46,51,65
0,4,56,98,81,26,29,96,93
4,0,43,46,22,80,78,28,68
0,6,92,11,44,99,15,20,49
6,0,68,67,93,20,98,42,26
1,2,75,63,46,74,16,94,65
2,1,83,49,18,86,84,65,85
1,7,25,73,54,16,93,34,73
7,1,63,20,14,92,66,27,56
2,3,32,25,16,37,10,83,17
3,2,66,96,83,76,47,26,25
2,6,40,25,29,21,29,87,54
6,2,22,79,72,96,66,71,11
3,4,13,19,72,59,70,22,93
4,3,44,40,27,97,42,86,28
3,6,91,84,57,93,85,54,13
6,3,60,47,93,95,86,98,14
3,9,80,77,79,61,48,97,85
9,3,22,23,29,30,29,10,17
4,5,99,53,12,94,99,14,71
5,4,81,19,55,67,12,76,13
4,8,70,55,59,43,18,90,89
8,4,38,97,62,71,93,80,20
5,8,87,75,36,77,85,80,27
8,5,25,52,35,90,98,23,98
5,17,65,83,46,76,98,91,67
17,5,40,90,94,51,81,62,30
6,9,12,59,48,79,29,52,81
9,6,79,43,56,43,37,10,88
6,10,46,42,16,25,87,82,88
10,6,81,72,80,47,17,97,99
7,11,46,12,10,51,36,51,15
11,7,54,40,88,93,16,41,81
7,24,76,18,54,79,47,25,67
24,7,39,65,96,12,41,24,16
8,9,75,97,43,65,14,35,60
9,8,52,34,53,53,54,71,85
8,12,74,14,14,89,77,79,92
12,8,52,33,88,72,60,59,85
8,13,67,44,57,45,72,89,93
13,8,96,81,72,78,78,62,61
8,14,19,29,33,10,97,38,10
14,8,98,59,76,18,92,38,47
9,10,19,60,96,74,96,85,62
10,9,22,39,96,59,29,50,56
9,14,94,51,55,68,86,25,65
14,9,62,96,54,29,43,91,27
9,23,34,76,51,16,16,11,22
23,9,37,80,34,81,86,22,51
10,11,74,19,35,11,25,91,86
11,10,33,81,53,11,67,15,83
10,16,18,89,79,48,89,88,16
