link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,6,83,16,11,50,91,43,79
0,11,26,18,60,32,84,83,20
0,12,37,78,83,81,29,83,22
0,13,35,94,50,20,71,18,30
1,3,33,43,54,25,30,40,61
1,21,35,21,14,71,27,34,79
2,14,56,54,34,41,75,47,96
2,15,22,29,44,70,88,76,12
3,7,79,52,87,98,57,18,81
3,26,11,70,36,15,90,79,82
4,8,42,36,43,40,94,60,40
4,12,77,28,91,36,68,76,37
4,17,60,29,27,44,10,58,73
4,20,89,92,95,76,44,27,51
4,25,33,26,19,52,32,39,31
5,15,86,46,26,45,69,20,49
5,19,70,94,32,78,36,83,70
6,10,46,39,21,56,71,23,25
6,19,62,55,27,52,70,43,36
7,20,56,20,38,48,84,57,67
7,25,81,84,15,24,62,33,87
8,18,18,38,57,97,82,32,34
9,11,97,27,94,52,72,46,70
9,13,79,31,71,24,90,55,86
10,12,72,87,18,10,95,72,74
10,17,90,12,35,76,55,86,57
10,23,72,97,99,72,12,35,84
13,19,23,82,47,69,89,48,48
14,19,47,62,85,79,80,97,55
16,17,65,66,53,20,12,19,78
16,21,69,71,78,48,48,86,42
16,27,82,30,48,81,33,40,86
17,24,82,36,13,43,48,54,50
18,22,58,11,61,81,30,31,16
19,23,69,25,88,91,94,10,16
20,24,67,69,19,20,30,84,64
21,26,83,74,66,53,99,18,86
22,25,26,69,74,84,31,47,12
27,14,41,50,53,80,19,60,28
23,27,62,79,53,13,56,78,29
24,26,79,91,63,89,22,26,46
6,0,73,77,48,21,65,72,20
11,0,91,97,96,39,24,54,57
12,0,39,21,80,86,74,37,20
13,0,24,31,44,49,99,89,61
3,1,77,75,68,43,99,83,40
21,1,78,19,58,83,43,99,21
14,2,84,77,28,28,36,72,83
15,2,75,67,79,90,70,58,17
7,3,40,26,37,35,65,43,47
26,3,93,87,57,66,20,30,12
8,4,56,13,46,66,32,81,56
12,4,11,16,84,84,99,27,34
17,4,90,15,13,70,44,28,35
20,4,36,86,70,80,23,89,42
25,4,73,93,93,84,95,51,60
15,5,42,69,90,46,51,15,82
19,5,60,84,69,52,77,24,79
10,6,86,38,92,16,84,89,60
19,6,41,31,75,77,83,12,89
20,7,25,12,74,25,41,85,19
25,7,55,99,70,16,84,37,54
18,8,24,13,75,59,16,94,75
11,9,97,39,39,58,79,39,21
13,9,66,10,84,87,14,59,60
12,10,45,28,26,12,62,94,43
17,10,26,98,49,68,62,75,37
23,10,49,75,12,92,66,29,98
19,13,23,50,52,49,84,93,98
19,14,57,49,54,49,71,35,56
17,16,64,16,17,96,22,97,80
21,16,55,93,67,90,58,20,44
27,16,82,78,55,22,88,98,66
24,17,55,65,14,87,89,51,37
22,18,84,66,48,76,32,99,16
23,19,97,61,51,61,88,49,80
24,20,84,41,72,83,88,87,29
26,21,24,75,58,22,28,98,27
25,22,43,39,69,41,76,22,25
14,27,60,98,13,35,58,45,89
27,23,17,54,86,99,83,93,27
26,24,88,78,78,59,48,94,28
source,destination
21,25
lower_bound,upperbound
797.6,1196.4
791.2,1186.8
1061.6,1592.4
0,1411.2
0,1336.8
0,1192.8
included_node(s)
14
