link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
13,23,71,13,15,58,66,14,91
7,23,33,34,39,28,63,98,52
8,13,74,90,56,22,53,41,81
3,11,36,94,13,27,37,48,49
8,11,53,98,51,46,29,20,96
9,16,77,26,66,44,75,27,14
21,22,25,37,72,68,18,21,68
10,23,23,59,15,83,37,13,36
6,10,78,55,72,34,16,74,32
5,8,75,75,40,65,55,33,19
2,23,54,36,48,29,68,90,69
2,20,94,29,43,16,81,22,33
0,4,14,16,47,48,88,13,27
4,17,54,34,84,90,15,54,45
12,16,23,31,89,76,44,69,67
20,24,34,82,85,15,13,79,97
4,16,92,46,97,31,86,51,58
14,17,71,74,89,60,76,70,65
3,8,61,43,62,94,68,67,80
13,20,39,78,83,81,45,17,75
5,22,87,92,30,63,85,53,49
6,22,84,76,61,15,29,74,84
22,23,88,17,22,45,16,37,37
14,24,19,72,48,14,86,43,49
7,11,73,91,22,23,80,81,83
1,19,98,46,62,23,20,81,88
12,14,82,74,11,42,83,39,73
1,21,92,46,64,94,55,44,97
7,10,40,21,60,31,84,15,55
6,15,20,30,48,72,32,25,98
16,18,10,89,94,48,90,84,84
23,24,63,24,27,79,12,71,98
16,24,44,16,77,52,47,23,50
11,12,36,80,50,23,43,25,27
5,16,89,71,31,96,39,19,99
6,18,49,14,28,89,67,86,46
7,14,14,96,68,57,70,94,31
12,19,14,98,93,27,48,31,67
11,16,63,64,86,34,56,51,34
3,17,82,13,92,82,38,31,16
0,12,41,35,85,82,55,16,38
2,21,69,52,86,53,24,42,94
12,22,76,32,35,88,19,43,39
8,20,45,93,32,82,95,71,56
9,12,24,76,70,43,82,48,91
23,13,51,15,25,26,54,12,97
23,7,32,38,70,49,98,12,53
13,8,68,74,67,26,68,89,11
11,3,22,80,66,77,30,34,24
11,8,83,71,84,43,29,69,85
16,9,97,52,51,60,65,96,77
22,21,99,34,48,40,16,77,64
23,10,67,99,45,48,10,43,31
10,6,47,59,25,95,71,86,66
8,5,71,96,87,96,54,20,65
23,2,92,90,20,24,42,76,15
20,2,46,96,39,18,43,67,54
4,0,15,71,50,90,90,11,38
17,4,84,36,74,18,49,20,12
16,12,76,69,89,39,79,34,61
24,20,26,53,88,24,22,26,88
16,4,47,78,68,18,91,94,48
17,14,91,46,68,71,82,96,21
8,3,22,60,28,66,22,92,39
20,13,73,58,70,31,34,71,65
22,5,81,17,51,29,73,67,20
22,6,61,64,46,55,41,40,37
23,22,39,16,38,79,57,28,49
24,14,47,67,45,46,21,50,40
11,7,76,80,84,41,87,81,24
19,1,21,19,82,23,85,49,55
14,12,79,55,82,81,28,56,68
21,1,46,84,70,85,63,75,70
10,7,50,94,17,63,95,44,84
15,6,76,48,67,25,75,80,76
18,16,22,22,41,80,45,23,61
24,23,53,99,84,80,11,98,43
24,16,98,76,37,65,36,82,82
12,11,80,86,98,59,13,65,24
16,5,66,41,50,19,31,32,20
18,6,43,99,21,98,17,52,67
14,7,39,38,11,19,30,61,91
19,12,27,66,51,11,89,99,74
16,11,62,99,18,99,17,47,51
17,3,77,88,78,14,91,99,57
12,0,50,62,38,97,44,72,91
21,2,55,89,28,75,11,24,56
22,12,75,46,17,74,34,66,64
20,8,56,85,78,49,34,73,81
12,9,91,78,54,83,50,34,20
source,destination
14,24
lower_bound,upperbound
197.6,296.4
194.4,291.6
135.2,202.8
0,246
0,320.4
0,494.4
included_node(s)
13
