link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
19,2,70,68,18,25,36,23,24
19,3,29,88,49,35,76,67,18
19,11,18,25,34,46,97,14,59
19,14,45,99,20,68,62,12,32
16,19,91,28,85,67,56,17,95
19,21,58,87,58,68,13,50,73
19,22,64,99,19,25,79,98,75
20,9,97,67,99,60,16,92,25
22,8,95,52,91,57,53,98,26
22,13,67,86,20,17,41,25,61
22,23,92,61,75,51,55,40,63
23,13,19,33,61,66,55,75,33
1,11,19,92,17,85,57,48,90
1,14,63,22,96,29,39,47,49
2,13,27,67,77,56,22,27,31
2,14,19,65,60,46,79,71,80
3,7,84,43,20,40,81,98,14
2,4,73,54,53,20,47,95,28
4,5,67,39,40,40,86,44,70
4,14,60,82,46,17,28,34,32
5,14,72,80,99,29,40,21,10
7,21,42,54,51,65,97,73,83
9,14,99,95,75,43,39,29,34
10,14,45,16,99,50,94,38,71
14,15,47,48,97,54,81,17,69
16,0,11,84,18,33,48,41,21
17,10,90,12,94,13,22,54,44
17,20,30,41,97,77,11,35,19
1,18,46,31,71,88,16,70,41
14,18,43,32,28,10,22,86,62
14,17,13,90,46,69,12,84,10
0,8,16,51,41,13,94,45,55
0,19,62,20,29,88,50,53,70
11,21,22,15,70,15,10,88,21
7,19,51,50,51,33,56,47,39
1,4,16,90,14,55,96,60,28
4,11,32,55,81,35,65,38,85
10,15,67,11,22,10,87,97,67
17,15,13,58,66,15,65,53,43
15,9,27,97,72,83,18,88,11
15,18,87,87,33,69,81,23,80
8,19,57,19,93,18,72,45,58
14,22,88,82,85,11,63,25,34
6,18,96,42,92,54,38,61,70
3,11,20,31,89,89,11,82,97
11,12,15,50,25,19,37,43,56
4,12,16,59,52,91,69,84,50
1,12,94,26,61,29,82,42,63
6,15,40,56,68,81,74,38,36
16,22,35,88,83,83,17,80,72
9,6,54,99,98,88,63,66,85
2,19,65,36,29,62,67,11,36
3,19,29,95,86,11,67,53,18
11,19,16,56,73,83,54,86,19
14,19,10,95,28,13,61,92,59
19,16,66,95,83,17,48,23,39
21,19,69,40,43,16,54,79,82
22,19,53,59,22,68,35,98,93
9,20,48,36,42,84,50,48,10
8,22,15,61,66,56,23,49,23
13,22,86,81,93,68,47,84,55
23,22,52,78,79,53,14,32,11
13,23,73,12,97,22,17,84,31
11,1,11,91,22,56,50,37,78
14,1,26,46,11,20,14,21,22
13,2,76,14,11,45,26,84,22
14,2,17,43,79,63,46,50,96
7,3,48,91,44,46,32,11,97
4,2,96,68,75,98,65,81,41
5,4,20,91,45,30,63,55,91
14,4,27,50,69,81,40,52,61
14,5,83,17,60,29,46,94,21
21,7,30,62,38,38,35,90,49
14,9,15,32,54,44,56,67,47
14,10,79,49,52,74,36,17,43
15,14,40,46,79,27,88,35,46
0,16,72,34,69,16,83,62,55
10,17,47,99,95,27,96,53,45
20,17,87,24,93,98,33,29,99
18,1,64,81,89,87,58,53,82
18,14,35,49,40,62,65,33,18
17,14,93,75,91,48,48,86,84
8,0,29,69,19,12,77,54,70
19,0,54,96,26,63,32,77,78
21,11,99,31,26,32,54,34,55
19,7,82,64,89,15,90,98,30
4,1,73,91,61,70,71,90,17
11,4,30,61,21,90,61,65,38
15,10,87,23,12,35,26,97,75
15,17,21,80,94,16,73,38,70
9,15,87,74,77,47,74,66,13
18,15,73,56,57,93,25,81,31
19,8,25,58,35,59,77,23,71
22,14,60,38,74,21,43,12,86
18,6,36,99,31,12,65,71,61
11,3,41,56,36,32,44,86,45
12,11,89,43,37,18,21,86,61
12,4,95,43,10,27,64,21,57
12,1,41,47,71,68,66,87,95
15,6,85,11,65,16,77,68,54
22,16,68,34,97,48,79,66,48
6,9,58,49,40,11,58,39,56
source,destination
11,21
lower_bound,upperbound
192.8,289.2
154.4,231.6
178.4,267.6
0,369.6
0,388.8
0,160.8
included_node(s)
7
