link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,3,86,91,26,58,85,50,93
0,6,64,95,42,39,37,27,76
1,6,22,97,30,22,42,84,27
2,3,99,13,47,96,60,27,86
2,28,91,69,95,85,62,90,69
4,5,83,40,37,62,17,97,45
4,7,62,36,35,86,34,21,63
5,8,81,76,92,30,35,73,35
6,11,97,87,30,38,25,20,51
7,11,73,84,91,53,84,71,89
7,14,77,60,99,44,80,17,88
8,17,31,16,98,74,79,86,93
8,12,86,55,34,41,35,19,43
8,14,57,12,76,38,51,28,69
8,9,25,80,69,39,41,19,83
10,17,54,25,89,22,23,34,40
11,27,70,18,77,76,67,21,74
11,14,98,63,12,70,67,81,66
12,14,55,38,55,88,97,37,90
12,16,27,62,74,99,66,15,37
12,17,55,67,71,53,51,97,39
12,23,98,50,49,16,28,27,53
12,24,67,20,28,29,86,67,16
13,27,32,47,33,37,38,34,88
13,29,20,20,59,75,54,72,38
13,14,37,14,39,77,69,34,16
14,33,84,39,93,58,53,46,95
14,36,27,64,21,32,22,90,68
14,18,35,58,74,41,82,65,75
14,19,73,65,85,71,70,12,22
14,20,13,95,78,54,46,92,95
14,21,22,49,53,51,67,16,30
14,23,90,23,79,10,59,30,50
14,26,77,54,98,66,78,76,74
14,27,21,52,52,47,27,33,16
14,29,43,82,36,48,21,72,19
15,16,23,85,35,28,48,36,71
22,35,35,78,77,85,52,96,32
22,28,77,58,28,30,98,97,96
25,26,20,34,17,19,63,46,74
30,32,60,25,68,91,88,29,21
31,32,16,70,79,64,78,14,46
32,33,93,40,68,45,94,85,68
32,34,47,32,92,32,76,38,16
34,35,63,34,55,54,81,85,16
3,0,70,20,37,74,87,56,51
6,0,53,48,44,96,89,24,47
6,1,86,43,32,31,49,96,80
3,2,69,36,39,96,54,37,69
28,2,98,76,51,47,86,52,37
5,4,65,95,96,30,67,64,69
7,4,76,93,10,50,58,34,98
8,5,59,26,90,15,14,31,42
11,6,32,67,76,11,53,83,75
11,7,60,93,85,39,86,58,48
14,7,69,89,49,80,20,55,70
17,8,60,71,16,78,74,17,81
12,8,44,32,40,49,91,57,96
14,8,49,53,60,13,84,45,90
9,8,47,29,42,71,57,34,18
17,10,69,50,77,20,61,59,18
27,11,14,11,90,19,82,89,48
14,11,59,31,47,75,76,92,90
14,12,21,63,56,73,20,41,20
16,12,43,17,50,75,23,28,74
17,12,33,35,90,22,94,25,97
23,12,17,45,82,73,83,65,81
24,12,56,92,76,55,61,54,46
27,13,58,66,67,60,98,73,29
29,13,84,55,62,93,81,63,78
14,13,29,26,45,64,76,52,20
33,14,19,81,36,51,86,54,92
36,14,90,77,41,19,21,29,24
18,14,22,18,13,99,32,37,40
19,14,18,65,80,35,62,45,98
20,14,16,11,48,26,93,14,82
21,14,83,81,40,36,20,83,43
23,14,61,13,24,32,13,59,97
26,14,92,44,71,47,42,63,62
27,14,14,69,31,32,26,20,13
29,14,21,42,27,31,89,11,34
16,15,57,92,29,29,99,27,31
35,22,80,62,83,34,74,97,63
28,22,70,20,17,36,55,84,29
26,25,42,21,96,31,15,10,58
32,30,40,17,31,25,22,17,64
32,31,92,61,57,16,65,40,89
33,32,54,45,64,61,41,69,39
34,32,36,92,61,64,14,64,60
35,34,41,67,69,71,12,37,42
source,destination
18,9
lower_bound,upperbound
370.4,555.6
208,260
308,432
0,243.6
0,378
0,445.2
included_node(s)
11
