link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,3,95,28,66,74,62,41,69
0,7,54,30,12,56,44,27,60
1,9,35,16,41,82,95,98,11
1,15,77,11,88,34,48,37,92
2,12,30,98,93,84,65,87,97
2,5,93,97,34,82,15,45,48
2,7,60,96,67,14,91,77,55
3,9,98,75,59,71,71,28,62
3,15,12,51,30,65,28,62,61
4,9,42,85,84,30,65,96,15
4,12,26,30,97,17,32,82,10
4,15,53,63,41,26,20,89,11
5,9,98,72,35,19,10,63,80
5,12,59,34,69,75,73,70,32
5,6,47,22,12,42,95,73,38
5,15,75,35,11,61,58,41,86
7,8,99,38,32,26,78,37,81
7,12,10,71,58,67,10,20,24
7,15,56,96,21,76,83,92,98
9,10,59,15,51,19,92,48,78
9,11,85,67,19,12,18,65,80
9,12,30,87,32,24,32,37,47
9,14,41,23,84,87,56,67,94
9,15,85,49,72,33,11,73,19
10,12,49,80,24,75,99,34,73
11,12,54,76,42,20,82,16,78
12,14,64,85,71,64,20,53,53
12,15,93,27,33,22,49,70,30
13,14,59,88,92,36,82,51,13
14,15,89,20,81,89,56,28,16
15,16,20,37,31,41,31,51,29
3,0,54,68,58,10,96,44,34
7,0,43,92,83,46,91,97,28
9,1,97,43,24,23,79,12,30
15,1,83,31,98,86,96,71,26
12,2,26,91,76,30,18,85,77
5,2,90,92,48,58,84,47,30
7,2,95,79,28,91,50,11,72
9,3,76,66,87,54,79,13,39
15,3,54,96,30,23,65,61,81
9,4,37,64,64,21,67,97,39
12,4,93,86,84,61,63,47,39
15,4,59,59,61,91,37,50,82
9,5,35,89,89,83,67,23,19
12,5,14,72,15,88,36,70,23
6,5,59,71,25,85,84,75,21
15,5,10,24,90,96,25,16,57
8,7,13,62,89,15,66,59,94
12,7,59,94,73,53,85,86,87
15,7,19,20,63,35,61,60,55
10,9,25,67,93,24,59,97,34
11,9,44,61,45,17,55,13,67
12,9,91,59,47,49,83,49,54
14,9,56,81,77,63,67,64,80
15,9,29,62,69,41,18,39,38
12,10,92,39,61,76,44,73,27
12,11,11,57,71,74,49,32,58
14,12,46,47,40,57,28,82,44
15,12,85,19,84,88,46,95,10
14,13,22,98,63,10,83,35,61
15,14,35,19,73,46,74,62,12
16,15,57,46,67,30,29,47,29
source,destination
5,8
lower_bound,upperbound
257.6,386.4
106.4,133
176.8,211.2
0,409.2
0,252
0,410.4
included_node(s)
2
