link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,1,76,20,85,28,83,24,42
0,2,95,61,43,10,69,51,97
0,3,28,52,28,81,20,78,63
0,12,70,41,81,44,55,93,93
1,3,25,75,17,32,41,40,51
1,6,50,76,58,53,70,15,79
1,7,22,93,44,24,37,82,77
2,12,56,36,28,22,13,59,94
2,23,11,36,27,22,72,38,92
3,23,14,37,92,33,39,91,95
4,5,68,94,78,38,46,62,68
4,8,14,96,40,88,47,30,40
4,9,73,46,78,75,13,97,12
4,13,29,10,91,75,99,45,28
4,19,32,41,20,87,24,23,74
4,23,91,13,52,58,52,42,42
5,9,34,97,25,11,73,28,51
8,9,65,96,82,52,10,68,41
9,12,41,66,50,19,59,34,47
9,13,85,98,68,11,40,98,24
9,18,35,78,97,52,95,44,70
9,21,82,43,38,68,29,29,20
10,11,68,35,73,18,32,31,68
10,12,58,53,17,20,69,35,13
11,12,23,76,81,71,44,51,55
11,22,87,25,83,67,27,85,75
12,19,75,16,33,12,49,44,59
12,21,57,88,79,61,40,19,92
12,23,38,58,37,22,10,21,14
13,16,68,39,13,57,10,70,44
13,17,44,33,26,68,94,75,21
14,20,14,68,74,40,45,36,46
14,23,26,53,98,57,31,21,41
15,23,24,37,97,11,14,15,37
19,20,36,61,55,36,52,81,39
20,21,41,80,15,79,62,13,45
20,23,65,66,55,54,74,21,16
1,0,48,54,51,50,42,63,69
2,0,50,17,33,53,28,24,39
3,0,28,92,34,28,98,11,98
12,0,14,43,43,35,71,17,64
3,1,18,63,11,81,64,76,98
6,1,32,50,64,16,46,31,38
7,1,77,41,73,62,36,14,29
12,2,38,63,55,18,25,22,26
23,2,17,81,37,56,22,96,65
23,3,31,44,26,20,78,98,61
5,4,62,22,70,19,89,92,29
8,4,72,39,19,98,75,64,96
9,4,62,62,28,82,37,84,61
13,4,99,20,90,72,29,91,43
19,4,59,17,69,12,70,60,28
23,4,44,96,18,50,19,66,33
9,5,67,98,63,81,51,74,11
9,8,18,60,76,23,92,48,31
12,9,57,34,52,73,53,17,40
13,9,16,23,47,10,31,59,38
18,9,45,28,99,77,93,44,43
21,9,66,74,31,87,45,78,32
11,10,44,71,36,74,83,33,42
12,10,65,20,12,34,93,14,77
12,11,11,98,99,17,39,15,96
22,11,11,91,10,14,28,21,41
19,12,81,25,10,43,76,77,71
21,12,77,35,96,18,95,72,33
23,12,37,52,55,92,70,92,70
16,13,23,57,16,74,39,42,16
17,13,42,53,13,25,69,45,91
20,14,38,58,59,95,64,17,91
23,14,63,64,91,27,19,56,45
23,15,60,45,90,43,68,46,90
20,19,42,53,54,30,36,76,56
21,20,33,79,93,61,73,33,95
23,20,45,85,54,12,66,67,80
source,destination
23,16
lower_bound,upperbound
116,174
89.6,112
145.6,218.4
0,153.6
0,217.2
0,126
included_node(s)
13
